#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723351.1         -           1218 1919at5820           -           1069         0 2019.9 170.4   1   4  9.8e-173  1.3e-169  564.7  21.4     1   289     1   283     1   289 0.94 | transcript=PVPAM_140027000_t1 | gene=PVPAM_140027000 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 2, putative | transcript_product=structural maintenance of chromosomes protein 2, putative | location=CASCJQ010000014:953224-957201(-) | protein_length=1218 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720591.1         -           1571 1919at5820           -           1069   4.6e-19   66.2  46.3   1   6   5.1e-17   6.6e-14   49.2  40.6     3   388   230   603   228   623 0.65 | transcript=PVPAM_090035600_t1 | gene=PVPAM_090035600 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=CASCJQ010000009:1358236-1363078(-) | protein_length=1571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720591.1         -           1571 1919at5820           -           1069   4.6e-19   66.2  46.3   2   6         5   6.5e+03  -13.1  20.2   689   796   684   801   614   860 0.48 | transcript=PVPAM_090035600_t1 | gene=PVPAM_090035600 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=CASCJQ010000009:1358236-1363078(-) | protein_length=1571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720591.1         -           1571 1919at5820           -           1069   4.6e-19   66.2  46.3   3   6       1.8   2.4e+03   -5.6  17.5   210   322  1017  1127  1008  1140 0.68 | transcript=PVPAM_090035600_t1 | gene=PVPAM_090035600 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=CASCJQ010000009:1358236-1363078(-) | protein_length=1571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720591.1         -           1571 1919at5820           -           1069   4.6e-19   66.2  46.3   4   6         5   6.5e+03   -9.6  26.8   279   389  1136  1251  1126  1272 0.59 | transcript=PVPAM_090035600_t1 | gene=PVPAM_090035600 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=CASCJQ010000009:1358236-1363078(-) | protein_length=1571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720591.1         -           1571 1919at5820           -           1069   4.6e-19   66.2  46.3   5   6       2.1   2.7e+03   -5.8  11.3   721   832  1337  1453  1326  1464 0.61 | transcript=PVPAM_090035600_t1 | gene=PVPAM_090035600 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=CASCJQ010000009:1358236-1363078(-) | protein_length=1571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720591.1         -           1571 1919at5820           -           1069   4.6e-19   66.2  46.3   6   6   2.5e-11   3.3e-08   30.3   0.3   955  1030  1473  1546  1459  1569 0.89 | transcript=PVPAM_090035600_t1 | gene=PVPAM_090035600 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=CASCJQ010000009:1358236-1363078(-) | protein_length=1571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720592.1         -           1206 1919at5820           -           1069   4.7e-14   49.6  40.8   1   3   3.6e-17   4.7e-14   49.6  40.8     3   388   230   603   228   623 0.65 | transcript=PVPAM_090035600_t2 | gene=PVPAM_090035600 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=CASCJQ010000009:1359343-1363078(-) | protein_length=1206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720592.1         -           1206 1919at5820           -           1069   4.7e-14   49.6  40.8   2   3         5   6.5e+03  -12.6  20.2   688   796   683   801   607   858 0.48 | transcript=PVPAM_090035600_t2 | gene=PVPAM_090035600 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=CASCJQ010000009:1359343-1363078(-) | protein_length=1206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720592.1         -           1206 1919at5820           -           1069   4.7e-14   49.6  40.8   3   3         3   3.9e+03   -6.4  20.0   210   339  1017  1144  1008  1147 0.71 | transcript=PVPAM_090035600_t2 | gene=PVPAM_090035600 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=CASCJQ010000009:1359343-1363078(-) | protein_length=1206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1919at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1919at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1919at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:21 2026
# [ok]
