#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721045.1         -           1449 1309at5820           -           1140         0 2013.5 133.3   1   4   1.3e-57   1.6e-54  183.5   2.6     1    90    54   143    54   145 0.98 | transcript=PVPAM_100031300_t1 | gene=PVPAM_100031300 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 4, putative | transcript_product=structural maintenance of chromosomes protein 4, putative | location=CASCJQ010000010:1138455-1142804(-) | protein_length=1449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720592.1         -           1206 1309at5820           -           1140     3e-19   66.8  27.7   1   5   2.3e-22     3e-19   66.8  27.7     5   263   230   499   227   501 0.77 | transcript=PVPAM_090035600_t2 | gene=PVPAM_090035600 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=CASCJQ010000009:1359343-1363078(-) | protein_length=1206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720592.1         -           1206 1309at5820           -           1140     3e-19   66.8  27.7   2   5         5   6.5e+03  -14.7  38.5   711   995   426   715   416   717 0.65 | transcript=PVPAM_090035600_t2 | gene=PVPAM_090035600 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=CASCJQ010000009:1359343-1363078(-) | protein_length=1206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720592.1         -           1206 1309at5820           -           1140     3e-19   66.8  27.7   3   5         5   6.5e+03  -15.1  34.3   654   936   506   797   501   805 0.71 | transcript=PVPAM_090035600_t2 | gene=PVPAM_090035600 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=CASCJQ010000009:1359343-1363078(-) | protein_length=1206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720592.1         -           1206 1309at5820           -           1140     3e-19   66.8  27.7   4   5         5   6.5e+03   -9.6  21.9   376   548   678   864   644   874 0.64 | transcript=PVPAM_090035600_t2 | gene=PVPAM_090035600 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=CASCJQ010000009:1359343-1363078(-) | protein_length=1206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720592.1         -           1206 1309at5820           -           1140     3e-19   66.8  27.7   5   5       3.8     5e+03   -6.8  29.9   582   830   936  1176   919  1200 0.66 | transcript=PVPAM_090035600_t2 | gene=PVPAM_090035600 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=CASCJQ010000009:1359343-1363078(-) | protein_length=1206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718889.1         -           1193 1309at5820           -           1140    0.0021   14.3 176.6   1   1   9.2e-06     0.012   11.8 176.6     5  1122     3  1160     1  1169 0.67 | transcript=PVPAM_050028100_t1 | gene=PVPAM_050028100 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 3, putative | transcript_product=structural maintenance of chromosomes protein 3, putative | location=CASCJQ010000005:959226-966108(-) | protein_length=1193 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1309at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1309at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1309at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:42 2026
# [ok]
