#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718743.1         -           1298 1302at5820           -            902         0 1453.3  60.4   1   6   3.6e-15   3.9e-12   43.5   0.1    12    44    68   100    66   102 0.94 | transcript=PVPAM_050013700_t1 | gene=PVPAM_050013700 | organism=Plasmodium_vivax_PAM | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=CASCJQ010000005:403672-407568(-) | protein_length=1298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722264.1         -           1071 1302at5820           -            902   1.4e-13   48.3  13.8   3   4   0.00011      0.12    8.8   0.0   625   644   615   634   603   648 0.86 | transcript=PVPAM_120050100_t1 | gene=PVPAM_120050100 | organism=Plasmodium_vivax_PAM | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=CASCJQ010000012:1840302-1843517(-) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722264.1         -           1071 1302at5820           -            902   1.4e-13   48.3  13.8   4   4      0.62   6.7e+02   -3.6   0.6   846   885   944   983   930   997 0.76 | transcript=PVPAM_120050100_t1 | gene=PVPAM_120050100 | organism=Plasmodium_vivax_PAM | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=CASCJQ010000012:1840302-1843517(-) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719304.1         -            886 1302at5820           -            902   1.7e-12   44.7  21.2   1   3   5.5e-12   5.9e-09   33.0   8.9    23   218   196   393   153   410 0.82 | transcript=PVPAM_060031100_t1 | gene=PVPAM_060031100 | organism=Plasmodium_vivax_PAM | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=CASCJQ010000006:1063954-1066614(+) | protein_length=886 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719304.1         -            886 1302at5820           -            902   1.7e-12   44.7  21.2   2   3   8.1e-08   8.7e-05   19.2   0.0   627   656   511   540   506   581 0.90 | transcript=PVPAM_060031100_t1 | gene=PVPAM_060031100 | organism=Plasmodium_vivax_PAM | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=CASCJQ010000006:1063954-1066614(+) | protein_length=886 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719304.1         -            886 1302at5820           -            902   1.7e-12   44.7  21.2   3   3      0.32   3.5e+02   -2.6   3.0   673   761   693   782   645   809 0.74 | transcript=PVPAM_060031100_t1 | gene=PVPAM_060031100 | organism=Plasmodium_vivax_PAM | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=CASCJQ010000006:1063954-1066614(+) | protein_length=886 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719945.1         -            748 1302at5820           -            902   6.5e-07   26.2   9.2   1   2   0.00011      0.12    8.8   0.5    54   124   170   246   158   359 0.73 | transcript=PVPAM_080016800_t1 | gene=PVPAM_080016800 | organism=Plasmodium_vivax_PAM | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=CASCJQ010000008:580038-582284(-) | protein_length=748 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719945.1         -            748 1302at5820           -            902   6.5e-07   26.2   9.2   2   2   2.2e-08   2.4e-05   21.0   2.7   622   698   538   614   526   714 0.75 | transcript=PVPAM_080016800_t1 | gene=PVPAM_080016800 | organism=Plasmodium_vivax_PAM | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=CASCJQ010000008:580038-582284(-) | protein_length=748 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723589.1         -           1570 1302at5820           -            902   2.3e-06   24.4   0.2   1   4   2.1e-09   2.3e-06   24.4   0.2    42   106   184   248   161   257 0.76 | transcript=PVPAM_140051300_t1 | gene=PVPAM_140051300 | organism=Plasmodium_vivax_PAM | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=CASCJQ010000014:1997831-2003037(+) | protein_length=1570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723589.1         -           1570 1302at5820           -            902   2.3e-06   24.4   0.2   2   4    0.0011       1.2    5.5   0.1   376   423   800   854   790   885 0.73 | transcript=PVPAM_140051300_t1 | gene=PVPAM_140051300 | organism=Plasmodium_vivax_PAM | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=CASCJQ010000014:1997831-2003037(+) | protein_length=1570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723589.1         -           1570 1302at5820           -            902   2.3e-06   24.4   0.2   3   4       1.4   1.5e+03   -4.7   1.7   256   317  1223  1280  1209  1300 0.60 | transcript=PVPAM_140051300_t1 | gene=PVPAM_140051300 | organism=Plasmodium_vivax_PAM | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=CASCJQ010000014:1997831-2003037(+) | protein_length=1570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723589.1         -           1570 1302at5820           -            902   2.3e-06   24.4   0.2   4   4     0.022        23    1.2   0.1   783   838  1330  1388  1319  1411 0.66 | transcript=PVPAM_140051300_t1 | gene=PVPAM_140051300 | organism=Plasmodium_vivax_PAM | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=CASCJQ010000014:1997831-2003037(+) | protein_length=1570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1302at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1302at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1302at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:32 2026
# [ok]
