#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723448.1         -            606 5840at5820           -            458  1.1e-238  791.1  63.4   1   3   6.5e-70     6e-67  224.9   7.3     1   135     1   140     1   150 0.91 | transcript=PVPAM_140037000_t1 | gene=PVPAM_140037000 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000014:1375465-1377285(+) | protein_length=606 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722665.1         -            323 5840at5820           -            458   2.8e-07   28.2   4.5   1   2   1.3e-08   1.2e-05   22.9   0.6    48   171    37   156     8   164 0.75 | transcript=PVPAM_130016600_t1 | gene=PVPAM_130016600 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial phosphate carrier protein, putative | transcript_product=mitochondrial phosphate carrier protein, putative | location=CASCJQ010000013:521214-522185(-) | protein_length=323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722665.1         -            323 5840at5820           -            458   2.8e-07   28.2   4.5   2   2   0.00084      0.77    7.0   0.2   339   451   195   303   171   310 0.74 | transcript=PVPAM_130016600_t1 | gene=PVPAM_130016600 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial phosphate carrier protein, putative | transcript_product=mitochondrial phosphate carrier protein, putative | location=CASCJQ010000013:521214-522185(-) | protein_length=323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718118.1         -            380 5840at5820           -            458   7.5e-07   26.8  61.0   1   5    0.0049       4.5    4.4  12.6   135   194     2    61     1    78 0.78 | transcript=PVPAM_030011400_t1 | gene=PVPAM_030011400 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000003:302288-303767(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718118.1         -            380 5840at5820           -            458   7.5e-07   26.8  61.0   2   5      0.01       9.3    3.4   7.4   409   455    64   110    48   113 0.62 | transcript=PVPAM_030011400_t1 | gene=PVPAM_030011400 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000003:302288-303767(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718118.1         -            380 5840at5820           -            458   7.5e-07   26.8  61.0   3   5   0.00054       0.5    7.6  11.3    90   179    74   151    63   164 0.75 | transcript=PVPAM_030011400_t1 | gene=PVPAM_030011400 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000003:302288-303767(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718118.1         -            380 5840at5820           -            458   7.5e-07   26.8  61.0   4   5   5.8e-06    0.0054   14.1  20.7    83   251   148   323   148   330 0.69 | transcript=PVPAM_030011400_t1 | gene=PVPAM_030011400 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000003:302288-303767(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718118.1         -            380 5840at5820           -            458   7.5e-07   26.8  61.0   5   5   0.00038      0.35    8.1   5.3   409   455   333   379   318   380 0.70 | transcript=PVPAM_030011400_t1 | gene=PVPAM_030011400 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000003:302288-303767(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719321.1         -            301 5840at5820           -            458   4.5e-06   24.2   1.8   1   4      0.11        97    0.1   0.1   380   439    13    83     7   101 0.57 | transcript=PVPAM_060032800_t1 | gene=PVPAM_060032800 | organism=Plasmodium_vivax_PAM | gene_product=ADP,ATP carrier protein 1, putative | transcript_product=ADP,ATP carrier protein 1, putative | location=CASCJQ010000006:1136203-1137108(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719321.1         -            301 5840at5820           -            458   4.5e-06   24.2   1.8   2   4   4.8e-05     0.044   11.1   0.8   322   449    67   194    45   201 0.65 | transcript=PVPAM_060032800_t1 | gene=PVPAM_060032800 | organism=Plasmodium_vivax_PAM | gene_product=ADP,ATP carrier protein 1, putative | transcript_product=ADP,ATP carrier protein 1, putative | location=CASCJQ010000006:1136203-1137108(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719321.1         -            301 5840at5820           -            458   4.5e-06   24.2   1.8   3   4   6.3e-05     0.058   10.7   1.6    48   145   123   218    84   243 0.61 | transcript=PVPAM_060032800_t1 | gene=PVPAM_060032800 | organism=Plasmodium_vivax_PAM | gene_product=ADP,ATP carrier protein 1, putative | transcript_product=ADP,ATP carrier protein 1, putative | location=CASCJQ010000006:1136203-1137108(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719321.1         -            301 5840at5820           -            458   4.5e-06   24.2   1.8   4   4   6.8e-05     0.063   10.6   0.0    50   126   220   298   191   301 0.66 | transcript=PVPAM_060032800_t1 | gene=PVPAM_060032800 | organism=Plasmodium_vivax_PAM | gene_product=ADP,ATP carrier protein 1, putative | transcript_product=ADP,ATP carrier protein 1, putative | location=CASCJQ010000006:1136203-1137108(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5840at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5840at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5840at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:41 2026
# [ok]
