#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719618.1         -            840 3370at5820           -            675         0 1533.2   4.2   1   1         0         0 1533.0   4.2     2   673   166   837   165   839 1.00 | transcript=PVPAM_070023200_t1 | gene=PVPAM_070023200 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | location=CASCJQ010000007:816022-818544(-) | protein_length=840 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718811.1         -            849 3370at5820           -            675  2.8e-120  401.2  14.5   5   5   7.1e-23   5.7e-20   69.7   1.3   495   659   670   835   662   844 0.82 | transcript=PVPAM_050020500_t1 | gene=PVPAM_050020500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=CASCJQ010000005:672376-675247(+) | protein_length=849 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723192.1         -           1608 3370at5820           -            675   4.1e-60  202.4  17.1   1   3   1.2e-44   9.3e-42  141.7   4.1    21   254   420   666   402   680 0.83 | transcript=PVPAM_140011100_t1 | gene=PVPAM_140011100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHR1, putative | transcript_product=ATP-dependent RNA helicase DHR1, putative | location=CASCJQ010000014:286403-291550(+) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723192.1         -           1608 3370at5820           -            675   4.1e-60  202.4  17.1   2   3   5.2e-22   4.2e-19   66.9   0.2   260   432   909  1090   889  1096 0.85 | transcript=PVPAM_140011100_t1 | gene=PVPAM_140011100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHR1, putative | transcript_product=ATP-dependent RNA helicase DHR1, putative | location=CASCJQ010000014:286403-291550(+) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723192.1         -           1608 3370at5820           -            675   4.1e-60  202.4  17.1   3   3     0.055        45    0.7   1.1   510   594  1299  1382  1254  1444 0.78 | transcript=PVPAM_140011100_t1 | gene=PVPAM_140011100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHR1, putative | transcript_product=ATP-dependent RNA helicase DHR1, putative | location=CASCJQ010000014:286403-291550(+) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720200.1         -           2078 3370at5820           -            675   8.3e-45  151.8   2.5   1   2   4.6e-33   3.7e-30  103.4   1.5    21   209   410   611   395   623 0.87 | transcript=PVPAM_080042200_t1 | gene=PVPAM_080042200 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX57, putative | transcript_product=ATP-dependent RNA helicase DHX57, putative | location=CASCJQ010000008:1635658-1641894(+) | protein_length=2078 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720200.1         -           2078 3370at5820           -            675   8.3e-45  151.8   2.5   2   2   5.5e-16   4.5e-13   47.0   0.0   236   392   741   890   733   903 0.76 | transcript=PVPAM_080042200_t1 | gene=PVPAM_080042200 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX57, putative | transcript_product=ATP-dependent RNA helicase DHX57, putative | location=CASCJQ010000008:1635658-1641894(+) | protein_length=2078 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722514.1         -            928 3370at5820           -            675   6.7e-35  119.1  16.9   1   3   1.4e-11   1.2e-08   32.4   0.3   115   191   107   182     4   191 0.84 | transcript=PVPAM_120075300_t1 | gene=PVPAM_120075300 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000012:2932349-2935135(+) | protein_length=928 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722514.1         -            928 3370at5820           -            675   6.7e-35  119.1  16.9   2   3      0.12        99   -0.5   0.0   205   253   483   533   476   543 0.83 | transcript=PVPAM_120075300_t1 | gene=PVPAM_120075300 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000012:2932349-2935135(+) | protein_length=928 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722514.1         -            928 3370at5820           -            675   6.7e-35  119.1  16.9   3   3   8.7e-29     7e-26   89.3  10.1   314   656   576   916   560   925 0.83 | transcript=PVPAM_120075300_t1 | gene=PVPAM_120075300 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000012:2932349-2935135(+) | protein_length=928 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3370at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3370at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3370at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:37 2026
# [ok]
