#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722747.1         -           1004 5114at5820           -            599  3.4e-235  780.9  85.8   1   6  7.6e-131  4.9e-128  427.0  29.9     1   205     1   210     1   227 0.93 | transcript=PVPAM_130024800_t1 | gene=PVPAM_130024800 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000013:898985-901999(-) | protein_length=1004 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721271.1         -            965 5114at5820           -            599   2.1e-30  104.5   4.4   3   4        10   6.5e+03   -6.4   6.7   551   583   509   541   464   585 0.57 | transcript=PVPAM_110017300_t1 | gene=PVPAM_110017300 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000011:526903-529800(-) | protein_length=965 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721271.1         -            965 5114at5820           -            599   2.1e-30  104.5   4.4   4   4       1.1   6.9e+02   -2.9   3.8   399   477   746   825   713   938 0.75 | transcript=PVPAM_110017300_t1 | gene=PVPAM_110017300 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000011:526903-529800(-) | protein_length=965 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719506.1         -            839 5114at5820           -            599     2e-18   65.0  18.5   1   5   3.1e-21     2e-18   65.0  18.5    23   150    49   175    24   189 0.83 | transcript=PVPAM_070012000_t1 | gene=PVPAM_070012000 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000007:395318-397837(-) | protein_length=839 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719506.1         -            839 5114at5820           -            599     2e-18   65.0  18.5   2   5      0.22   1.4e+02   -0.6   2.0   473   543   166   238   155   257 0.66 | transcript=PVPAM_070012000_t1 | gene=PVPAM_070012000 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000007:395318-397837(-) | protein_length=839 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719506.1         -            839 5114at5820           -            599     2e-18   65.0  18.5   3   5        10   6.5e+03  -14.7  17.3   494   590   392   494   301   502 0.57 | transcript=PVPAM_070012000_t1 | gene=PVPAM_070012000 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000007:395318-397837(-) | protein_length=839 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719506.1         -            839 5114at5820           -            599     2e-18   65.0  18.5   4   5        10   6.5e+03   -8.0   6.8   536   554   629   647   563   701 0.48 | transcript=PVPAM_070012000_t1 | gene=PVPAM_070012000 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000007:395318-397837(-) | protein_length=839 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719506.1         -            839 5114at5820           -            599     2e-18   65.0  18.5   5   5      0.24   1.5e+02   -0.7   4.2   326   393   767   835   718   837 0.79 | transcript=PVPAM_070012000_t1 | gene=PVPAM_070012000 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000007:395318-397837(-) | protein_length=839 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720884.1         -            986 5114at5820           -            599   2.1e-18   64.9  23.0   1   4   3.2e-21   2.1e-18   64.9  23.0     1   128     2   131     2   222 0.70 | transcript=PVPAM_100015200_t1 | gene=PVPAM_100015200 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:446340-449300(-) | protein_length=986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720884.1         -            986 5114at5820           -            599   2.1e-18   64.9  23.0   2   4        10   6.5e+03  -25.4  39.3   367   558   192   395   152   437 0.43 | transcript=PVPAM_100015200_t1 | gene=PVPAM_100015200 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:446340-449300(-) | protein_length=986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720884.1         -            986 5114at5820           -            599   2.1e-18   64.9  23.0   3   4        10   6.5e+03   -9.4  23.9   330   520   625   813   609   867 0.46 | transcript=PVPAM_100015200_t1 | gene=PVPAM_100015200 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:446340-449300(-) | protein_length=986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720884.1         -            986 5114at5820           -            599   2.1e-18   64.9  23.0   4   4     0.071        46    1.0   4.3   498   561   895   965   887   983 0.68 | transcript=PVPAM_100015200_t1 | gene=PVPAM_100015200 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:446340-449300(-) | protein_length=986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719146.1         -           1493 5114at5820           -            599   7.7e-18   63.0   8.8   1   1   1.9e-20   1.2e-17   62.4   8.8    24   129     6   104     2   119 0.90 | transcript=PVPAM_060015300_t1 | gene=PVPAM_060015300 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000006:428110-433169(-) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720906.1         -           1941 5114at5820           -            599   2.1e-17   61.6  23.5   1   6        10   6.5e+03   -6.7   9.1   341   565    17   108     5   130 0.42 | transcript=PVPAM_100017400_t1 | gene=PVPAM_100017400 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:541287-547112(-) | protein_length=1941 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720906.1         -           1941 5114at5820           -            599   2.1e-17   61.6  23.5   2   6   3.3e-20   2.1e-17   61.6  23.5    12   134   374   496   360   516 0.81 | transcript=PVPAM_100017400_t1 | gene=PVPAM_100017400 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:541287-547112(-) | protein_length=1941 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720906.1         -           1941 5114at5820           -            599   2.1e-17   61.6  23.5   3   6       2.7   1.7e+03   -4.2   8.4   442   525   656   740   602   792 0.77 | transcript=PVPAM_100017400_t1 | gene=PVPAM_100017400 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:541287-547112(-) | protein_length=1941 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720906.1         -           1941 5114at5820           -            599   2.1e-17   61.6  23.5   4   6        10   6.5e+03  -10.2   7.7   468   485  1134  1151  1104  1237 0.49 | transcript=PVPAM_100017400_t1 | gene=PVPAM_100017400 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:541287-547112(-) | protein_length=1941 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720906.1         -           1941 5114at5820           -            599   2.1e-17   61.6  23.5   5   6       4.1   2.7e+03   -4.8   2.8   397   463  1657  1728  1643  1747 0.48 | transcript=PVPAM_100017400_t1 | gene=PVPAM_100017400 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:541287-547112(-) | protein_length=1941 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720906.1         -           1941 5114at5820           -            599   2.1e-17   61.6  23.5   6   6         2   1.3e+03   -3.8   1.6   382   461  1780  1861  1768  1873 0.54 | transcript=PVPAM_100017400_t1 | gene=PVPAM_100017400 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:541287-547112(-) | protein_length=1941 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720631.1         -           2163 5114at5820           -            599   6.9e-17   59.9  12.0   1   5       4.6   2.9e+03   -4.9   4.5   403   462   193   254   157   322 0.62 | transcript=PVPAM_090039500_t1 | gene=PVPAM_090039500 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000009:1523504-1529995(-) | protein_length=2163 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720631.1         -           2163 5114at5820           -            599   6.9e-17   59.9  12.0   2   5   1.1e-19   6.9e-17   59.9  12.0    20   156   480   618   476   637 0.82 | transcript=PVPAM_090039500_t1 | gene=PVPAM_090039500 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000009:1523504-1529995(-) | protein_length=2163 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720631.1         -           2163 5114at5820           -            599   6.9e-17   59.9  12.0   3   5        10   6.5e+03  -10.2  10.6   494   589  1352  1456  1343  1466 0.71 | transcript=PVPAM_090039500_t1 | gene=PVPAM_090039500 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000009:1523504-1529995(-) | protein_length=2163 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720631.1         -           2163 5114at5820           -            599   6.9e-17   59.9  12.0   4   5       3.5   2.3e+03   -4.6   1.9   341   426  1569  1658  1553  1687 0.64 | transcript=PVPAM_090039500_t1 | gene=PVPAM_090039500 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000009:1523504-1529995(-) | protein_length=2163 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720631.1         -           2163 5114at5820           -            599   6.9e-17   59.9  12.0   5   5        10   6.5e+03   -7.2   3.0   334   354  1799  1819  1784  1849 0.45 | transcript=PVPAM_090039500_t1 | gene=PVPAM_090039500 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000009:1523504-1529995(-) | protein_length=2163 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722893.1         -           1301 5114at5820           -            599   2.2e-09   35.1   4.3   1   1   5.3e-12   3.4e-09   34.5   4.3    56   138   193   274   190   283 0.83 | transcript=PVPAM_130039500_t1 | gene=PVPAM_130039500 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000013:1526387-1530292(+) | protein_length=1301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719714.1         -           1239 5114at5820           -            599   2.5e-08   31.6  19.8   1   3   8.6e-09   5.6e-06   23.9   0.7    98   127     3    32     1    35 0.94 | transcript=PVPAM_070032800_t1 | gene=PVPAM_070032800 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000007:1204141-1208889(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719714.1         -           1239 5114at5820           -            599   2.5e-08   31.6  19.8   2   3   1.5e-07   9.9e-05   19.7   1.5    23    95    36   106    33   110 0.89 | transcript=PVPAM_070032800_t1 | gene=PVPAM_070032800 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000007:1204141-1208889(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719714.1         -           1239 5114at5820           -            599   2.5e-08   31.6  19.8   3   3      0.49   3.2e+02   -1.7   3.4   334   563   345   419   326   442 0.46 | transcript=PVPAM_070032800_t1 | gene=PVPAM_070032800 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000007:1204141-1208889(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5114at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5114at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5114at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:20 2026
# [ok]
