#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720394.1         -            505 5961at5820           -            363  2.7e-195  647.0  17.3   1   3   1.3e-38   1.6e-35  121.4   0.1     1    75     1    76     1    87 0.95 | transcript=PVPAM_090015900_t1 | gene=PVPAM_090015900 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | transcript_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | location=CASCJQ010000009:572450-573967(+) | protein_length=505 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719157.1         -            556 5961at5820           -            363   3.2e-05   21.7   0.2   2   2   3.7e-06    0.0048   14.5   0.0   267   308   449   490   442   493 0.91 | transcript=PVPAM_060016400_t1 | gene=PVPAM_060016400 | organism=Plasmodium_vivax_PAM | gene_product=rRNA (cytosine-C(5))-methyltransferase, putative | transcript_product=rRNA (cytosine-C(5))-methyltransferase, putative | location=CASCJQ010000006:477532-479372(-) | protein_length=556 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5961at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5961at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5961at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:18 2026
# [ok]
