#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719283.1         -            317 11664at5820          -            281  9.3e-147  486.3  49.2   1   1  2.1e-149  1.1e-146  486.1  49.2     1   281     1   301     1   301 0.95 | transcript=PVPAM_060029000_t1 | gene=PVPAM_060029000 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000006:984401-985891(-) | protein_length=317 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719748.1         -            635 11664at5820          -            281   8.9e-14   50.0  33.1   1   2   9.1e-14   4.5e-11   41.1  14.7    81   159    76   154    69   154 0.96 | transcript=PVPAM_070036200_t1 | gene=PVPAM_070036200 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000007:1300627-1303268(-) | protein_length=635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719748.1         -            635 11664at5820          -            281   8.9e-14   50.0  33.1   2   2   2.4e-08   1.2e-05   23.3  10.4    37   102   142   210   141   219 0.89 | transcript=PVPAM_070036200_t1 | gene=PVPAM_070036200 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000007:1300627-1303268(-) | protein_length=635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721044.1         -            371 11664at5820          -            281   3.3e-13   48.1  10.9   1   2   6.6e-16   3.3e-13   48.1  10.9    53   170    28   149    11   169 0.79 | transcript=PVPAM_100031200_t1 | gene=PVPAM_100031200 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000010:1136254-1137982(-) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721044.1         -            371 11664at5820          -            281   3.3e-13   48.1  10.9   2   2      0.28   1.4e+02    0.2   0.2   138   181   255   299   249   328 0.73 | transcript=PVPAM_100031200_t1 | gene=PVPAM_100031200 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000010:1136254-1137982(-) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718799.1         -            198 11664at5820          -            281   4.3e-13   47.8  14.0   1   1   2.6e-15   1.3e-12   46.2  14.0    34   158    25   156     3   187 0.74 | transcript=PVPAM_050019300_t1 | gene=PVPAM_050019300 | organism=Plasmodium_vivax_PAM | gene_product=dynein light chain 1, putative | transcript_product=dynein light chain 1, putative | location=CASCJQ010000005:638781-640263(+) | protein_length=198 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723619.1         -            438 11664at5820          -            281   5.8e-12   44.0  13.8   1   1     2e-14     1e-11   43.2  13.8    16   127    23   140     6   151 0.77 | transcript=PVPAM_140054300_t1 | gene=PVPAM_140054300 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000014:2119853-2121416(-) | protein_length=438 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720749.1         -            340 11664at5820          -            281     1e-09   36.7  26.6   1   1   3.2e-12   1.6e-09   36.0  26.6    30   234   120   326    97   330 0.81 | transcript=PVPAM_090051300_t1 | gene=PVPAM_090051300 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000009:2058046-2059068(+) | protein_length=340 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721160.1         -            176 11664at5820          -            281   9.5e-09   33.5  15.5   1   2   3.8e-10   1.9e-07   29.2   9.6    85   159    23   100     3   110 0.75 | transcript=PVPAM_110006200_t1 | gene=PVPAM_110006200 | organism=Plasmodium_vivax_PAM | gene_product=U2 small nuclear ribonucleoprotein A', putative | transcript_product=U2 small nuclear ribonucleoprotein A', putative | location=CASCJQ010000011:47761-49104(+) | protein_length=176 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721160.1         -            176 11664at5820          -            281   9.5e-09   33.5  15.5   2   2    0.0013      0.62    7.8   0.7   235   279   105   147   100   149 0.62 | transcript=PVPAM_110006200_t1 | gene=PVPAM_110006200 | organism=Plasmodium_vivax_PAM | gene_product=U2 small nuclear ribonucleoprotein A', putative | transcript_product=U2 small nuclear ribonucleoprotein A', putative | location=CASCJQ010000011:47761-49104(+) | protein_length=176 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722868.1         -            281 11664at5820          -            281   5.1e-05   21.3   5.2   1   2   6.1e-07    0.0003   18.7   4.5    71   151    45   132     9   142 0.60 | transcript=PVPAM_130037000_t1 | gene=PVPAM_130037000 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1428194-1429039(-) | protein_length=281 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722868.1         -            281 11664at5820          -            281   5.1e-05   21.3   5.2   2   2     0.023        11    3.7   0.1   234   278   122   164   119   167 0.84 | transcript=PVPAM_130037000_t1 | gene=PVPAM_130037000 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1428194-1429039(-) | protein_length=281 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722197.1         -            250 11664at5820          -            281   8.9e-05   20.5  15.1   1   1     8e-06     0.004   15.0  14.0   144   278    82   225    57   228 0.74 | transcript=PVPAM_120043500_t1 | gene=PVPAM_120043500 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000012:1514490-1515585(-) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719507.1         -            414 11664at5820          -            281    0.0054   14.6   6.6   1   2     0.008         4    5.2   0.5   155   194   115   154    72   219 0.81 | transcript=PVPAM_070012100_t1 | gene=PVPAM_070012100 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000007:406377-407621(-) | protein_length=414 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719507.1         -            414 11664at5820          -            281    0.0054   14.6   6.6   2   2   9.4e-05     0.047   11.5   0.9   103   154   274   329   270   337 0.47 | transcript=PVPAM_070012100_t1 | gene=PVPAM_070012100 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000007:406377-407621(-) | protein_length=414 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11664at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11664at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11664at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:51 2026
# [ok]
