#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722791.1         -            499 6051at5820           -            397  2.3e-241  799.1  30.1   1   2  5.1e-117  4.1e-114  380.1   0.5     1   197    24   236    24   249 0.95 | transcript=PVPAM_130029200_t1 | gene=PVPAM_130029200 | organism=Plasmodium_vivax_PAM | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=CASCJQ010000013:1083619-1085118(-) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720169.1         -            754 6051at5820           -            397   0.00059   17.4   0.0   2   2   0.00043      0.35    8.3   0.0    57   131   456   534   449   587 0.73 | transcript=PVPAM_080039100_t1 | gene=PVPAM_080039100 | organism=Plasmodium_vivax_PAM | gene_product=Ras-like G protein, putative | transcript_product=Ras-like G protein, putative | location=CASCJQ010000008:1540352-1542616(-) | protein_length=754 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721503.1         -            718 6051at5820           -            397   0.00092   16.8   0.0   1   1   2.5e-06     0.002   15.6   0.0    61   159   166   262   141   280 0.80 | transcript=PVPAM_110040800_t1 | gene=PVPAM_110040800 | organism=Plasmodium_vivax_PAM | gene_product=nucleolar GTP-binding protein 1, putative | transcript_product=nucleolar GTP-binding protein 1, putative | location=CASCJQ010000011:1501877-1504033(-) | protein_length=718 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722466.1         -            185 6051at5820           -            397    0.0091   13.5   1.8   1   2   3.3e-05     0.027   11.9   0.2    60   100    11    51     1   101 0.87 | transcript=PVPAM_120070300_t1 | gene=PVPAM_120070300 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000012:2691630-2692449(+) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722466.1         -            185 6051at5820           -            397    0.0091   13.5   1.8   2   2      0.11        90    0.3   0.5   327   345   118   136    71   156 0.57 | transcript=PVPAM_120070300_t1 | gene=PVPAM_120070300 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000012:2691630-2692449(+) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721554.1         -            627 6051at5820           -            397      0.01   13.3   0.0   1   2      0.65   5.3e+02   -2.2   0.0    78   119   394   429   384   433 0.64 | transcript=PVPAM_110045900_t1 | gene=PVPAM_110045900 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000011:1697467-1699465(+) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721554.1         -            627 6051at5820           -            397      0.01   13.3   0.0   2   2   3.7e-05      0.03   11.8   0.0   229   282   560   616   535   625 0.71 | transcript=PVPAM_110045900_t1 | gene=PVPAM_110045900 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000011:1697467-1699465(+) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6051at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6051at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6051at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:49 2026
# [ok]
