#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722199.1         -           3059 518at5820            -           2167         0 3493.5 351.0   1   8  7.9e-252  1.1e-249  830.2  77.3     1   538     1   705     1   740 0.91 | transcript=PVPAM_120043700_t1 | gene=PVPAM_120043700 | organism=Plasmodium_vivax_PAM | gene_product=MORC family protein, putative | transcript_product=MORC family protein, putative | location=CASCJQ010000012:1525627-1534806(+) | protein_length=3059 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719968.1         -            525 518at5820            -           2167   3.1e-05   19.5  17.4   1   1   2.4e-07   3.4e-05   19.4  17.4  1593  1706   397   506   290   525 0.56 | transcript=PVPAM_080019000_t1 | gene=PVPAM_080019000 | organism=Plasmodium_vivax_PAM | gene_product=rho GTPase-activating protein, putative | transcript_product=rho GTPase-activating protein, putative | location=CASCJQ010000008:650867-653155(-) | protein_length=525 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722901.1         -           1488 518at5820            -           2167   8.4e-05   18.1  19.6   1   2   5.9e-07   8.4e-05   18.1  19.6  1629  1734   410   519   353   616 0.56 | transcript=PVPAM_130040300_t1 | gene=PVPAM_130040300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1560476-1564942(+) | protein_length=1488 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722901.1         -           1488 518at5820            -           2167   8.4e-05   18.1  19.6   2   2     0.028       4.1    2.6  14.8  1667  1749   954  1038   926  1063 0.29 | transcript=PVPAM_130040300_t1 | gene=PVPAM_130040300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1560476-1564942(+) | protein_length=1488 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723478.1         -            586 518at5820            -           2167   8.8e-05   18.1  11.1   1   3         6   8.5e+02   -5.1   6.2   235   278    16    58     4   123 0.37 | transcript=PVPAM_140040100_t1 | gene=PVPAM_140040100 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000014:1520948-1522708(-) | protein_length=586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723478.1         -            586 518at5820            -           2167   8.8e-05   18.1  11.1   2   3   6.2e-07   8.8e-05   18.1  11.1   674   902   150   365   142   381 0.71 | transcript=PVPAM_140040100_t1 | gene=PVPAM_140040100 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000014:1520948-1522708(-) | protein_length=586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723478.1         -            586 518at5820            -           2167   8.8e-05   18.1  11.1   3   3      0.14        20    0.3   5.2   753   873   341   449   327   556 0.62 | transcript=PVPAM_140040100_t1 | gene=PVPAM_140040100 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000014:1520948-1522708(-) | protein_length=586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721130.1         -            944 518at5820            -           2167   0.00013   17.5  38.8   1   3       3.2   4.6e+02   -4.2  12.1   183  1754   105   162     8   181 0.34 | transcript=PVPAM_100039800_t1 | gene=PVPAM_100039800 | organism=Plasmodium_vivax_PAM | gene_product=chromatin assembly factor 1 subunit A, putative | transcript_product=chromatin assembly factor 1 subunit A, putative | location=CASCJQ010000010:1475165-1477999(-) | protein_length=944 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721130.1         -            944 518at5820            -           2167   0.00013   17.5  38.8   2   3       0.7     1e+02   -2.0  36.5  2017  2156   339   479   318   490 0.35 | transcript=PVPAM_100039800_t1 | gene=PVPAM_100039800 | organism=Plasmodium_vivax_PAM | gene_product=chromatin assembly factor 1 subunit A, putative | transcript_product=chromatin assembly factor 1 subunit A, putative | location=CASCJQ010000010:1475165-1477999(-) | protein_length=944 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721130.1         -            944 518at5820            -           2167   0.00013   17.5  38.8   3   3   9.3e-07   0.00013   17.5  38.8  1612  1758   641   791   547   796 0.55 | transcript=PVPAM_100039800_t1 | gene=PVPAM_100039800 | organism=Plasmodium_vivax_PAM | gene_product=chromatin assembly factor 1 subunit A, putative | transcript_product=chromatin assembly factor 1 subunit A, putative | location=CASCJQ010000010:1475165-1477999(-) | protein_length=944 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719309.1         -            437 518at5820            -           2167    0.0002   16.9  22.9   1   1   1.7e-06   0.00025   16.6  22.9  1630  1764   247   376   193   403 0.59 | transcript=PVPAM_060031600_t1 | gene=PVPAM_060031600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:1083235-1084548(+) | protein_length=437 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719007.1         -            294 518at5820            -           2167    0.0002   16.8  22.7   1   1   1.7e-06   0.00024   16.6  22.7  1647  1782    36   168    20   208 0.46 | transcript=PVPAM_050039900_t1 | gene=PVPAM_050039900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:1474687-1475707(-) | protein_length=294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718579.1         -            376 518at5820            -           2167   0.00027   16.5  39.5   1   2   1.9e-06   0.00027   16.5  39.5  1552  1714   102   270    95   272 0.52 | transcript=PVPAM_040032300_t1 | gene=PVPAM_040032300 | organism=Plasmodium_vivax_PAM | gene_product=protein MAK16, putative | transcript_product=protein MAK16, putative | location=CASCJQ010000004:1130504-1131876(+) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718579.1         -            376 518at5820            -           2167   0.00027   16.5  39.5   2   2    0.0054      0.77    5.0  50.8  1663  1769   256   360   254   376 0.37 | transcript=PVPAM_040032300_t1 | gene=PVPAM_040032300 | organism=Plasmodium_vivax_PAM | gene_product=protein MAK16, putative | transcript_product=protein MAK16, putative | location=CASCJQ010000004:1130504-1131876(+) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720004.1         -            381 518at5820            -           2167   0.00029   16.4  34.1   1   1   2.1e-06   0.00031   16.3  34.1  1643  1805    88   249     3   274 0.58 | transcript=PVPAM_080022600_t1 | gene=PVPAM_080022600 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000008:819982-822067(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718017.1         -            358 518at5820            -           2167   0.00029   16.3  16.8   1   1   2.5e-06   0.00035   16.1  16.8  1594  1756    80   242    39   263 0.55 | transcript=PVPAM_020025000_t1 | gene=PVPAM_020025000 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=CASCJQ010000002:867545-868801(-) | protein_length=358 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719631.1         -            288 518at5820            -           2167   0.00073   15.0  31.4   1   1   5.9e-06   0.00085   14.8  31.4  1660  1718   227   285   111   288 0.55 | transcript=PVPAM_070024500_t1 | gene=PVPAM_070024500 | organism=Plasmodium_vivax_PAM | gene_product=nucleosome assembly protein 1, putative | transcript_product=nucleosome assembly protein 1, putative | location=CASCJQ010000007:872113-873391(-) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718922.1         -            334 518at5820            -           2167    0.0016   13.9  12.2   1   1   1.6e-05    0.0023   13.4  12.2  1952  2091    23   160     2   188 0.55 | transcript=PVPAM_050031400_t1 | gene=PVPAM_050031400 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein (PHIST), unknown function | transcript_product=Plasmodium exported protein (PHIST), unknown function | location=CASCJQ010000005:1093668-1094845(-) | protein_length=334 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722282.1         -            647 518at5820            -           2167    0.0021   13.5   6.5   1   3     0.017       2.5    3.3   1.9   677   774    86   176    82   180 0.73 | transcript=PVPAM_120051900_t1 | gene=PVPAM_120051900 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000012:1898527-1900470(-) | protein_length=647 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722282.1         -            647 518at5820            -           2167    0.0021   13.5   6.5   2   3   5.3e-05    0.0077   11.6   0.0   743   782   201   240   194   248 0.93 | transcript=PVPAM_120051900_t1 | gene=PVPAM_120051900 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000012:1898527-1900470(-) | protein_length=647 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722282.1         -            647 518at5820            -           2167    0.0021   13.5   6.5   3   3       2.9   4.2e+02   -4.1   0.1   742   774   359   393   356   401 0.73 | transcript=PVPAM_120051900_t1 | gene=PVPAM_120051900 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000012:1898527-1900470(-) | protein_length=647 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717786.1         -           1171 518at5820            -           2167    0.0032   12.9  10.2   1   1   3.4e-05    0.0049   12.3  10.2  1663  1797   221   357   197   386 0.45 | transcript=PVPAM_010030000_t1 | gene=PVPAM_010030000 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000001:1117779-1121294(-) | protein_length=1171 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722220.1         -            878 518at5820            -           2167    0.0039   12.6   0.1   1   3    0.0026      0.37    6.0   0.0   721   785    19    83    16    90 0.66 | transcript=PVPAM_120045800_t1 | gene=PVPAM_120045800 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=CASCJQ010000012:1628851-1631615(-) | protein_length=878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722220.1         -            878 518at5820            -           2167    0.0039   12.6   0.1   2   3     0.067       9.6    1.3   0.0   712   786   120   194   116   227 0.76 | transcript=PVPAM_120045800_t1 | gene=PVPAM_120045800 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=CASCJQ010000012:1628851-1631615(-) | protein_length=878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722220.1         -            878 518at5820            -           2167    0.0039   12.6   0.1   3   3      0.12        17    0.5   0.0   659   705   232   280   228   284 0.81 | transcript=PVPAM_120045800_t1 | gene=PVPAM_120045800 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=CASCJQ010000012:1628851-1631615(-) | protein_length=878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721622.1         -            332 518at5820            -           2167    0.0049   12.3  14.6   1   1   3.7e-05    0.0053   12.1  14.6  1923  2083     2   175     1   240 0.52 | transcript=PVPAM_110052600_t1 | gene=PVPAM_110052600 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=CASCJQ010000011:2005086-2006297(+) | protein_length=332 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720855.1         -            667 518at5820            -           2167      0.02   10.2  25.9   1   1   0.00019     0.028    9.8  25.9  1637  1791    31   180     5   198 0.52 | transcript=PVPAM_100012100_t1 | gene=PVPAM_100012100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX41, putative | transcript_product=ATP-dependent RNA helicase DDX41, putative | location=CASCJQ010000010:321156-323159(-) | protein_length=667 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722718.1         -            360 518at5820            -           2167      0.04    9.2  49.2   1   1   0.00047     0.068    8.5  49.2  2035  2163    56   194    10   204 0.40 | transcript=PVPAM_130021900_t1 | gene=PVPAM_130021900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:763412-764644(+) | protein_length=360 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723254.1         -            467 518at5820            -           2167     0.071    8.4  10.1   1   1   0.00067     0.096    8.0  10.1  1693  1797    70   172    63   191 0.46 | transcript=PVPAM_140017300_t1 | gene=PVPAM_140017300 | organism=Plasmodium_vivax_PAM | gene_product=tyrosine recombinase, putative | transcript_product=tyrosine recombinase, putative | location=CASCJQ010000014:572490-575580(-) | protein_length=467 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723041.1         -            219 518at5820            -           2167     0.078    8.3   5.0   1   1   0.00065     0.094    8.0   5.0  1637  1756    42   161    28   170 0.50 | transcript=PVPAM_130054700_t1 | gene=PVPAM_130054700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:2202048-2203066(+) | protein_length=219 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723426.1         -            318 518at5820            -           2167     0.097    8.0  80.0   1   1    0.0024      0.35    6.1  80.0  1599  1779   105   285    71   306 0.44 | transcript=PVPAM_140034800_t1 | gene=PVPAM_140034800 | organism=Plasmodium_vivax_PAM | gene_product=NPL domain-containing protein, putative | transcript_product=NPL domain-containing protein, putative | location=CASCJQ010000014:1267733-1269184(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720305.1         -            350 518at5820            -           2167      0.12    7.7  13.1   1   1    0.0012      0.17    7.2  13.1  1664  1700   128   164   106   199 0.40 | transcript=PVPAM_090006900_t1 | gene=PVPAM_090006900 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:143764-144939(+) | protein_length=350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717785.1         -           1679 518at5820            -           2167      0.12    7.7  39.6   1   2    0.0034      0.49    5.6  10.7  1647  1742   995  1081   946  1144 0.47 | transcript=PVPAM_010029900_t1 | gene=PVPAM_010029900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000001:1108280-1116664(-) | protein_length=1679 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717785.1         -           1679 518at5820            -           2167      0.12    7.7  39.6   2   2   0.00091      0.13    7.5  20.9  1662  1716  1228  1283  1214  1390 0.48 | transcript=PVPAM_010029900_t1 | gene=PVPAM_010029900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000001:1108280-1116664(-) | protein_length=1679 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718911.1         -            421 518at5820            -           2167      0.21    6.8  30.8   1   2   4.6e-05    0.0066   11.8  24.5  1594  1699    58   165    33   185 0.42 | transcript=PVPAM_050030300_t1 | gene=PVPAM_050030300 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein (PHIST), unknown function | transcript_product=Plasmodium exported protein (PHIST), unknown function | location=CASCJQ010000005:1046207-1047662(-) | protein_length=421 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718911.1         -            421 518at5820            -           2167      0.21    6.8  30.8   2   2      0.76   1.1e+02   -2.1   0.4  1668  1668   396   396   309   421 0.63 | transcript=PVPAM_050030300_t1 | gene=PVPAM_050030300 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein (PHIST), unknown function | transcript_product=Plasmodium exported protein (PHIST), unknown function | location=CASCJQ010000005:1046207-1047662(-) | protein_length=421 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720306.1         -            343 518at5820            -           2167      0.73    5.1  24.5   1   1    0.0075       1.1    4.5  24.5  1662  1712   105   155    91   175 0.30 | transcript=PVPAM_090007000_t1 | gene=PVPAM_090007000 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:151890-153042(+) | protein_length=343 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717684.1         -            162 518at5820            -           2167      0.95    4.7   8.7   1   1    0.0065      0.93    4.7   8.7  1660  1723     6    71     1   129 0.46 | transcript=PVPAM_010019400_t1 | gene=PVPAM_010019400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000001:696866-697563(+) | protein_length=162 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718108.1         -            824 518at5820            -           2167         1    4.6  36.4   1   1     0.016       2.3    3.4  36.4  2095  2160   321   384   273   397 0.26 | transcript=PVPAM_030010400_t1 | gene=PVPAM_030010400 | organism=Plasmodium_vivax_PAM | gene_product=NYN domain-containing protein, putative | transcript_product=NYN domain-containing protein, putative | location=CASCJQ010000003:267451-270102(-) | protein_length=824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719479.1         -            443 518at5820            -           2167       1.2    4.4  29.4   1   1     0.011       1.5    4.0  29.4  1618  1771   260   416   216   434 0.54 | transcript=PVPAM_070009300_t1 | gene=PVPAM_070009300 | organism=Plasmodium_vivax_PAM | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=CASCJQ010000007:243969-245300(-) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723673.1         -            159 518at5820            -           2167       1.5    4.0  13.2   1   1     0.011       1.6    3.9  13.2  1960  2045    69   136    14   158 0.42 | transcript=PVPAM_140059700_t1 | gene=PVPAM_140059700 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000014:2356786-2357265(+) | protein_length=159 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723663.1         -            367 518at5820            -           2167       1.5    4.0  26.1   1   1     0.014       2.1    3.6  26.1  1570  1788    21   286     7   294 0.44 | transcript=PVPAM_140058700_t1 | gene=PVPAM_140058700 | organism=Plasmodium_vivax_PAM | gene_product=CWC16 domain-containing protein, putative | transcript_product=CWC16 domain-containing protein, putative | location=CASCJQ010000014:2323761-2324864(-) | protein_length=367 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723246.1         -            713 518at5820            -           2167       1.8    3.8  56.2   1   2    0.0031      0.45    5.8  48.6  1578  1785    14   235     3   288 0.37 | transcript=PVPAM_140016500_t1 | gene=PVPAM_140016500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:527469-529610(+) | protein_length=713 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723246.1         -            713 518at5820            -           2167       1.8    3.8  56.2   2   2      0.03       4.3    2.5   0.8  1721  1812   391   495   360   524 0.44 | transcript=PVPAM_140016500_t1 | gene=PVPAM_140016500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:527469-529610(+) | protein_length=713 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718974.1         -            298 518at5820            -           2167       2.1    3.5  81.9   1   1     0.017       2.5    3.3  81.9  2027  2161   162   293   112   298 0.43 | transcript=PVPAM_050036600_t1 | gene=PVPAM_050036600 | organism=Plasmodium_vivax_PAM | gene_product=ran-specific GTPase-activating protein 1, putative | transcript_product=ran-specific GTPase-activating protein 1, putative | location=CASCJQ010000005:1316265-1317533(+) | protein_length=298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722662.1         -            251 518at5820            -           2167       2.4    3.4  20.3   1   1     0.021         3    3.0  20.3  1578  1691    26   138     4   164 0.33 | transcript=PVPAM_130016300_t1 | gene=PVPAM_130016300 | organism=Plasmodium_vivax_PAM | gene_product=(malaria parasite P. vivax) hypothetical protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HI39] | transcript_product=(malaria parasite P. vivax) hypothetical protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HI39] | location=CASCJQ010000013:510861-512038(-) | protein_length=251 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721050.1         -            277 518at5820            -           2167       2.7    3.2  24.9   1   1     0.025       3.7    2.7  24.9  1961  2108   118   263    84   276 0.36 | transcript=PVPAM_100031800_t1 | gene=PVPAM_100031800 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000010:1167488-1168321(-) | protein_length=277 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
