#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721124.1         -            487 8505at5820           -            437  8.6e-182  603.2  71.5   1   1    2e-183  1.1e-180  599.6  71.5     1   437     1   487     1   487 0.89 | transcript=PVPAM_100039200_t1 | gene=PVPAM_100039200 | organism=Plasmodium_vivax_PAM | gene_product=merozoite surface protein 8 | transcript_product=merozoite surface protein 8 | location=CASCJQ010000010:1457174-1458637(+) | protein_length=487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721488.1         -            145 8505at5820           -            437      0.69    7.0   5.3   1   1    0.0015      0.79    6.8   5.3    44    90    12    52     2    75 0.41 | transcript=PVPAM_110039300_t1 | gene=PVPAM_110039300 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000011:1430926-1431363(+) | protein_length=145 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721936.1         -            384 8505at5820           -            437       0.9    6.7  22.9   1   2   0.00033      0.18    9.0  13.9    35    91    93   150    54   188 0.50 | transcript=PVPAM_120017000_t1 | gene=PVPAM_120017000 | organism=Plasmodium_vivax_PAM | gene_product=casein kinase II beta chain, putative | transcript_product=casein kinase II beta chain, putative | location=CASCJQ010000012:534291-535668(+) | protein_length=384 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721936.1         -            384 8505at5820           -            437       0.9    6.7  22.9   2   2     0.023        12    2.9   1.6    61    85   204   232   189   270 0.64 | transcript=PVPAM_120017000_t1 | gene=PVPAM_120017000 | organism=Plasmodium_vivax_PAM | gene_product=casein kinase II beta chain, putative | transcript_product=casein kinase II beta chain, putative | location=CASCJQ010000012:534291-535668(+) | protein_length=384 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721178.1         -            250 8505at5820           -            437       4.2    4.4  22.4   1   2       1.3   6.8e+02   -2.8  17.8    50   151    95   199     9   202 0.59 | transcript=PVPAM_110008000_t1 | gene=PVPAM_110008000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:118356-119108(-) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721178.1         -            250 8505at5820           -            437       4.2    4.4  22.4   2   2   0.00013     0.072   10.3   3.0   265   309   193   237   176   247 0.84 | transcript=PVPAM_110008000_t1 | gene=PVPAM_110008000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:118356-119108(-) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723091.1         -            132 8505at5820           -            437       6.3    3.9  19.7   1   1     0.013       7.1    3.7  19.7    17   101    11    92     3   114 0.58 | transcript=PVPAM_130059700_t1 | gene=PVPAM_130059700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:2418230-2418763(-) | protein_length=132 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8505at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8505at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8505at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:22 2026
# [ok]
