#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720541.1         -            559 5407at5820           -            457  8.1e-251  830.9  24.6   1   1  2.5e-253  2.3e-250  829.4  24.6     2   457     3   500     2   500 0.94 | transcript=PVPAM_090030700_t1 | gene=PVPAM_090030700 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000009:1172849-1175347(-) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719139.1         -           1608 5407at5820           -            457    0.0009   16.5   0.6   2   3    0.0089       8.2    3.5   0.0   211   250   621   663   617   684 0.78 | transcript=PVPAM_060014600_t1 | gene=PVPAM_060014600 | organism=Plasmodium_vivax_PAM | gene_product=tRNA wybutosine-synthesizing protein, putative | transcript_product=tRNA wybutosine-synthesizing protein, putative | location=CASCJQ010000006:393736-398562(-) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719139.1         -           1608 5407at5820           -            457    0.0009   16.5   0.6   3   3   0.00018      0.17    9.1   0.2   264   324   777   834   759   872 0.79 | transcript=PVPAM_060014600_t1 | gene=PVPAM_060014600 | organism=Plasmodium_vivax_PAM | gene_product=tRNA wybutosine-synthesizing protein, putative | transcript_product=tRNA wybutosine-synthesizing protein, putative | location=CASCJQ010000006:393736-398562(-) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5407at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5407at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5407at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:41 2026
# [ok]
