#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719309.1         -            437 4771at5820           -            726   0.00014   18.8  14.3   1   1   6.6e-07   0.00017   18.5  14.3   421   532   245   351   119   377 0.58 | transcript=PVPAM_060031600_t1 | gene=PVPAM_060031600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:1083235-1084548(+) | protein_length=437 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723426.1         -            318 4771at5820           -            726      0.41    7.3  41.8   1   1    0.0021      0.55    6.9  41.8   407   532   114   240    69   260 0.31 | transcript=PVPAM_140034800_t1 | gene=PVPAM_140034800 | organism=Plasmodium_vivax_PAM | gene_product=NPL domain-containing protein, putative | transcript_product=NPL domain-containing protein, putative | location=CASCJQ010000014:1267733-1269184(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717928.1         -            292 4771at5820           -            726      0.48    7.1  13.7   1   1    0.0023       0.6    6.8  13.7   387   459    65   138    42   184 0.38 | transcript=PVPAM_020016000_t1 | gene=PVPAM_020016000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000002:463722-464600(-) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723673.1         -            159 4771at5820           -            726      0.79    6.4  14.9   1   1    0.0034      0.89    6.2  14.9   387   464    67   142    28   158 0.32 | transcript=PVPAM_140059700_t1 | gene=PVPAM_140059700 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000014:2356786-2357265(+) | protein_length=159 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720548.1         -            318 4771at5820           -            726      0.98    6.1  31.0   1   1    0.0063       1.6    5.3  31.0   386   526    71   218    53   232 0.44 | transcript=PVPAM_090031400_t1 | gene=PVPAM_090031400 | organism=Plasmodium_vivax_PAM | gene_product=mediator of RNA polymerase II transcription subunit 21, putative | transcript_product=mediator of RNA polymerase II transcription subunit 21, putative | location=CASCJQ010000009:1198966-1200328(+) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718940.1         -            218 4771at5820           -            726       1.6    5.3  18.0   1   1    0.0073       1.9    5.1  18.0   379   508    63   192    26   204 0.57 | transcript=PVPAM_050033200_t1 | gene=PVPAM_050033200 | organism=Plasmodium_vivax_PAM | gene_product=PRKR-interacting protein 1, putative | transcript_product=PRKR-interacting protein 1, putative | location=CASCJQ010000005:1156071-1156727(-) | protein_length=218 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719657.1         -           1588 4771at5820           -            726       1.7    5.3  28.2   1   3       2.4   6.1e+02   -3.2   0.0   497   558   229   292   210   301 0.58 | transcript=PVPAM_070027100_t1 | gene=PVPAM_070027100 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000007:971410-976288(+) | protein_length=1588 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719657.1         -           1588 4771at5820           -            726       1.7    5.3  28.2   2   3       4.2   1.1e+03   -4.0   0.0   537   552  1204  1219  1196  1220 0.77 | transcript=PVPAM_070027100_t1 | gene=PVPAM_070027100 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000007:971410-976288(+) | protein_length=1588 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719657.1         -           1588 4771at5820           -            726       1.7    5.3  28.2   3   3    0.0084       2.2    4.9  26.9   390   531  1431  1585  1396  1588 0.44 | transcript=PVPAM_070027100_t1 | gene=PVPAM_070027100 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000007:971410-976288(+) | protein_length=1588 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723605.1         -            638 4771at5820           -            726       2.2    5.0  26.2   1   2     0.022       5.8    3.5  23.4   375   538     6   181     1   185 0.47 | transcript=PVPAM_140052900_t1 | gene=PVPAM_140052900 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-interacting protein 2, putative | transcript_product=U3 small nucleolar RNA-interacting protein 2, putative | location=CASCJQ010000014:2061422-2063338(+) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723605.1         -            638 4771at5820           -            726       2.2    5.0  26.2   2   2     0.077        20    1.8   0.0   580   631   369   416   363   422 0.76 | transcript=PVPAM_140052900_t1 | gene=PVPAM_140052900 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-interacting protein 2, putative | transcript_product=U3 small nucleolar RNA-interacting protein 2, putative | location=CASCJQ010000014:2061422-2063338(+) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718734.1         -            216 4771at5820           -            726       2.8    4.6  28.4   1   1     0.014       3.6    4.2  28.4   387   534    17   171     5   183 0.42 | transcript=PVPAM_050012800_t1 | gene=PVPAM_050012800 | organism=Plasmodium_vivax_PAM | gene_product=coiled-coil domain-containing protein 124, putative | transcript_product=coiled-coil domain-containing protein 124, putative | location=CASCJQ010000005:367917-369619(-) | protein_length=216 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723781.1         -            205 4771at5820           -            726       2.9    4.5  35.9   1   1     0.015       3.9    4.1  35.9   395   535    54   172    18   201 0.29 | transcript=PVPAM_140070400_t1 | gene=PVPAM_140070400 | organism=Plasmodium_vivax_PAM | gene_product=(malaria parasite P. vivax) hypothetical protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5X8] | transcript_product=(malaria parasite P. vivax) hypothetical protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5X8] | location=CASCJQ010000014:2791558-2792523(+) | protein_length=205 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723565.1         -            193 4771at5820           -            726       3.2    4.4  14.1   1   1     0.015       3.9    4.1  14.1   421   519     9   109     2   130 0.35 | transcript=PVPAM_140048900_t1 | gene=PVPAM_140048900 | organism=Plasmodium_vivax_PAM | gene_product=glideosome-associated protein 45, putative | transcript_product=glideosome-associated protein 45, putative | location=CASCJQ010000014:1895810-1896391(+) | protein_length=193 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722955.1         -            228 4771at5820           -            726       4.9    3.8  23.6   1   1     0.022       5.7    3.5  23.6   419   534    33   150     4   179 0.40 | transcript=PVPAM_130046100_t1 | gene=PVPAM_130046100 | organism=Plasmodium_vivax_PAM | gene_product=DEK-C domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3H4] | transcript_product=DEK-C domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3H4] | location=CASCJQ010000013:1773281-1774836(-) | protein_length=228 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718056.1         -            380 4771at5820           -            726         6    3.5  14.3   1   1     0.032       8.3    3.0  14.3   397   517   112   221    77   235 0.42 | transcript=PVPAM_030005100_t1 | gene=PVPAM_030005100 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=CASCJQ010000003:11027-12308(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718911.1         -            421 4771at5820           -            726       6.9    3.3  23.2   1   2     0.001      0.27    8.0  17.0   385   496    54   166    39   188 0.48 | transcript=PVPAM_050030300_t1 | gene=PVPAM_050030300 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein (PHIST), unknown function | transcript_product=Plasmodium exported protein (PHIST), unknown function | location=CASCJQ010000005:1046207-1047662(-) | protein_length=421 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718911.1         -            421 4771at5820           -            726       6.9    3.3  23.2   2   2      0.85   2.2e+02   -1.7   0.4   467   483   396   412   308   421 0.58 | transcript=PVPAM_050030300_t1 | gene=PVPAM_050030300 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein (PHIST), unknown function | transcript_product=Plasmodium exported protein (PHIST), unknown function | location=CASCJQ010000005:1046207-1047662(-) | protein_length=421 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720476.1         -            316 4771at5820           -            726       7.6    3.1  16.0   1   1      0.04        10    2.7  16.0   367   500   173   303   169   314 0.40 | transcript=PVPAM_090024100_t1 | gene=PVPAM_090024100 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor U2AF small subunit, putative | transcript_product=splicing factor U2AF small subunit, putative | location=CASCJQ010000009:871813-872763(-) | protein_length=316 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723612.1         -            903 4771at5820           -            726        10    2.8  25.0   1   1     0.056        15    2.2  25.0   386   478    53   136    16   149 0.33 | transcript=PVPAM_140053600_t1 | gene=PVPAM_140053600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:2088870-2091581(-) | protein_length=903 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4771at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4771at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4771at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:58 2026
# [ok]
