#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720884.1         -            986 7767at5820           -            425  2.9e-197  654.3 148.6   1   5  2.9e-112  1.9e-109  365.0  15.5     1   203    14   217    14   228 0.82 | transcript=PVPAM_100015200_t1 | gene=PVPAM_100015200 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:446340-449300(-) | protein_length=986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721271.1         -            965 7767at5820           -            425   5.3e-22   76.9   6.2   4   4        10   6.5e+03   -9.2  13.0   139   272   799   938   784   953 0.57 | transcript=PVPAM_110017300_t1 | gene=PVPAM_110017300 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000011:526903-529800(-) | protein_length=965 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720906.1         -           1941 7767at5820           -            425   1.3e-21   75.6  11.5   1   7        10   6.5e+03  -15.9  22.4   170   326    48   214    13   225 0.60 | transcript=PVPAM_100017400_t1 | gene=PVPAM_100017400 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:541287-547112(-) | protein_length=1941 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720906.1         -           1941 7767at5820           -            425   1.3e-21   75.6  11.5   2   7     2e-24   1.3e-21   75.6  11.5    16   117   385   490   379   500 0.88 | transcript=PVPAM_100017400_t1 | gene=PVPAM_100017400 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:541287-547112(-) | protein_length=1941 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720906.1         -           1941 7767at5820           -            425   1.3e-21   75.6  11.5   3   7        10   6.5e+03   -9.6   9.6   149   332   673   730   654   773 0.49 | transcript=PVPAM_100017400_t1 | gene=PVPAM_100017400 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:541287-547112(-) | protein_length=1941 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720906.1         -           1941 7767at5820           -            425   1.3e-21   75.6  11.5   4   7        10   6.5e+03  -15.6  17.0   133   264  1110  1244  1093  1260 0.45 | transcript=PVPAM_100017400_t1 | gene=PVPAM_100017400 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:541287-547112(-) | protein_length=1941 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720906.1         -           1941 7767at5820           -            425   1.3e-21   75.6  11.5   5   7         1   6.7e+02   -2.6   3.6   171   222  1333  1384  1325  1437 0.79 | transcript=PVPAM_100017400_t1 | gene=PVPAM_100017400 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:541287-547112(-) | protein_length=1941 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720906.1         -           1941 7767at5820           -            425   1.3e-21   75.6  11.5   6   7        10   6.5e+03   -6.5   5.9   158   227  1676  1746  1656  1752 0.69 | transcript=PVPAM_100017400_t1 | gene=PVPAM_100017400 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:541287-547112(-) | protein_length=1941 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720906.1         -           1941 7767at5820           -            425   1.3e-21   75.6  11.5   7   7       1.7   1.1e+03   -3.3   0.0   139   190  1782  1834  1753  1867 0.69 | transcript=PVPAM_100017400_t1 | gene=PVPAM_100017400 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:541287-547112(-) | protein_length=1941 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720631.1         -           2163 7767at5820           -            425   9.3e-19   66.1   8.9   1   5        10   6.5e+03   -8.1   7.9   148   248   223   324   185   344 0.59 | transcript=PVPAM_090039500_t1 | gene=PVPAM_090039500 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000009:1523504-1529995(-) | protein_length=2163 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720631.1         -           2163 7767at5820           -            425   9.3e-19   66.1   8.9   2   5   1.4e-21   9.3e-19   66.1   8.9    15   117   482   584   477   589 0.95 | transcript=PVPAM_090039500_t1 | gene=PVPAM_090039500 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000009:1523504-1529995(-) | protein_length=2163 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720631.1         -           2163 7767at5820           -            425   9.3e-19   66.1   8.9   3   5        10   6.5e+03  -11.5  10.0   164   249  1349  1436  1325  1467 0.52 | transcript=PVPAM_090039500_t1 | gene=PVPAM_090039500 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000009:1523504-1529995(-) | protein_length=2163 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720631.1         -           2163 7767at5820           -            425   9.3e-19   66.1   8.9   4   5        10   6.5e+03   -8.9   7.4   202   206  1627  1631  1563  1696 0.49 | transcript=PVPAM_090039500_t1 | gene=PVPAM_090039500 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000009:1523504-1529995(-) | protein_length=2163 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720631.1         -           2163 7767at5820           -            425   9.3e-19   66.1   8.9   5   5        10   6.5e+03  -15.2  16.8   161   211  1794  1847  1761  1934 0.61 | transcript=PVPAM_090039500_t1 | gene=PVPAM_090039500 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000009:1523504-1529995(-) | protein_length=2163 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722747.1         -           1004 7767at5820           -            425   5.7e-18   63.6  28.2   1   3   8.9e-21   5.7e-18   63.6  28.2    14   246    21   258     8   296 0.64 | transcript=PVPAM_130024800_t1 | gene=PVPAM_130024800 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000013:898985-901999(-) | protein_length=1004 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722747.1         -           1004 7767at5820           -            425   5.7e-18   63.6  28.2   2   3      0.88   5.7e+02   -2.3   1.7   223   277   413   468   334   519 0.54 | transcript=PVPAM_130024800_t1 | gene=PVPAM_130024800 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000013:898985-901999(-) | protein_length=1004 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722747.1         -           1004 7767at5820           -            425   5.7e-18   63.6  28.2   3   3        10   6.5e+03   -6.7   9.8   206   295   839   934   783  1001 0.56 | transcript=PVPAM_130024800_t1 | gene=PVPAM_130024800 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000013:898985-901999(-) | protein_length=1004 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719146.1         -           1493 7767at5820           -            425   7.4e-17   59.9   6.0   1   2   1.1e-19   7.4e-17   59.9   6.0    16   116     5   101     2   105 0.94 | transcript=PVPAM_060015300_t1 | gene=PVPAM_060015300 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000006:428110-433169(-) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719146.1         -           1493 7767at5820           -            425   7.4e-17   59.9   6.0   2   2       3.6   2.3e+03   -4.3   0.4   190   220   220   252   187   263 0.50 | transcript=PVPAM_060015300_t1 | gene=PVPAM_060015300 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000006:428110-433169(-) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719714.1         -           1239 7767at5820           -            425   2.9e-15   54.6   2.1   1   2   4.5e-18   2.9e-15   54.6   2.1    17   119     2   103     1   160 0.88 | transcript=PVPAM_070032800_t1 | gene=PVPAM_070032800 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000007:1204141-1208889(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719714.1         -           1239 7767at5820           -            425   2.9e-15   54.6   2.1   2   2       7.1   4.6e+03   -5.3   2.1   170   171   394   395   342   446 0.49 | transcript=PVPAM_070032800_t1 | gene=PVPAM_070032800 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000007:1204141-1208889(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722893.1         -           1301 7767at5820           -            425   2.8e-09   34.9   3.2   1   1   7.2e-12   4.6e-09   34.2   3.2    46   118   191   263   175   271 0.91 | transcript=PVPAM_130039500_t1 | gene=PVPAM_130039500 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000013:1526387-1530292(+) | protein_length=1301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7767at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7767at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7767at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:47 2026
# [ok]
