#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717675.1         -            832 2617at5820           -            738         0 1652.5   9.9   1   1         0         0 1652.3   9.9     1   738    13   806    13   806 0.98 | transcript=PVPAM_010018500_t1 | gene=PVPAM_010018500 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM7, putative | transcript_product=DNA replication licensing factor MCM7, putative | location=CASCJQ010000001:655820-658318(-) | protein_length=832 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720862.1         -            971 2617at5820           -            738   9.4e-65  217.4   7.9   3   3       1.9   1.6e+03   -4.8   1.0   643   676   825   858   824   881 0.72 | transcript=PVPAM_100013000_t1 | gene=PVPAM_100013000 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=CASCJQ010000010:352385-355420(+) | protein_length=971 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722758.1         -           1328 2617at5820           -            738   1.2e-51  174.1   2.0   1   3    0.0023       1.9    4.9   1.9   128   344   232   455   224   472 0.70 | transcript=PVPAM_130025900_t1 | gene=PVPAM_130025900 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase MCM8, putative | transcript_product=DNA helicase MCM8, putative | location=CASCJQ010000013:945155-949814(-) | protein_length=1328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722758.1         -           1328 2617at5820           -            738   1.2e-51  174.1   2.0   2   3   1.5e-54   1.2e-51  174.1   2.0   319   567   783  1033   780  1043 0.92 | transcript=PVPAM_130025900_t1 | gene=PVPAM_130025900 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase MCM8, putative | transcript_product=DNA helicase MCM8, putative | location=CASCJQ010000013:945155-949814(-) | protein_length=1328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722758.1         -           1328 2617at5820           -            738   1.2e-51  174.1   2.0   3   3     0.024        19    1.5   0.1   563   656  1136  1224  1112  1240 0.77 | transcript=PVPAM_130025900_t1 | gene=PVPAM_130025900 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase MCM8, putative | transcript_product=DNA helicase MCM8, putative | location=CASCJQ010000013:945155-949814(-) | protein_length=1328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718941.1         -           1322 2617at5820           -            738   8.5e-32  108.5   7.5   1   3    0.0015       1.2    5.4   0.0   239   302   507   566   496   577 0.86 | transcript=PVPAM_050033300_t1 | gene=PVPAM_050033300 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=CASCJQ010000005:1157436-1161404(-) | protein_length=1322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718941.1         -           1322 2617at5820           -            738   8.5e-32  108.5   7.5   2   3   9.3e-33   7.5e-30  102.0   3.9   388   555   878  1046   868  1052 0.91 | transcript=PVPAM_050033300_t1 | gene=PVPAM_050033300 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=CASCJQ010000005:1157436-1161404(-) | protein_length=1322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718941.1         -           1322 2617at5820           -            738   8.5e-32  108.5   7.5   3   3      0.19   1.5e+02   -1.5   0.1   621   663  1203  1245  1194  1275 0.77 | transcript=PVPAM_050033300_t1 | gene=PVPAM_050033300 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=CASCJQ010000005:1157436-1161404(-) | protein_length=1322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2617at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2617at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2617at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:54 2026
# [ok]
