#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718159.1         -           1746 598at5820            -           1293         0 2411.3 128.1   1   6   3.1e-72   6.7e-69  231.5  15.1     1   143     1   154     1   168 0.94 | transcript=PVPAM_030015900_t1 | gene=PVPAM_030015900 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase alpha catalytic subunit A, putative | transcript_product=DNA polymerase alpha catalytic subunit A, putative | location=CASCJQ010000003:470841-476677(-) | protein_length=1746 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719318.1         -           1907 598at5820            -           1293   4.5e-10   36.6  13.6   4   5     0.078   1.7e+02   -1.8   1.0   884   927  1574  1618  1502  1678 0.70 | transcript=PVPAM_060032500_t1 | gene=PVPAM_060032500 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase zeta catalytic subunit, putative | transcript_product=DNA polymerase zeta catalytic subunit, putative | location=CASCJQ010000006:1120991-1127220(+) | protein_length=1907 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719318.1         -           1907 598at5820            -           1293   4.5e-10   36.6  13.6   5   5      0.28     6e+02   -3.6   0.1  1000  1019  1733  1752  1727  1756 0.81 | transcript=PVPAM_060032500_t1 | gene=PVPAM_060032500 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase zeta catalytic subunit, putative | transcript_product=DNA polymerase zeta catalytic subunit, putative | location=CASCJQ010000006:1120991-1127220(+) | protein_length=1907 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/598at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/598at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/598at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:30 2026
# [ok]
