#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722755.1         -           1681 1387at5820           -           1102         0 2115.6 115.6   1   5         0         0 1333.3  33.3     1   637    12   685    12   710 0.95 | transcript=PVPAM_130025600_t1 | gene=PVPAM_130025600 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-X3, putative | transcript_product=kinesin-X3, putative | location=CASCJQ010000013:931940-937370(+) | protein_length=1681 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720128.1         -           1388 1387at5820           -           1102   1.2e-36  124.4  42.2   4   4       1.2   7.5e+02   -4.1   0.1   814   843   990  1019   986  1071 0.74 | transcript=PVPAM_080035000_t1 | gene=PVPAM_080035000 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-5, putative | transcript_product=kinesin-5, putative | location=CASCJQ010000008:1359800-1364145(+) | protein_length=1388 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723791.1         -           1477 1387at5820           -           1102   8.3e-32  108.4  24.2   1   4   3.3e-11   2.1e-08   30.9   0.3    84   140   146   202    93   206 0.90 | transcript=PVPAM_140071400_t1 | gene=PVPAM_140071400 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-15, putative | transcript_product=kinesin-15, putative | location=CASCJQ010000014:2819539-2823972(-) | protein_length=1477 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723791.1         -           1477 1387at5820           -           1102   8.3e-32  108.4  24.2   2   4   1.4e-17   9.3e-15   51.9   3.2   138   332   241   420   232   436 0.81 | transcript=PVPAM_140071400_t1 | gene=PVPAM_140071400 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-15, putative | transcript_product=kinesin-15, putative | location=CASCJQ010000014:2819539-2823972(-) | protein_length=1477 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723791.1         -           1477 1387at5820           -           1102   8.3e-32  108.4  24.2   3   4   2.7e-14   1.8e-11   41.1   0.1   354   412   503   561   501   615 0.86 | transcript=PVPAM_140071400_t1 | gene=PVPAM_140071400 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-15, putative | transcript_product=kinesin-15, putative | location=CASCJQ010000014:2819539-2823972(-) | protein_length=1477 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723791.1         -           1477 1387at5820           -           1102   8.3e-32  108.4  24.2   4   4       3.9   2.5e+03   -5.8   3.0   962  1007  1415  1464  1385  1473 0.61 | transcript=PVPAM_140071400_t1 | gene=PVPAM_140071400 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-15, putative | transcript_product=kinesin-15, putative | location=CASCJQ010000014:2819539-2823972(-) | protein_length=1477 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719998.1         -           3266 1387at5820           -           1102   8.5e-27   91.8  14.3   1   6   3.9e-23   2.5e-20   70.4   4.9    68   271   196   411   179   460 0.79 | transcript=PVPAM_080022000_t1 | gene=PVPAM_080022000 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=CASCJQ010000008:791162-801236(-) | protein_length=3266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719998.1         -           3266 1387at5820           -           1102   8.5e-27   91.8  14.3   2   6   2.8e-13   1.8e-10   37.7   1.9   286   439   504   636   495   680 0.79 | transcript=PVPAM_080022000_t1 | gene=PVPAM_080022000 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=CASCJQ010000008:791162-801236(-) | protein_length=3266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719998.1         -           3266 1387at5820           -           1102   8.5e-27   91.8  14.3   3   6       2.4   1.5e+03   -5.1   5.2   976  1043  1004  1071   988  1084 0.52 | transcript=PVPAM_080022000_t1 | gene=PVPAM_080022000 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=CASCJQ010000008:791162-801236(-) | protein_length=3266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719998.1         -           3266 1387at5820           -           1102   8.5e-27   91.8  14.3   4   6        10   6.5e+03  -13.0  28.7   584   730  1399  1549  1367  1578 0.62 | transcript=PVPAM_080022000_t1 | gene=PVPAM_080022000 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=CASCJQ010000008:791162-801236(-) | protein_length=3266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719998.1         -           3266 1387at5820           -           1102   8.5e-27   91.8  14.3   5   6        10   6.5e+03   -7.7   4.6   643   667  1713  1737  1693  1767 0.49 | transcript=PVPAM_080022000_t1 | gene=PVPAM_080022000 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=CASCJQ010000008:791162-801236(-) | protein_length=3266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719998.1         -           3266 1387at5820           -           1102   8.5e-27   91.8  14.3   6   6       2.4   1.6e+03   -5.1   5.1  1027  1081  1856  1913  1841  1934 0.67 | transcript=PVPAM_080022000_t1 | gene=PVPAM_080022000 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=CASCJQ010000008:791162-801236(-) | protein_length=3266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720751.1         -            800 1387at5820           -           1102   3.6e-22   76.5  12.9   1   3   5.6e-25   3.6e-22   76.5  12.9    84   416    51   380    27   391 0.78 | transcript=PVPAM_090051500_t1 | gene=PVPAM_090051500 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-X4, putative | transcript_product=kinesin-X4, putative | location=CASCJQ010000009:2066270-2069818(-) | protein_length=800 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720751.1         -            800 1387at5820           -           1102   3.6e-22   76.5  12.9   2   3        10   6.5e+03  -10.3  11.4   978  1035   464   521   445   532 0.52 | transcript=PVPAM_090051500_t1 | gene=PVPAM_090051500 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-X4, putative | transcript_product=kinesin-X4, putative | location=CASCJQ010000009:2066270-2069818(-) | protein_length=800 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720751.1         -            800 1387at5820           -           1102   3.6e-22   76.5  12.9   3   3      0.24   1.6e+02   -1.8   0.4    20   130   683   798   673   800 0.53 | transcript=PVPAM_090051500_t1 | gene=PVPAM_090051500 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-X4, putative | transcript_product=kinesin-X4, putative | location=CASCJQ010000009:2066270-2069818(-) | protein_length=800 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723786.1         -           1103 1387at5820           -           1102   5.2e-19   66.0   6.7   1   3     8e-22   5.2e-19   66.0   6.7    76   411    80   377    17   386 0.79 | transcript=PVPAM_140070900_t1 | gene=PVPAM_140070900 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-13, putative | transcript_product=kinesin-13, putative | location=CASCJQ010000014:2803723-2807172(+) | protein_length=1103 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723786.1         -           1103 1387at5820           -           1102   5.2e-19   66.0   6.7   2   3      0.15        95   -1.1   0.2   862   916   470   523   422   531 0.69 | transcript=PVPAM_140070900_t1 | gene=PVPAM_140070900 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-13, putative | transcript_product=kinesin-13, putative | location=CASCJQ010000014:2803723-2807172(+) | protein_length=1103 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723786.1         -           1103 1387at5820           -           1102   5.2e-19   66.0   6.7   3   3       3.1     2e+03   -5.5   3.6  1015  1015   962   962   902  1089 0.59 | transcript=PVPAM_140070900_t1 | gene=PVPAM_140070900 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-13, putative | transcript_product=kinesin-13, putative | location=CASCJQ010000014:2803723-2807172(+) | protein_length=1103 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718253.1         -           2291 1387at5820           -           1102   1.3e-12   44.8   6.6   1   2   0.00085      0.55    6.3   0.1    80   140   300   355   228   365 0.74 | transcript=PVPAM_030025300_t1 | gene=PVPAM_030025300 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-20, putative | transcript_product=kinesin-20, putative | location=CASCJQ010000003:834456-841331(+) | protein_length=2291 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718253.1         -           2291 1387at5820           -           1102   1.3e-12   44.8   6.6   2   2     4e-13   2.6e-10   37.2   3.2   170   428   629   867   619   885 0.78 | transcript=PVPAM_030025300_t1 | gene=PVPAM_030025300 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-20, putative | transcript_product=kinesin-20, putative | location=CASCJQ010000003:834456-841331(+) | protein_length=2291 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717758.1         -            794 1387at5820           -           1102   1.9e-10   37.7  10.6   1   2   6.2e-10     4e-07   26.6   0.3    88   152   109   174    95   180 0.87 | transcript=PVPAM_010027200_t1 | gene=PVPAM_010027200 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-like protein, putative | transcript_product=kinesin-like protein, putative | location=CASCJQ010000001:981936-985140(+) | protein_length=794 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717758.1         -            794 1387at5820           -           1102   1.9e-10   37.7  10.6   2   2   1.6e-05      0.01   12.1   4.9   233   408   239   399   229   413 0.69 | transcript=PVPAM_010027200_t1 | gene=PVPAM_010027200 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-like protein, putative | transcript_product=kinesin-like protein, putative | location=CASCJQ010000001:981936-985140(+) | protein_length=794 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1387at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1387at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1387at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:42 2026
# [ok]
