#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717952.1         -            159 14674at5820          -            109   1.4e-38  129.9  24.8   1   3   9.9e-08     8e-05   21.3   0.4     1    23     1    23     1    29 0.94 | transcript=PVPAM_020018400_t1 | gene=PVPAM_020018400 | organism=Plasmodium_vivax_PAM | gene_product=thrombospondin-related sporozoite protein, putative | transcript_product=thrombospondin-related sporozoite protein, putative | location=CASCJQ010000002:559060-560017(-) | protein_length=159 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718797.1         -            695 14674at5820          -            109    0.0095   14.6   0.9   3   3       2.4     2e+03   -2.5   0.0    82    94   578   591   558   605 0.44 | transcript=PVPAM_050019100_t1 | gene=PVPAM_050019100 | organism=Plasmodium_vivax_PAM | gene_product=thrombospondin-related protein 1, putative | transcript_product=thrombospondin-related protein 1, putative | location=CASCJQ010000005:630715-632802(+) | protein_length=695 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719241.1         -            387 14674at5820          -            109      0.44    9.2  16.0   1   2   4.4e-05     0.035   12.7   4.7     2    62     2    62     1    63 0.86 | transcript=PVPAM_060024800_t1 | gene=PVPAM_060024800 | organism=Plasmodium_vivax_PAM | gene_product=merozoite TRAP-like protein, putative | transcript_product=merozoite TRAP-like protein, putative | location=CASCJQ010000006:838661-839824(+) | protein_length=387 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719241.1         -            387 14674at5820          -            109      0.44    9.2  16.0   2   2      0.16   1.3e+02    1.3   4.9    29    42    62    75    61   110 0.81 | transcript=PVPAM_060024800_t1 | gene=PVPAM_060024800 | organism=Plasmodium_vivax_PAM | gene_product=merozoite TRAP-like protein, putative | transcript_product=merozoite TRAP-like protein, putative | location=CASCJQ010000006:838661-839824(+) | protein_length=387 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14674at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14674at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14674at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:07 2026
# [ok]
