#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720113.1         -           1727 555at5820            -           1342         0 2686.6  68.0   1   5  4.9e-156  5.3e-153  509.9   8.9     1   252    10   270    10   275 0.97 | transcript=PVPAM_080033500_t1 | gene=PVPAM_080033500 | organism=Plasmodium_vivax_PAM | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=CASCJQ010000008:1280951-1286134(-) | protein_length=1727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720671.1         -           3984 555at5820            -           1342   3.5e-81  271.9  73.1   8   8       1.1   1.2e+03   -4.8   4.3    48   110  2701  2764  2585  2785 0.85 | transcript=PVPAM_090043600_t1 | gene=PVPAM_090043600 | organism=Plasmodium_vivax_PAM | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=CASCJQ010000009:1693656-1705610(-) | protein_length=3984 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723572.1         -           1680 555at5820            -           1342   4.8e-64  215.2  69.6   1   6   5.6e-23     6e-20   69.1  14.2    52   228    60   238    15   253 0.76 | transcript=PVPAM_140049600_t1 | gene=PVPAM_140049600 | organism=Plasmodium_vivax_PAM | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=CASCJQ010000014:1919483-1925541(+) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723572.1         -           1680 555at5820            -           1342   4.8e-64  215.2  69.6   2   6      0.12   1.3e+02   -1.6   2.8   180   237   326   382   275   392 0.73 | transcript=PVPAM_140049600_t1 | gene=PVPAM_140049600 | organism=Plasmodium_vivax_PAM | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=CASCJQ010000014:1919483-1925541(+) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723572.1         -           1680 555at5820            -           1342   4.8e-64  215.2  69.6   3   6   6.6e-11   7.1e-08   29.1   9.8   255   468   624   816   612   827 0.75 | transcript=PVPAM_140049600_t1 | gene=PVPAM_140049600 | organism=Plasmodium_vivax_PAM | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=CASCJQ010000014:1919483-1925541(+) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723572.1         -           1680 555at5820            -           1342   4.8e-64  215.2  69.6   4   6     0.032        34    0.3   0.0   540   582  1123  1164  1098  1168 0.77 | transcript=PVPAM_140049600_t1 | gene=PVPAM_140049600 | organism=Plasmodium_vivax_PAM | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=CASCJQ010000014:1919483-1925541(+) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723572.1         -           1680 555at5820            -           1342   4.8e-64  215.2  69.6   5   6   4.7e-27     5e-24   82.6   6.0   633   801  1166  1335  1150  1358 0.88 | transcript=PVPAM_140049600_t1 | gene=PVPAM_140049600 | organism=Plasmodium_vivax_PAM | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=CASCJQ010000014:1919483-1925541(+) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723572.1         -           1680 555at5820            -           1342   4.8e-64  215.2  69.6   6   6   3.2e-20   3.4e-17   59.9   3.4   907  1084  1368  1545  1362  1550 0.81 | transcript=PVPAM_140049600_t1 | gene=PVPAM_140049600 | organism=Plasmodium_vivax_PAM | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=CASCJQ010000014:1919483-1925541(+) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717931.1         -           1191 555at5820            -           1342   1.7e-12   44.4   8.6   1   4   0.00024      0.26    7.3   0.0   393   426   336   369   330   381 0.87 | transcript=PVPAM_020016300_t1 | gene=PVPAM_020016300 | organism=Plasmodium_vivax_PAM | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=CASCJQ010000002:474480-478546(+) | protein_length=1191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717931.1         -           1191 555at5820            -           1342   1.7e-12   44.4   8.6   2   4      0.11   1.2e+02   -1.5   0.1   597   634   501   538   489   554 0.86 | transcript=PVPAM_020016300_t1 | gene=PVPAM_020016300 | organism=Plasmodium_vivax_PAM | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=CASCJQ010000002:474480-478546(+) | protein_length=1191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717931.1         -           1191 555at5820            -           1342   1.7e-12   44.4   8.6   3   4   3.1e-12   3.4e-09   33.5   0.2   638   792   630   783   626   790 0.82 | transcript=PVPAM_020016300_t1 | gene=PVPAM_020016300 | organism=Plasmodium_vivax_PAM | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=CASCJQ010000002:474480-478546(+) | protein_length=1191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717931.1         -           1191 555at5820            -           1342   1.7e-12   44.4   8.6   4   4   0.00045      0.49    6.4   0.1   923   992   846   913   839   954 0.75 | transcript=PVPAM_020016300_t1 | gene=PVPAM_020016300 | organism=Plasmodium_vivax_PAM | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=CASCJQ010000002:474480-478546(+) | protein_length=1191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722764.1         -           1355 555at5820            -           1342     2e-05   20.9   0.4   1   3      0.02        22    0.9   0.0   402   430   522   550   388   560 0.83 | transcript=PVPAM_130026500_t1 | gene=PVPAM_130026500 | organism=Plasmodium_vivax_PAM | gene_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | transcript_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | location=CASCJQ010000013:979421-983488(-) | protein_length=1355 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722764.1         -           1355 555at5820            -           1342     2e-05   20.9   0.4   2   3     5e-07   0.00053   16.2   0.0   695   793   780   877   760   888 0.84 | transcript=PVPAM_130026500_t1 | gene=PVPAM_130026500 | organism=Plasmodium_vivax_PAM | gene_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | transcript_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | location=CASCJQ010000013:979421-983488(-) | protein_length=1355 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722764.1         -           1355 555at5820            -           1342     2e-05   20.9   0.4   3   3     0.079        85   -1.0   0.1   925   982   926   983   921   999 0.75 | transcript=PVPAM_130026500_t1 | gene=PVPAM_130026500 | organism=Plasmodium_vivax_PAM | gene_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | transcript_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | location=CASCJQ010000013:979421-983488(-) | protein_length=1355 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/555at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/555at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/555at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:19 2026
# [ok]
