#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719539.1         -           1405 1394at5820           -           1113         0 2228.0  83.4   1   4   1.2e-35   1.5e-32  110.8   7.8     1   116     1   192     1   196 0.89 | transcript=PVPAM_070015300_t1 | gene=PVPAM_070015300 | organism=Plasmodium_vivax_PAM | gene_product=helicase SKI2W, putative | transcript_product=helicase SKI2W, putative | location=CASCJQ010000007:525117-529334(+) | protein_length=1405 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718995.1         -           2675 1394at5820           -           1113   1.6e-20   70.9  13.6   3   6   7.7e-18     1e-14   51.8   0.7   402   567  1000  1165   936  1206 0.86 | transcript=PVPAM_050038700_t1 | gene=PVPAM_050038700 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=CASCJQ010000005:1435448-1443475(+) | protein_length=2675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718995.1         -           2675 1394at5820           -           1113   1.6e-20   70.9  13.6   4   6      0.17   2.1e+02   -2.3   0.4   197   282  1752  1846  1731  1854 0.69 | transcript=PVPAM_050038700_t1 | gene=PVPAM_050038700 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=CASCJQ010000005:1435448-1443475(+) | protein_length=2675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718995.1         -           2675 1394at5820           -           1113   1.6e-20   70.9  13.6   5   6     0.027        35    0.3   0.1   292   366  1937  2005  1930  2021 0.77 | transcript=PVPAM_050038700_t1 | gene=PVPAM_050038700 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=CASCJQ010000005:1435448-1443475(+) | protein_length=2675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718995.1         -           2675 1394at5820           -           1113   1.6e-20   70.9  13.6   6   6   1.6e-09   2.1e-06   24.2   0.4   465   566  2053  2155  2045  2163 0.90 | transcript=PVPAM_050038700_t1 | gene=PVPAM_050038700 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=CASCJQ010000005:1435448-1443475(+) | protein_length=2675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721396.1         -            862 1394at5820           -           1113   1.7e-08   31.1   1.4   1   2   0.00068      0.88    5.6   0.5   169   287   214   320    54   343 0.66 | transcript=PVPAM_110029900_t1 | gene=PVPAM_110029900 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase SUV3, putative | transcript_product=ATP-dependent RNA helicase SUV3, putative | location=CASCJQ010000011:1081604-1084328(+) | protein_length=862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721396.1         -            862 1394at5820           -           1113   1.7e-08   31.1   1.4   2   2   1.8e-09   2.3e-06   24.1   0.0   504   554   449   499   444   518 0.88 | transcript=PVPAM_110029900_t1 | gene=PVPAM_110029900 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase SUV3, putative | transcript_product=ATP-dependent RNA helicase SUV3, putative | location=CASCJQ010000011:1081604-1084328(+) | protein_length=862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1394at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1394at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1394at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:57 2026
# [ok]
