#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717676.1         -           2757 438at5820            -           1966         0 3061.9 224.7   1   5  2.6e-299  1.7e-296  985.7  41.8     1   634     1   874     1   904 0.85 | transcript=PVPAM_010018600_t1 | gene=PVPAM_010018600 | organism=Plasmodium_vivax_PAM | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=CASCJQ010000001:660888-669339(-) | protein_length=2757 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717796.1         -           1305 438at5820            -           1966   3.9e-19   66.0  14.4   4   4      0.55   3.6e+02   -3.5   2.9   921   990  1141  1210  1112  1265 0.59 | transcript=PVPAM_010031000_t1 | gene=PVPAM_010031000 | organism=Plasmodium_vivax_PAM | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=CASCJQ010000001:1155325-1159242(+) | protein_length=1305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719007.1         -            294 438at5820            -           1966    0.0028   13.4   8.4   1   1   5.9e-06    0.0038   13.0   8.4   366   465    61   165    29   184 0.57 | transcript=PVPAM_050039900_t1 | gene=PVPAM_050039900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:1474687-1475707(-) | protein_length=294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720855.1         -            667 438at5820            -           1966      0.03   10.0  18.1   1   1   7.8e-05     0.051    9.2  18.1  1110  1286    36   213     9   229 0.54 | transcript=PVPAM_100012100_t1 | gene=PVPAM_100012100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX41, putative | transcript_product=ATP-dependent RNA helicase DDX41, putative | location=CASCJQ010000010:321156-323159(-) | protein_length=667 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720306.1         -            343 438at5820            -           1966      0.11    8.2  17.4   1   1   0.00025      0.16    7.5  17.4  1119  1175   101   157    79   177 0.40 | transcript=PVPAM_090007000_t1 | gene=PVPAM_090007000 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:151890-153042(+) | protein_length=343 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718467.1         -           1438 438at5820            -           1966       1.4    4.4   6.9   1   1    0.0033       2.1    3.9   6.9  1109  1246  1001  1142   991  1159 0.44 | transcript=PVPAM_040021300_t1 | gene=PVPAM_040021300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000004:693279-697595(-) | protein_length=1438 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722520.1         -            369 438at5820            -           1966       2.4    3.7  14.7   1   1    0.0055       3.6    3.1  14.7  1072  1192   223   348   214   360 0.52 | transcript=PVPAM_120075900_t1 | gene=PVPAM_120075900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2974231-2975447(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720107.1         -            299 438at5820            -           1966       3.5    3.1  19.1   1   1    0.0062         4    2.9  19.1  1095  1234   151   295   100   299 0.37 | transcript=PVPAM_080032900_t1 | gene=PVPAM_080032900 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000008:1265540-1266874(-) | protein_length=299 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723781.1         -            205 438at5820            -           1966       8.9    1.8  39.4   1   1     0.017        11    1.5  39.4  1077  1226    45   190    28   200 0.48 | transcript=PVPAM_140070400_t1 | gene=PVPAM_140070400 | organism=Plasmodium_vivax_PAM | gene_product=(malaria parasite P. vivax) hypothetical protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5X8] | transcript_product=(malaria parasite P. vivax) hypothetical protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5X8] | location=CASCJQ010000014:2791558-2792523(+) | protein_length=205 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/438at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/438at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/438at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:23 2026
# [ok]
