#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723621.1         -            996 3779at5820           -            568  1.9e-280  929.9  92.2   1   7  3.3e-229  7.2e-227  753.0   2.8     1   301     1   301     1   307 1.00 | transcript=PVPAM_140054500_t1 | gene=PVPAM_140054500 | organism=Plasmodium_vivax_PAM | gene_product=NIMA related kinase 1, putative | transcript_product=NIMA related kinase 1, putative | location=CASCJQ010000014:2126362-2129525(+) | protein_length=996 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720514.1         -           1958 3779at5820           -            568   6.7e-21   73.0   5.4   1   1   3.1e-23   6.7e-21   73.0   5.4    12   308  1501  1770  1493  1780 0.87 | transcript=PVPAM_090027900_t1 | gene=PVPAM_090027900 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=CASCJQ010000009:1066933-1072968(+) | protein_length=1958 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723318.1         -            368 3779at5820           -            568   9.6e-21   72.5   9.1   1   1   2.6e-21   5.6e-19   66.7   9.1    12   293   105   356    98   363 0.86 | transcript=PVPAM_140023700_t1 | gene=PVPAM_140023700 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase PK9, putative | transcript_product=serine/threonine protein kinase PK9, putative | location=CASCJQ010000014:822225-823331(+) | protein_length=368 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722902.1         -            284 3779at5820           -            568   6.6e-20   69.7  18.8   1   1   2.5e-21   5.4e-19   66.7  18.8     4   300    11   281     8   284 0.81 | transcript=PVPAM_130040400_t1 | gene=PVPAM_130040400 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=CASCJQ010000013:1566035-1568262(-) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720212.1         -           1622 3779at5820           -            568   3.5e-18   64.0   0.9   1   3       3.5   7.5e+02   -3.1   0.2   293   331   160   198   141   203 0.73 | transcript=PVPAM_080043400_t1 | gene=PVPAM_080043400 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase ARK2, putative | transcript_product=serine/threonine protein kinase ARK2, putative | location=CASCJQ010000008:1697725-1702833(+) | protein_length=1622 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720212.1         -           1622 3779at5820           -            568   3.5e-18   64.0   0.9   2   3       9.4     2e+03   -4.5  17.2   306   432  1042  1176  1033  1190 0.67 | transcript=PVPAM_080043400_t1 | gene=PVPAM_080043400 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase ARK2, putative | transcript_product=serine/threonine protein kinase ARK2, putative | location=CASCJQ010000008:1697725-1702833(+) | protein_length=1622 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720212.1         -           1622 3779at5820           -            568   3.5e-18   64.0   0.9   3   3   1.6e-20   3.5e-18   64.0   0.9    17   247  1364  1578  1352  1613 0.81 | transcript=PVPAM_080043400_t1 | gene=PVPAM_080043400 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase ARK2, putative | transcript_product=serine/threonine protein kinase ARK2, putative | location=CASCJQ010000008:1697725-1702833(+) | protein_length=1622 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722833.1         -            710 3779at5820           -            568   7.2e-18   63.0   6.9   1   2   7.4e-19   1.6e-16   58.6   5.8     8   252    13   233     6   270 0.83 | transcript=PVPAM_130033500_t1 | gene=PVPAM_130033500 | organism=Plasmodium_vivax_PAM | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=CASCJQ010000013:1298190-1300322(+) | protein_length=710 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722833.1         -            710 3779at5820           -            568   7.2e-18   63.0   6.9   2   2       1.7   3.7e+02   -2.1   0.0   269   311   280   322   248   387 0.61 | transcript=PVPAM_130033500_t1 | gene=PVPAM_130033500 | organism=Plasmodium_vivax_PAM | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=CASCJQ010000013:1298190-1300322(+) | protein_length=710 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721579.1         -            354 3779at5820           -            568   1.7e-17   61.7   1.3   1   1   5.6e-18   1.2e-15   55.7   1.3    12   248    29   245    26   257 0.83 | transcript=PVPAM_110048400_t1 | gene=PVPAM_110048400 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase ARK1, putative | transcript_product=serine/threonine protein kinase ARK1, putative | location=CASCJQ010000011:1807072-1808609(-) | protein_length=354 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722783.1         -            854 3779at5820           -            568   2.2e-17   61.4   2.0   1   1   9.7e-18   2.1e-15   54.9   2.0     4   245   531   739   529   751 0.87 | transcript=PVPAM_130028400_t1 | gene=PVPAM_130028400 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-dependent protein kinase | transcript_product=cGMP-dependent protein kinase | location=CASCJQ010000013:1044052-1047856(+) | protein_length=854 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718584.1         -           2117 3779at5820           -            568   4.6e-17   60.3   7.7   1   1   5.2e-18   1.1e-15   55.8   7.7    41   338  1718  1985  1685  2036 0.77 | transcript=PVPAM_040032900_t1 | gene=PVPAM_040032900 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000004:1143558-1149911(+) | protein_length=2117 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721982.1         -            305 3779at5820           -            568   1.3e-16   58.8   6.1   1   1   4.1e-17   8.8e-15   52.8   6.1    13   252     7   225     4   239 0.80 | transcript=PVPAM_120022100_t1 | gene=PVPAM_120022100 | organism=Plasmodium_vivax_PAM | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=CASCJQ010000012:719734-721835(-) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718435.1         -            526 3779at5820           -            568   3.4e-16   57.5  14.6   1   1   8.3e-18   1.8e-15   55.1  14.6    14   311    55   340    43   435 0.80 | transcript=PVPAM_040018100_t1 | gene=PVPAM_040018100 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=CASCJQ010000004:566628-569175(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722659.1         -            296 3779at5820           -            568   6.7e-15   53.2   6.8   1   1   8.7e-15   1.9e-12   45.1   6.8    27   291    37   273    25   292 0.84 | transcript=PVPAM_130016000_t1 | gene=PVPAM_130016000 | organism=Plasmodium_vivax_PAM | gene_product=NIMA related kinase 3, putative | transcript_product=NIMA related kinase 3, putative | location=CASCJQ010000013:503229-504119(-) | protein_length=296 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723399.1         -            517 3779at5820           -            568     3e-13   47.8   5.5   1   2   2.6e-05    0.0056   13.9   3.1    52   158   251   343   241   346 0.86 | transcript=PVPAM_140032100_t1 | gene=PVPAM_140032100 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=CASCJQ010000014:1174997-1177096(-) | protein_length=517 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723399.1         -            517 3779at5820           -            568     3e-13   47.8   5.5   2   2     2e-11   4.4e-09   34.0   0.0   168   254   384   470   363   510 0.78 | transcript=PVPAM_140032100_t1 | gene=PVPAM_140032100 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=CASCJQ010000014:1174997-1177096(-) | protein_length=517 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720374.1         -            335 3779at5820           -            568   1.5e-12   45.5   6.2   1   1   5.7e-13   1.2e-10   39.1   6.2    10   260    38   254    27   284 0.79 | transcript=PVPAM_090013900_t1 | gene=PVPAM_090013900 | organism=Plasmodium_vivax_PAM | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=CASCJQ010000009:497458-498465(+) | protein_length=335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718956.1         -            613 3779at5820           -            568   8.7e-12   42.9   6.6   1   1     4e-14   8.7e-12   42.9   6.6    10   254   263   482   258   488 0.84 | transcript=PVPAM_050034800_t1 | gene=PVPAM_050034800 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=CASCJQ010000005:1231892-1233733(-) | protein_length=613 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723810.1         -            740 3779at5820           -            568   1.2e-11   42.5   7.2   1   1   8.3e-14   1.8e-11   41.9   7.2    21   267    30   264    19   336 0.79 | transcript=PVPAM_140073300_t1 | gene=PVPAM_140073300 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000014:2888926-2891148(+) | protein_length=740 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722432.1         -            889 3779at5820           -            568     3e-10   37.8   4.4   1   1   1.4e-12     3e-10   37.8   4.4    12   246   557   785   549   797 0.71 | transcript=PVPAM_120066900_t1 | gene=PVPAM_120066900 | organism=Plasmodium_vivax_PAM | gene_product=protein serine/threonine kinase-1, putative | transcript_product=protein serine/threonine kinase-1, putative | location=CASCJQ010000012:2528585-2531254(+) | protein_length=889 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720179.1         -            494 3779at5820           -            568   3.8e-10   37.5   6.4   1   1   6.6e-11   1.4e-08   32.3   6.4    15   253   119   332   108   342 0.73 | transcript=PVPAM_080040100_t1 | gene=PVPAM_080040100 | organism=Plasmodium_vivax_PAM | gene_product=glycogen synthase kinase 3, putative | transcript_product=glycogen synthase kinase 3, putative | location=CASCJQ010000008:1564136-1566591(+) | protein_length=494 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720044.1         -            325 3779at5820           -            568   7.9e-10   36.5   5.6   1   1   8.6e-12   1.8e-09   35.2   5.6    59   252    59   235    14   239 0.78 | transcript=PVPAM_080026600_t1 | gene=PVPAM_080026600 | organism=Plasmodium_vivax_PAM | gene_product=MO15-related protein kinase, putative | transcript_product=MO15-related protein kinase, putative | location=CASCJQ010000008:990655-991632(+) | protein_length=325 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717807.1         -            721 3779at5820           -            568   4.6e-09   33.9   3.6   1   1   1.8e-09   3.9e-07   27.6   3.6    14   290   457   705   451   713 0.76 | transcript=PVPAM_010032100_t1 | gene=PVPAM_010032100 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000001:1221835-1224854(+) | protein_length=721 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718813.1         -            807 3779at5820           -            568   7.1e-09   33.3   8.3   1   3   8.6e-06    0.0018   15.4   0.6    14    96    34   113    20   123 0.77 | transcript=PVPAM_050020700_t1 | gene=PVPAM_050020700 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=CASCJQ010000005:677818-680438(-) | protein_length=807 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718813.1         -            807 3779at5820           -            568   7.1e-09   33.3   8.3   2   3      0.24        52    0.8   0.1   126   158   243   268   213   274 0.72 | transcript=PVPAM_050020700_t1 | gene=PVPAM_050020700 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=CASCJQ010000005:677818-680438(-) | protein_length=807 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718813.1         -            807 3779at5820           -            568   7.1e-09   33.3   8.3   3   3     3e-07   6.4e-05   20.3   0.1   180   254   579   652   558   675 0.83 | transcript=PVPAM_050020700_t1 | gene=PVPAM_050020700 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=CASCJQ010000005:677818-680438(-) | protein_length=807 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721476.1         -            806 3779at5820           -            568     8e-09   33.1   4.5   1   3   1.2e-09   2.5e-07   28.2   0.1    85   216   154   268   145   278 0.79 | transcript=PVPAM_110038100_t1 | gene=PVPAM_110038100 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 5, putative | transcript_product=cdc2-related protein kinase 5, putative | location=CASCJQ010000011:1389536-1391956(-) | protein_length=806 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721476.1         -            806 3779at5820           -            568     8e-09   33.1   4.5   2   3     0.016       3.5    4.6   0.0   220   255   480   515   472   573 0.69 | transcript=PVPAM_110038100_t1 | gene=PVPAM_110038100 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 5, putative | transcript_product=cdc2-related protein kinase 5, putative | location=CASCJQ010000011:1389536-1391956(-) | protein_length=806 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721476.1         -            806 3779at5820           -            568     8e-09   33.1   4.5   3   3       1.1   2.4e+02   -1.4   0.3   449   564   584   704   569   708 0.67 | transcript=PVPAM_110038100_t1 | gene=PVPAM_110038100 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 5, putative | transcript_product=cdc2-related protein kinase 5, putative | location=CASCJQ010000011:1389536-1391956(-) | protein_length=806 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719798.1         -            341 3779at5820           -            568   1.6e-08   32.2   2.5   1   3    0.0039      0.84    6.7   0.5    11   101    29   119    21   141 0.73 | transcript=PVPAM_070041200_t1 | gene=PVPAM_070041200 | organism=Plasmodium_vivax_PAM | gene_product=cAMP-dependent protein kinase catalytic subunit, putative | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative | location=CASCJQ010000007:1475268-1476949(+) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719798.1         -            341 3779at5820           -            568   1.6e-08   32.2   2.5   2   3       1.5   3.2e+02   -1.9   0.0   146   159   153   166   147   170 0.86 | transcript=PVPAM_070041200_t1 | gene=PVPAM_070041200 | organism=Plasmodium_vivax_PAM | gene_product=cAMP-dependent protein kinase catalytic subunit, putative | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative | location=CASCJQ010000007:1475268-1476949(+) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719798.1         -            341 3779at5820           -            568   1.6e-08   32.2   2.5   3   3   1.1e-08   2.5e-06   24.9   0.1   179   246   169   232   159   280 0.84 | transcript=PVPAM_070041200_t1 | gene=PVPAM_070041200 | organism=Plasmodium_vivax_PAM | gene_product=cAMP-dependent protein kinase catalytic subunit, putative | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative | location=CASCJQ010000007:1475268-1476949(+) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723327.1         -            341 3779at5820           -            568   1.1e-07   29.4   9.3   1   1   1.4e-08   2.9e-06   24.7   9.3    14   239    29   234    21   302 0.66 | transcript=PVPAM_140024600_t1 | gene=PVPAM_140024600 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000014:854740-857658(-) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720423.1         -            580 3779at5820           -            568   2.5e-07   28.2   4.7   1   2       2.1   4.4e+02   -2.3   0.5   319   361    46    87    21   103 0.66 | transcript=PVPAM_090018800_t1 | gene=PVPAM_090018800 | organism=Plasmodium_vivax_PAM | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=CASCJQ010000009:677012-678754(-) | protein_length=580 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720423.1         -            580 3779at5820           -            568   2.5e-07   28.2   4.7   2   2   1.2e-09   2.5e-07   28.2   4.7    14   237   176   398   171   409 0.77 | transcript=PVPAM_090018800_t1 | gene=PVPAM_090018800 | organism=Plasmodium_vivax_PAM | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=CASCJQ010000009:677012-678754(-) | protein_length=580 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718902.1         -           1623 3779at5820           -            568   4.6e-05   20.7   0.4   1   4      0.45        97   -0.1   9.6   236   375    56   212    52   225 0.57 | transcript=PVPAM_050029400_t1 | gene=PVPAM_050029400 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=CASCJQ010000005:1015568-1020565(+) | protein_length=1623 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718902.1         -           1623 3779at5820           -            568   4.6e-05   20.7   0.4   2   4   5.2e-05     0.011   12.9   0.8    10    78   647   715   638   722 0.89 | transcript=PVPAM_050029400_t1 | gene=PVPAM_050029400 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=CASCJQ010000005:1015568-1020565(+) | protein_length=1623 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718902.1         -           1623 3779at5820           -            568   4.6e-05   20.7   0.4   3   4   2.1e-07   4.6e-05   20.7   0.4   175   250   939  1014   904  1033 0.76 | transcript=PVPAM_050029400_t1 | gene=PVPAM_050029400 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=CASCJQ010000005:1015568-1020565(+) | protein_length=1623 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718902.1         -           1623 3779at5820           -            568   4.6e-05   20.7   0.4   4   4      0.08        17    2.3   0.0   274   326  1082  1136  1046  1152 0.75 | transcript=PVPAM_050029400_t1 | gene=PVPAM_050029400 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=CASCJQ010000005:1015568-1020565(+) | protein_length=1623 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3779at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3779at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3779at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:40 2026
# [ok]
