#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720739.1         -            783 4072at5820           -            548  9.3e-295  976.7  56.8   1   2  1.9e-172  8.9e-170  564.2  35.5     4   324   182   508   180   513 0.98 | transcript=PVPAM_090050400_t1 | gene=PVPAM_090050400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=CASCJQ010000009:2031131-2033769(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721839.1         -            969 4072at5820           -            548     1e-33  115.1  65.4   2   2   1.4e-35   6.4e-33  112.4  14.1   339   540   740   938   734   945 0.92 | transcript=PVPAM_120007300_t1 | gene=PVPAM_120007300 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 6, putative | transcript_product=ABC transporter B family member 6, putative | location=CASCJQ010000012:98389-101386(+) | protein_length=969 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722743.1         -            918 4072at5820           -            548     8e-25   85.7  32.1   1   3   3.5e-07   0.00016   18.7  17.3    26   295   221   498   205   565 0.71 | transcript=PVPAM_130024400_t1 | gene=PVPAM_130024400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=CASCJQ010000013:872788-875544(-) | protein_length=918 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722743.1         -            918 4072at5820           -            548     8e-25   85.7  32.1   2   3   3.2e-12   1.5e-09   35.3   1.9   340   439   612   713   605   757 0.87 | transcript=PVPAM_130024400_t1 | gene=PVPAM_130024400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=CASCJQ010000013:872788-875544(-) | protein_length=918 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722743.1         -            918 4072at5820           -            548     8e-25   85.7  32.1   3   3   7.3e-14   3.4e-11   40.7   0.2   440   545   790   893   761   896 0.90 | transcript=PVPAM_130024400_t1 | gene=PVPAM_130024400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=CASCJQ010000013:872788-875544(-) | protein_length=918 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721958.1         -            815 4072at5820           -            548   1.7e-18   64.8  28.4   1   3    0.0015      0.71    6.7   9.7   144   291   254   401   203   407 0.76 | transcript=PVPAM_120019400_t1 | gene=PVPAM_120019400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=CASCJQ010000012:611960-614407(-) | protein_length=815 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721958.1         -            815 4072at5820           -            548   1.7e-18   64.8  28.4   2   3   1.5e-14   6.9e-12   43.0   1.8   330   427   481   584   476   587 0.83 | transcript=PVPAM_120019400_t1 | gene=PVPAM_120019400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=CASCJQ010000012:611960-614407(-) | protein_length=815 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721958.1         -            815 4072at5820           -            548   1.7e-18   64.8  28.4   3   3   1.5e-09   6.9e-07   26.5   1.4   446   544   694   788   660   791 0.87 | transcript=PVPAM_120019400_t1 | gene=PVPAM_120019400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=CASCJQ010000012:611960-614407(-) | protein_length=815 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722884.1         -            695 4072at5820           -            548   1.5e-12   45.2   0.4   1   1     8e-15   3.7e-12   43.9   0.4   348   527    57   235    33   256 0.84 | transcript=PVPAM_130038600_t1 | gene=PVPAM_130038600 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter G family member 2, putative | transcript_product=ABC transporter G family member 2, putative | location=CASCJQ010000013:1498834-1500921(+) | protein_length=695 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723629.1         -           2007 4072at5820           -            548   1.7e-08   31.9   6.1   1   4     1e-08   4.7e-06   23.8   0.1   344   484   707   836   703   860 0.79 | transcript=PVPAM_140055300_t1 | gene=PVPAM_140055300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance-associated protein 1, putative | transcript_product=multidrug resistance-associated protein 1, putative | location=CASCJQ010000014:2171292-2177315(-) | protein_length=2007 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723629.1         -           2007 4072at5820           -            548   1.7e-08   31.9   6.1   2   4      0.71   3.3e+02   -2.1   1.3   336   426  1197  1286  1190  1293 0.76 | transcript=PVPAM_140055300_t1 | gene=PVPAM_140055300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance-associated protein 1, putative | transcript_product=multidrug resistance-associated protein 1, putative | location=CASCJQ010000014:2171292-2177315(-) | protein_length=2007 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723629.1         -           2007 4072at5820           -            548   1.7e-08   31.9   6.1   3   4     2e-07   9.3e-05   19.5   2.7   326   411  1726  1811  1715  1861 0.81 | transcript=PVPAM_140055300_t1 | gene=PVPAM_140055300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance-associated protein 1, putative | transcript_product=multidrug resistance-associated protein 1, putative | location=CASCJQ010000014:2171292-2177315(-) | protein_length=2007 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723629.1         -           2007 4072at5820           -            548   1.7e-08   31.9   6.1   4   4      0.13        61    0.3   0.1   503   544  1943  1983  1914  1986 0.78 | transcript=PVPAM_140055300_t1 | gene=PVPAM_140055300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance-associated protein 1, putative | transcript_product=multidrug resistance-associated protein 1, putative | location=CASCJQ010000014:2171292-2177315(-) | protein_length=2007 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720500.1         -            792 4072at5820           -            548   1.1e-07   29.1  22.2   1   5     0.029        13    2.5   0.7   341   373   194   226   172   238 0.83 | transcript=PVPAM_090026500_t1 | gene=PVPAM_090026500 | organism=Plasmodium_vivax_PAM | gene_product=protein GCN20, putative | transcript_product=protein GCN20, putative | location=CASCJQ010000009:973394-975772(+) | protein_length=792 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720500.1         -            792 4072at5820           -            548   1.1e-07   29.1  22.2   2   5   0.00027      0.12    9.2   0.2   463   528   360   421   351   439 0.80 | transcript=PVPAM_090026500_t1 | gene=PVPAM_090026500 | organism=Plasmodium_vivax_PAM | gene_product=protein GCN20, putative | transcript_product=protein GCN20, putative | location=CASCJQ010000009:973394-975772(+) | protein_length=792 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720500.1         -            792 4072at5820           -            548   1.1e-07   29.1  22.2   3   5      0.27   1.3e+02   -0.8   0.3   327   533   524   553   516   571 0.56 | transcript=PVPAM_090026500_t1 | gene=PVPAM_090026500 | organism=Plasmodium_vivax_PAM | gene_product=protein GCN20, putative | transcript_product=protein GCN20, putative | location=CASCJQ010000009:973394-975772(+) | protein_length=792 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720500.1         -            792 4072at5820           -            548   1.1e-07   29.1  22.2   4   5   2.1e-08   9.8e-06   22.7   1.8   337   422   584   674   580   690 0.73 | transcript=PVPAM_090026500_t1 | gene=PVPAM_090026500 | organism=Plasmodium_vivax_PAM | gene_product=protein GCN20, putative | transcript_product=protein GCN20, putative | location=CASCJQ010000009:973394-975772(+) | protein_length=792 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720500.1         -            792 4072at5820           -            548   1.1e-07   29.1  22.2   5   5    0.0015      0.68    6.7   0.0   466   506   696   736   687   770 0.79 | transcript=PVPAM_090026500_t1 | gene=PVPAM_090026500 | organism=Plasmodium_vivax_PAM | gene_product=protein GCN20, putative | transcript_product=protein GCN20, putative | location=CASCJQ010000009:973394-975772(+) | protein_length=792 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722809.1         -            257 4072at5820           -            548   6.9e-07   26.5   9.0   1   1   9.8e-07   0.00045   17.2   9.0   340   526    20   190     2   210 0.76 | transcript=PVPAM_130031000_t1 | gene=PVPAM_130031000 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-associated factor 16, putative | transcript_product=CCR4-associated factor 16, putative | location=CASCJQ010000013:1173066-1174701(+) | protein_length=257 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723421.1         -           1280 4072at5820           -            548   1.5e-06   25.4   3.7   1   3   7.9e-05     0.037   10.9   9.2   308   434   159   277   153   301 0.80 | transcript=PVPAM_140034300_t1 | gene=PVPAM_140034300 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=CASCJQ010000014:1247997-1251839(+) | protein_length=1280 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723421.1         -           1280 4072at5820           -            548   1.5e-06   25.4   3.7   2   3   3.3e-09   1.5e-06   25.4   3.7   331   384   801   860   772   863 0.79 | transcript=PVPAM_140034300_t1 | gene=PVPAM_140034300 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=CASCJQ010000014:1247997-1251839(+) | protein_length=1280 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723421.1         -           1280 4072at5820           -            548   1.5e-06   25.4   3.7   3   3         2   9.2e+02   -3.6   4.4   132   158  1099  1126  1074  1133 0.71 | transcript=PVPAM_140034300_t1 | gene=PVPAM_140034300 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=CASCJQ010000014:1247997-1251839(+) | protein_length=1280 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722997.1         -            351 4072at5820           -            548   2.5e-06   24.7   2.7   1   1   4.7e-08   2.2e-05   21.6   2.7   343   542   118   325   102   330 0.72 | transcript=PVPAM_130050300_t1 | gene=PVPAM_130050300 | organism=Plasmodium_vivax_PAM | gene_product=iron-sulfur cluster assembly protein SufC, putative | transcript_product=iron-sulfur cluster assembly protein SufC, putative | location=CASCJQ010000013:1999133-2000188(+) | protein_length=351 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721175.1         -            619 4072at5820           -            548   0.00013   19.0  10.5   1   4      0.25   1.1e+02   -0.6   0.1   192   233    19    62    13    87 0.80 | transcript=PVPAM_110007700_t1 | gene=PVPAM_110007700 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=CASCJQ010000011:111403-113391(+) | protein_length=619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721175.1         -            619 4072at5820           -            548   0.00013   19.0  10.5   2   4     0.011       4.9    3.9   0.1   360   536   122   301    95   309 0.74 | transcript=PVPAM_110007700_t1 | gene=PVPAM_110007700 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=CASCJQ010000011:111403-113391(+) | protein_length=619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721175.1         -            619 4072at5820           -            548   0.00013   19.0  10.5   3   4    0.0018      0.85    6.4   0.1   342   404   375   439   328   456 0.65 | transcript=PVPAM_110007700_t1 | gene=PVPAM_110007700 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=CASCJQ010000011:111403-113391(+) | protein_length=619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721175.1         -            619 4072at5820           -            548   0.00013   19.0  10.5   4   4   1.7e-05    0.0079   13.1   0.3   456   538   471   554   461   561 0.79 | transcript=PVPAM_110007700_t1 | gene=PVPAM_110007700 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=CASCJQ010000011:111403-113391(+) | protein_length=619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4072at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4072at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4072at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:02 2026
# [ok]
