#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717964.1         -            631 4891at5820           -            503         0 1049.0  28.1   1   2   8.7e-30   9.4e-27   92.5   8.5     1    72    73   153    73   159 0.90 | transcript=PVPAM_020019600_t1 | gene=PVPAM_020019600 | organism=Plasmodium_vivax_PAM | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=CASCJQ010000002:607532-609427(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721858.1         -            585 4891at5820           -            503   2.7e-18   64.6   0.3   1   1   2.7e-20   2.9e-17   61.2   0.3   185   496   235   580   229   583 0.71 | transcript=PVPAM_120009200_t1 | gene=PVPAM_120009200 | organism=Plasmodium_vivax_PAM | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=CASCJQ010000012:172890-174856(+) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722964.1         -            677 4891at5820           -            503   3.2e-09   34.7   1.0   1   2   5.3e-09   5.7e-06   23.9   1.3   208   326   311   430   286   547 0.80 | transcript=PVPAM_130047000_t1 | gene=PVPAM_130047000 | organism=Plasmodium_vivax_PAM | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=CASCJQ010000013:1841121-1843154(-) | protein_length=677 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722964.1         -            677 4891at5820           -            503   3.2e-09   34.7   1.0   2   2   0.00038      0.41    7.9   0.0   442   495   618   672   603   675 0.83 | transcript=PVPAM_130047000_t1 | gene=PVPAM_130047000 | organism=Plasmodium_vivax_PAM | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=CASCJQ010000013:1841121-1843154(-) | protein_length=677 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4891at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4891at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4891at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:30 2026
# [ok]
