#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722479.1         -            745 6648at5820           -            520  1.5e-196  652.5  23.6   1   1  3.1e-197  3.3e-194  644.7  23.6     1   520     1   745     1   745 0.90 | transcript=PVPAM_120071600_t1 | gene=PVPAM_120071600 | organism=Plasmodium_vivax_PAM | gene_product=AP-3 complex subunit mu, putative | transcript_product=AP-3 complex subunit mu, putative | location=CASCJQ010000012:2741271-2743508(+) | protein_length=745 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720464.1         -            155 6648at5820           -            520   1.9e-06   25.2   0.5   1   1   1.8e-09   1.9e-06   25.2   0.5    57   144    61   145     6   153 0.80 | transcript=PVPAM_090022900_t1 | gene=PVPAM_090022900 | organism=Plasmodium_vivax_PAM | gene_product=AP-1 complex subunit sigma, putative | transcript_product=AP-1 complex subunit sigma, putative | location=CASCJQ010000009:834776-835387(+) | protein_length=155 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719001.1         -            146 6648at5820           -            520    0.0042   14.2   8.1   1   1   4.3e-06    0.0046   14.0   8.1     7   129     8   132     2   141 0.69 | transcript=PVPAM_050039300_t1 | gene=PVPAM_050039300 | organism=Plasmodium_vivax_PAM | gene_product=AP-4 complex subunit sigma, putative | transcript_product=AP-4 complex subunit sigma, putative | location=CASCJQ010000005:1455070-1455723(-) | protein_length=146 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6648at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6648at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6648at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:56 2026
# [ok]
