#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723005.1         -           1175 3420at5820           -            717         0 1260.5  59.0   1   6   2.6e-17     8e-15   52.5   0.6     1    64    22    98    22   104 0.90 | transcript=PVPAM_130051100_t1 | gene=PVPAM_130051100 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000013:2025318-2028845(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723415.1         -           1070 3420at5820           -            717   2.7e-73  245.8  28.1   2   3   3.4e-74     1e-71  240.6   7.8   425   677   549   797   532   808 0.91 | transcript=PVPAM_140033700_t1 | gene=PVPAM_140033700 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000014:1228250-1231462(+) | protein_length=1070 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723415.1         -           1070 3420at5820           -            717   2.7e-73  245.8  28.1   3   3       1.5   4.5e+02   -2.9   1.0   679   713  1033  1067  1007  1070 0.86 | transcript=PVPAM_140033700_t1 | gene=PVPAM_140033700 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000014:1228250-1231462(+) | protein_length=1070 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718885.1         -            392 3420at5820           -            717   3.8e-55  185.8   0.1   1   1   3.6e-57   1.1e-54  184.3   0.0   437   676   125   363    94   382 0.89 | transcript=PVPAM_050027700_t1 | gene=PVPAM_050027700 | organism=Plasmodium_vivax_PAM | gene_product=26S protease regulatory subunit 6B, putative | transcript_product=26S protease regulatory subunit 6B, putative | location=CASCJQ010000005:947308-948671(-) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723229.1         -            393 3420at5820           -            717   2.8e-54  182.9   0.5   1   2       1.3     4e+02   -2.7   1.4    66   114    15    67     5    71 0.63 | transcript=PVPAM_140014800_t1 | gene=PVPAM_140014800 | organism=Plasmodium_vivax_PAM | gene_product=26S protease regulatory subunit 10B, putative | transcript_product=26S protease regulatory subunit 10B, putative | location=CASCJQ010000014:461124-462305(-) | protein_length=393 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723229.1         -            393 3420at5820           -            717   2.8e-54  182.9   0.5   2   2   9.1e-57   2.8e-54  182.9   0.5   445   676   133   362   122   383 0.89 | transcript=PVPAM_140014800_t1 | gene=PVPAM_140014800 | organism=Plasmodium_vivax_PAM | gene_product=26S protease regulatory subunit 10B, putative | transcript_product=26S protease regulatory subunit 10B, putative | location=CASCJQ010000014:461124-462305(-) | protein_length=393 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723825.1         -            424 3420at5820           -            717   8.5e-53  178.0   0.0   1   1   3.8e-55   1.2e-52  177.6   0.0   442   704   161   416   116   424 0.87 | transcript=PVPAM_140074800_t1 | gene=PVPAM_140074800 | organism=Plasmodium_vivax_PAM | gene_product=26S protease regulatory subunit 8, putative | transcript_product=26S protease regulatory subunit 8, putative | location=CASCJQ010000014:2935721-2936995(-) | protein_length=424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719980.1         -            447 3420at5820           -            717   1.2e-49  167.6   0.0   1   1   5.6e-52   1.7e-49  167.1   0.0   445   687   188   429   174   440 0.90 | transcript=PVPAM_080020200_t1 | gene=PVPAM_080020200 | organism=Plasmodium_vivax_PAM | gene_product=26S protease regulatory subunit 4, putative | transcript_product=26S protease regulatory subunit 4, putative | location=CASCJQ010000008:717094-718726(-) | protein_length=447 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720588.1         -            441 3420at5820           -            717   4.6e-49  165.7   0.1   1   2       1.1   3.5e+02   -2.5   0.8    59    98    30    69    10    86 0.47 | transcript=PVPAM_090035300_t1 | gene=PVPAM_090035300 | organism=Plasmodium_vivax_PAM | gene_product=26S protease regulatory subunit 6A, putative | transcript_product=26S protease regulatory subunit 6A, putative | location=CASCJQ010000009:1347152-1348477(+) | protein_length=441 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720588.1         -            441 3420at5820           -            717   4.6e-49  165.7   0.1   2   2   3.9e-51   1.2e-48  164.3   0.0   441   676   180   413   172   439 0.90 | transcript=PVPAM_090035300_t1 | gene=PVPAM_090035300 | organism=Plasmodium_vivax_PAM | gene_product=26S protease regulatory subunit 6A, putative | transcript_product=26S protease regulatory subunit 6A, putative | location=CASCJQ010000009:1347152-1348477(+) | protein_length=441 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723739.1         -            896 3420at5820           -            717   5.8e-48  162.0   0.0   1   1   3.5e-50   1.1e-47  161.2   0.0   448   682   160   392   142   401 0.84 | transcript=PVPAM_140066300_t1 | gene=PVPAM_140066300 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent zinc metalloprotease FTSH 1, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH 1, putative | location=CASCJQ010000014:2628494-2631184(+) | protein_length=896 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723281.1         -            420 3420at5820           -            717   6.4e-46  155.3   0.0   1   1   2.8e-48   8.6e-46  154.9   0.0   444   679   157   390   135   412 0.88 | transcript=PVPAM_140020000_t1 | gene=PVPAM_140020000 | organism=Plasmodium_vivax_PAM | gene_product=26S protease regulatory subunit 7, putative | transcript_product=26S protease regulatory subunit 7, putative | location=CASCJQ010000014:667717-669210(-) | protein_length=420 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722234.1         -            702 3420at5820           -            717     4e-45  152.7   0.2   1   1   3.3e-47     1e-44  151.3   0.2   440   678   241   473   227   513 0.88 | transcript=PVPAM_120047100_t1 | gene=PVPAM_120047100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=CASCJQ010000012:1695818-1697926(+) | protein_length=702 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720479.1         -            950 3420at5820           -            717   1.3e-42  144.3   0.1   1   1   6.1e-45   1.9e-42  143.8   0.1   433   696   389   650   311   672 0.80 | transcript=PVPAM_090024400_t1 | gene=PVPAM_090024400 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=CASCJQ010000009:885031-887883(-) | protein_length=950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722309.1         -            442 3420at5820           -            717   1.1e-41  141.3   8.2   1   2     1e-42   3.1e-40  136.5   5.5   369   629    30   296     4   298 0.81 | transcript=PVPAM_120054600_t1 | gene=PVPAM_120054600 | organism=Plasmodium_vivax_PAM | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=CASCJQ010000012:1997081-1998409(+) | protein_length=442 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722309.1         -            442 3420at5820           -            717   1.1e-41  141.3   8.2   2   2    0.0048       1.5    5.3   0.0   647   682   330   365   322   374 0.80 | transcript=PVPAM_120054600_t1 | gene=PVPAM_120054600 | organism=Plasmodium_vivax_PAM | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=CASCJQ010000012:1997081-1998409(+) | protein_length=442 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718122.1         -            700 3420at5820           -            717   1.8e-41  140.6   2.1   1   1   8.8e-44   2.7e-41  140.0   2.1   444   666   419   639   375   651 0.82 | transcript=PVPAM_030011800_t1 | gene=PVPAM_030011800 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000003:322999-325101(-) | protein_length=700 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720273.1         -            785 3420at5820           -            717   3.5e-40  136.3  12.4   1   3         2     6e+02   -3.3   0.2   287   349    61   119    54   150 0.63 | transcript=PVPAM_080049600_t1 | gene=PVPAM_080049600 | organism=Plasmodium_vivax_PAM | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=CASCJQ010000008:1926957-1929314(+) | protein_length=785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720273.1         -            785 3420at5820           -            717   3.5e-40  136.3  12.4   2   3   4.5e-42   1.4e-39  134.3   0.4   467   675   276   492   262   534 0.80 | transcript=PVPAM_080049600_t1 | gene=PVPAM_080049600 | organism=Plasmodium_vivax_PAM | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=CASCJQ010000008:1926957-1929314(+) | protein_length=785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720273.1         -            785 3420at5820           -            717   3.5e-40  136.3  12.4   3   3    0.0002     0.061    9.9   1.5   472   617   560   705   509   720 0.76 | transcript=PVPAM_080049600_t1 | gene=PVPAM_080049600 | organism=Plasmodium_vivax_PAM | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=CASCJQ010000008:1926957-1929314(+) | protein_length=785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717786.1         -           1171 3420at5820           -            717     2e-21   74.3   2.1   1   3      0.92   2.8e+02   -2.2   1.0    42   120   473   510   415   538 0.60 | transcript=PVPAM_010030000_t1 | gene=PVPAM_010030000 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000001:1117779-1121294(-) | protein_length=1171 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717786.1         -           1171 3420at5820           -            717     2e-21   74.3   2.1   2   3   8.7e-17   2.7e-14   50.8   0.0   458   581   570   701   558   715 0.78 | transcript=PVPAM_010030000_t1 | gene=PVPAM_010030000 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000001:1117779-1121294(-) | protein_length=1171 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717786.1         -           1171 3420at5820           -            717     2e-21   74.3   2.1   3   3   3.9e-08   1.2e-05   22.2   0.0   565   626   766   830   758   840 0.56 | transcript=PVPAM_010030000_t1 | gene=PVPAM_010030000 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000001:1117779-1121294(-) | protein_length=1171 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717691.1         -            665 3420at5820           -            717   5.9e-15   52.9   1.3   1   2   3.2e-15   9.9e-13   45.6   0.1   484   604   344   467   334   483 0.76 | transcript=PVPAM_010020500_t1 | gene=PVPAM_010020500 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000001:739478-741475(+) | protein_length=665 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717691.1         -            665 3420at5820           -            717   5.9e-15   52.9   1.3   2   2    0.0052       1.6    5.2   0.2   411   465   484   540   478   553 0.85 | transcript=PVPAM_010020500_t1 | gene=PVPAM_010020500 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000001:739478-741475(+) | protein_length=665 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720679.1         -            627 3420at5820           -            717   4.2e-14   50.1   0.3   1   1     2e-16   6.3e-14   49.5   0.3   479   631   341   512   325   558 0.80 | transcript=PVPAM_090044400_t1 | gene=PVPAM_090044400 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000009:1776366-1779201(-) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717764.1         -           1000 3420at5820           -            717   4.6e-12   43.4   0.0   1   1   2.1e-14   6.5e-12   42.9   0.0   481   561   756   838   753   976 0.75 | transcript=PVPAM_010027800_t1 | gene=PVPAM_010027800 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000001:1005291-1008466(+) | protein_length=1000 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721601.1         -            483 3420at5820           -            717   1.6e-09   35.0   0.0   1   2   7.5e-05     0.023   11.3   0.0   192   221   245   274   225   304 0.68 | transcript=PVPAM_110050500_t1 | gene=PVPAM_110050500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=CASCJQ010000011:1906067-1907518(-) | protein_length=483 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721601.1         -            483 3420at5820           -            717   1.6e-09   35.0   0.0   2   2   6.4e-08     2e-05   21.5   0.0   571   642   367   436   348   446 0.81 | transcript=PVPAM_110050500_t1 | gene=PVPAM_110050500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=CASCJQ010000011:1906067-1907518(-) | protein_length=483 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3420at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3420at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3420at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:47 2026
# [ok]
