#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719285.1         -            512 5626at5820           -            398  3.5e-227  752.6  20.0   1   2  8.1e-212  5.3e-209  692.7  17.7     1   350    44   395    44   403 0.99 | transcript=PVPAM_060029200_t1 | gene=PVPAM_060029200 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein HPR1, putative | transcript_product=heptatricopeptide repeat-containing protein HPR1, putative | location=CASCJQ010000006:992367-993905(+) | protein_length=512 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719142.1         -            731 5626at5820           -            398   4.9e-05   21.0   6.1   2   2   2.1e-06    0.0013   16.3   2.1    87   196   442   557   427   602 0.68 | transcript=PVPAM_060014900_t1 | gene=PVPAM_060014900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:407400-409595(-) | protein_length=731 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720840.1         -            927 5626at5820           -            398   0.00018   19.2  20.6   1   2   8.6e-05     0.056   11.0   7.1    40   178   186   252   143   272 0.55 | transcript=PVPAM_100010500_t1 | gene=PVPAM_100010500 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000010:264125-267039(+) | protein_length=927 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720840.1         -            927 5626at5820           -            398   0.00018   19.2  20.6   2   2   2.3e-05     0.015   12.8   5.5    49   186   327   469   302   510 0.61 | transcript=PVPAM_100010500_t1 | gene=PVPAM_100010500 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000010:264125-267039(+) | protein_length=927 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723408.1         -            943 5626at5820           -            398   0.00052   17.7   9.5   1   2     8e-07   0.00052   17.7   9.5    18   218   280   479   265   497 0.74 | transcript=PVPAM_140033000_t1 | gene=PVPAM_140033000 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000014:1205621-1208452(-) | protein_length=943 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723408.1         -            943 5626at5820           -            398   0.00052   17.7   9.5   2   2       1.2   7.9e+02   -2.7   0.6   277   305   698   730   685   744 0.78 | transcript=PVPAM_140033000_t1 | gene=PVPAM_140033000 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000014:1205621-1208452(-) | protein_length=943 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719959.1         -            892 5626at5820           -            398    0.0019   15.8  11.9   1   3   2.9e-06    0.0019   15.8  11.9    65   179   123   237    93   250 0.88 | transcript=PVPAM_080018200_t1 | gene=PVPAM_080018200 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:626801-629479(-) | protein_length=892 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719959.1         -            892 5626at5820           -            398    0.0019   15.8  11.9   2   3    0.0014      0.88    7.0   0.5   118   190   213   285   204   319 0.82 | transcript=PVPAM_080018200_t1 | gene=PVPAM_080018200 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:626801-629479(-) | protein_length=892 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719959.1         -            892 5626at5820           -            398    0.0019   15.8  11.9   3   3      0.49   3.2e+02   -1.4   1.7   111   153   496   542   471   588 0.68 | transcript=PVPAM_080018200_t1 | gene=PVPAM_080018200 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:626801-629479(-) | protein_length=892 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722056.1         -           1043 5626at5820           -            398     0.035   11.6   5.6   1   3     0.022        14    3.0   0.0   128   192   113   177   100   182 0.84 | transcript=PVPAM_120029400_t1 | gene=PVPAM_120029400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:932186-935317(-) | protein_length=1043 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722056.1         -           1043 5626at5820           -            398     0.035   11.6   5.6   2   3       1.1   7.2e+02   -2.6   0.1    48   108   258   319   251   329 0.73 | transcript=PVPAM_120029400_t1 | gene=PVPAM_120029400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:932186-935317(-) | protein_length=1043 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722056.1         -           1043 5626at5820           -            398     0.035   11.6   5.6   3   3   0.00014     0.094   10.2   0.7   111   187   440   516   434   534 0.82 | transcript=PVPAM_120029400_t1 | gene=PVPAM_120029400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:932186-935317(-) | protein_length=1043 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5626at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5626at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5626at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:38 2026
# [ok]
