#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719779.1         -            721 7211at5820           -            625  5.3e-201  668.5   0.0   1   1  1.8e-203    7e-201  668.1   0.0     1   625     1   721     1   721 0.76 | transcript=PVPAM_070039300_t1 | gene=PVPAM_070039300 | organism=Plasmodium_vivax_PAM | gene_product=CSTF domain-containing protein, putative | transcript_product=CSTF domain-containing protein, putative | location=CASCJQ010000007:1427879-1430044(+) | protein_length=721 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718792.1         -            292 7211at5820           -            625   8.3e-08   30.3   0.0   2   2   1.4e-05    0.0054   14.4   0.0    15    81   163   228   156   251 0.88 | transcript=PVPAM_050018600_t1 | gene=PVPAM_050018600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:612140-613354(+) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721263.1         -            513 7211at5820           -            625   6.3e-07   27.4  14.8   1   4       2.6   9.7e+02   -3.0  10.8   421   485     5    67     1    81 0.43 | transcript=PVPAM_110016500_t1 | gene=PVPAM_110016500 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=CASCJQ010000011:487415-489137(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721263.1         -            513 7211at5820           -            625   6.3e-07   27.4  14.8   2   4     0.084        32    1.9   0.1     8    53    89   134    86   140 0.93 | transcript=PVPAM_110016500_t1 | gene=PVPAM_110016500 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=CASCJQ010000011:487415-489137(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721263.1         -            513 7211at5820           -            625   6.3e-07   27.4  14.8   3   4   6.9e-05     0.026   12.1   0.1     8    70   188   250   184   258 0.95 | transcript=PVPAM_110016500_t1 | gene=PVPAM_110016500 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=CASCJQ010000011:487415-489137(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721263.1         -            513 7211at5820           -            625   6.3e-07   27.4  14.8   4   4   1.1e-05    0.0042   14.7   0.0    11   109   376   477   371   509 0.70 | transcript=PVPAM_110016500_t1 | gene=PVPAM_110016500 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=CASCJQ010000011:487415-489137(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723587.1         -            110 7211at5820           -            625   6.3e-07   27.4   0.3   1   1   1.9e-09   7.1e-07   27.2   0.3     8    82    15    87    11   110 0.80 | transcript=PVPAM_140051100_t1 | gene=PVPAM_140051100 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=CASCJQ010000014:1989748-1990335(-) | protein_length=110 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723034.1         -            507 7211at5820           -            625   2.6e-05   22.0   0.0   1   3     0.087        33    1.9  12.4   428   501     7    99     1   151 0.32 | transcript=PVPAM_130054000_t1 | gene=PVPAM_130054000 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=CASCJQ010000013:2166321-2167844(-) | protein_length=507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723034.1         -            507 7211at5820           -            625   2.6e-05   22.0   0.0   2   3      0.31   1.2e+02    0.0  25.9     2   160   179   345   178   347 0.73 | transcript=PVPAM_130054000_t1 | gene=PVPAM_130054000 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=CASCJQ010000013:2166321-2167844(-) | protein_length=507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723034.1         -            507 7211at5820           -            625   2.6e-05   22.0   0.0   3   3   6.9e-08   2.6e-05   22.0   0.0    11    82   402   473   397   504 0.82 | transcript=PVPAM_130054000_t1 | gene=PVPAM_130054000 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=CASCJQ010000013:2166321-2167844(-) | protein_length=507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720107.1         -            299 7211at5820           -            625   6.4e-05   20.8   3.3   1   1   1.7e-07   6.4e-05   20.8   3.3     8   107    37   137    31   173 0.74 | transcript=PVPAM_080032900_t1 | gene=PVPAM_080032900 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000008:1265540-1266874(-) | protein_length=299 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719963.1         -            250 7211at5820           -            625   0.00011   20.0   1.0   1   2   0.00056      0.21    9.1   0.5     7    69    21    82    16   141 0.82 | transcript=PVPAM_080018600_t1 | gene=PVPAM_080018600 | organism=Plasmodium_vivax_PAM | gene_product=G-strand-binding protein 2, putative | transcript_product=G-strand-binding protein 2, putative | location=CASCJQ010000008:638144-639816(+) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719963.1         -            250 7211at5820           -            625   0.00011   20.0   1.0   2   2   0.00058      0.22    9.1   0.0     1    36   166   201   166   207 0.93 | transcript=PVPAM_080018600_t1 | gene=PVPAM_080018600 | organism=Plasmodium_vivax_PAM | gene_product=G-strand-binding protein 2, putative | transcript_product=G-strand-binding protein 2, putative | location=CASCJQ010000008:638144-639816(+) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722192.1         -            914 7211at5820           -            625   0.00016   19.4   0.1   1   1   4.2e-07   0.00016   19.4   0.1     8    71   678   741   672   748 0.95 | transcript=PVPAM_120043000_t1 | gene=PVPAM_120043000 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor U2AF large subunit, putative | transcript_product=splicing factor U2AF large subunit, putative | location=CASCJQ010000012:1485281-1488025(+) | protein_length=914 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722140.1         -           1026 7211at5820           -            625   0.00021   19.0   0.1   1   1   5.5e-07   0.00021   19.0   0.1    17    86   747   816   734   865 0.79 | transcript=PVPAM_120037800_t1 | gene=PVPAM_120037800 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=CASCJQ010000012:1308793-1312028(-) | protein_length=1026 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719680.1         -            202 7211at5820           -            625   0.00052   17.7   0.0   1   2      0.38   1.4e+02   -0.2   2.4   397   456    16    63     2    70 0.35 | transcript=PVPAM_070029400_t1 | gene=PVPAM_070029400 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 2, putative | transcript_product=polyadenylate-binding protein 2, putative | location=CASCJQ010000007:1062772-1064247(-) | protein_length=202 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719680.1         -            202 7211at5820           -            625   0.00052   17.7   0.0   2   2   1.4e-06   0.00052   17.7   0.0     5    58    69   122    63   131 0.88 | transcript=PVPAM_070029400_t1 | gene=PVPAM_070029400 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 2, putative | transcript_product=polyadenylate-binding protein 2, putative | location=CASCJQ010000007:1062772-1064247(-) | protein_length=202 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720963.1         -            314 7211at5820           -            625    0.0016   16.1   0.0   1   1   4.2e-06    0.0016   16.1   0.0     8   104     9   103     1   122 0.82 | transcript=PVPAM_100023100_t1 | gene=PVPAM_100023100 | organism=Plasmodium_vivax_PAM | gene_product=serine/arginine-rich splicing factor 1, putative | transcript_product=serine/arginine-rich splicing factor 1, putative | location=CASCJQ010000010:798029-799180(+) | protein_length=314 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719178.1         -            531 7211at5820           -            625      0.01   13.5   0.2   1   2   2.7e-05      0.01   13.5   0.2     8    84    14    90     7   116 0.83 | transcript=PVPAM_060018500_t1 | gene=PVPAM_060018500 | organism=Plasmodium_vivax_PAM | gene_product=serine/arginine-rich splicing factor 4, putative | transcript_product=serine/arginine-rich splicing factor 4, putative | location=CASCJQ010000006:592961-595690(-) | protein_length=531 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719178.1         -            531 7211at5820           -            625      0.01   13.5   0.2   2   2       7.6   2.9e+03   -4.5  24.9   326   464   160   321   154   325 0.50 | transcript=PVPAM_060018500_t1 | gene=PVPAM_060018500 | organism=Plasmodium_vivax_PAM | gene_product=serine/arginine-rich splicing factor 4, putative | transcript_product=serine/arginine-rich splicing factor 4, putative | location=CASCJQ010000006:592961-595690(-) | protein_length=531 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721102.1         -            328 7211at5820           -            625     0.062   10.9   0.0   1   1   0.00016     0.062   10.9   0.0     7    84    12    89     5    94 0.86 | transcript=PVPAM_100037000_t1 | gene=PVPAM_100037000 | organism=Plasmodium_vivax_PAM | gene_product=serine/arginine-rich splicing factor 12, putative | transcript_product=serine/arginine-rich splicing factor 12, putative | location=CASCJQ010000010:1378622-1379608(+) | protein_length=328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7211at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7211at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7211at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:42 2026
# [ok]
