#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720591.1         -           1571 1267at5820           -           1206         0 1980.7 160.0   1   5     2e-08   3.2e-05   20.3   0.2     1    32    39    71    39    85 0.84 | transcript=PVPAM_090035600_t1 | gene=PVPAM_090035600 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=CASCJQ010000009:1358236-1363078(-) | protein_length=1571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721045.1         -           1449 1267at5820           -           1206   1.3e-37  127.6  13.9   3   7         4   6.5e+03  -25.7  45.3   758  1010   304   567   292   604 0.50 | transcript=PVPAM_100031300_t1 | gene=PVPAM_100031300 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 4, putative | transcript_product=structural maintenance of chromosomes protein 4, putative | location=CASCJQ010000010:1138455-1142804(-) | protein_length=1449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721045.1         -           1449 1267at5820           -           1206   1.3e-37  127.6  13.9   4   7      0.53   8.5e+02   -4.3   0.0   649   677   696   723   693   741 0.77 | transcript=PVPAM_100031300_t1 | gene=PVPAM_100031300 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 4, putative | transcript_product=structural maintenance of chromosomes protein 4, putative | location=CASCJQ010000010:1138455-1142804(-) | protein_length=1449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721045.1         -           1449 1267at5820           -           1206   1.3e-37  127.6  13.9   5   7     0.085   1.4e+02   -1.6   4.3   861   917   800   857   793   871 0.77 | transcript=PVPAM_100031300_t1 | gene=PVPAM_100031300 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 4, putative | transcript_product=structural maintenance of chromosomes protein 4, putative | location=CASCJQ010000010:1138455-1142804(-) | protein_length=1449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721045.1         -           1449 1267at5820           -           1206   1.3e-37  127.6  13.9   6   7         4   6.5e+03  -23.6  41.6   731   911   846  1029   832  1073 0.42 | transcript=PVPAM_100031300_t1 | gene=PVPAM_100031300 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 4, putative | transcript_product=structural maintenance of chromosomes protein 4, putative | location=CASCJQ010000010:1138455-1142804(-) | protein_length=1449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721045.1         -           1449 1267at5820           -           1206   1.3e-37  127.6  13.9   7   7   1.3e-25   2.1e-22   77.3  10.4   969  1200  1197  1416  1171  1421 0.88 | transcript=PVPAM_100031300_t1 | gene=PVPAM_100031300 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 4, putative | transcript_product=structural maintenance of chromosomes protein 4, putative | location=CASCJQ010000010:1138455-1142804(-) | protein_length=1449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723351.1         -           1218 1267at5820           -           1206     3e-12   43.6 177.0   1   1   5.9e-12   9.5e-09   32.0 177.0    56  1182     3  1173     1  1191 0.61 | transcript=PVPAM_140027000_t1 | gene=PVPAM_140027000 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 2, putative | transcript_product=structural maintenance of chromosomes protein 2, putative | location=CASCJQ010000014:953224-957201(-) | protein_length=1218 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1267at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1267at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1267at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:35 2026
# [ok]
