#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722220.1         -            878 2237at5820           -            757         0 1680.2   7.4   1   2    2e-211  7.2e-209  694.1   2.1     1   325     4   363     4   386 0.91 | transcript=PVPAM_120045800_t1 | gene=PVPAM_120045800 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=CASCJQ010000012:1628851-1631615(-) | protein_length=878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720542.1         -            566 2237at5820           -            757   9.6e-26   88.6   1.3   1   2   1.2e-11   4.4e-09   33.5   0.1   124   256   156   286   147   293 0.88 | transcript=PVPAM_090030800_t1 | gene=PVPAM_090030800 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000009:1176622-1178912(-) | protein_length=566 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720542.1         -            566 2237at5820           -            757   9.6e-26   88.6   1.3   2   2   7.3e-18   2.6e-15   54.0   0.1    10   156   301   456   295   475 0.78 | transcript=PVPAM_090030800_t1 | gene=PVPAM_090030800 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000009:1176622-1178912(-) | protein_length=566 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722282.1         -            647 2237at5820           -            757   1.3e-15   55.1   0.5   1   3   3.8e-12   1.4e-09   35.2   0.0    14   197    77   260    71   263 0.82 | transcript=PVPAM_120051900_t1 | gene=PVPAM_120051900 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000012:1898527-1900470(-) | protein_length=647 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722282.1         -            647 2237at5820           -            757   1.3e-15   55.1   0.5   2   3     0.018       6.5    3.1   0.0     8    69   228   284   220   314 0.62 | transcript=PVPAM_120051900_t1 | gene=PVPAM_120051900 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000012:1898527-1900470(-) | protein_length=647 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722282.1         -            647 2237at5820           -            757   1.3e-15   55.1   0.5   3   3   1.5e-06   0.00055   16.6   0.0    14   110   343   433   326   467 0.75 | transcript=PVPAM_120051900_t1 | gene=PVPAM_120051900 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000012:1898527-1900470(-) | protein_length=647 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722752.1         -           1408 2237at5820           -            757   7.2e-15   52.6   1.6   1   2     0.001      0.37    7.2   0.0    49   109   240   307   229   324 0.75 | transcript=PVPAM_130025300_t1 | gene=PVPAM_130025300 | organism=Plasmodium_vivax_PAM | gene_product=kelch protein, putative | transcript_product=kelch protein, putative | location=CASCJQ010000013:916659-920885(-) | protein_length=1408 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722752.1         -           1408 2237at5820           -            757   7.2e-15   52.6   1.6   2   2   2.7e-14   9.8e-12   42.2   1.4   107   297   611   832   602   853 0.72 | transcript=PVPAM_130025300_t1 | gene=PVPAM_130025300 | organism=Plasmodium_vivax_PAM | gene_product=kelch protein, putative | transcript_product=kelch protein, putative | location=CASCJQ010000013:916659-920885(-) | protein_length=1408 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720541.1         -            559 2237at5820           -            757   8.5e-15   52.4   0.2   1   2   1.1e-15   3.9e-13   46.9   0.2     6   250    70   325    67   353 0.68 | transcript=PVPAM_090030700_t1 | gene=PVPAM_090030700 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000009:1172849-1175347(-) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720541.1         -            559 2237at5820           -            757   8.5e-15   52.4   0.2   2   2   4.6e-05     0.016   11.7   0.0     9    91   296   381   293   390 0.73 | transcript=PVPAM_090030700_t1 | gene=PVPAM_090030700 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000009:1172849-1175347(-) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723478.1         -            586 2237at5820           -            757   2.7e-10   37.5   1.0   1   3   3.2e-05     0.011   12.3   0.1   125   250   150   278   142   283 0.42 | transcript=PVPAM_140040100_t1 | gene=PVPAM_140040100 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000014:1520948-1522708(-) | protein_length=586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723478.1         -            586 2237at5820           -            757   2.7e-10   37.5   1.0   2   3   1.2e-05    0.0045   13.6   0.0    23   132   206   315   191   324 0.75 | transcript=PVPAM_140040100_t1 | gene=PVPAM_140040100 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000014:1520948-1522708(-) | protein_length=586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723478.1         -            586 2237at5820           -            757   2.7e-10   37.5   1.0   3   3   9.9e-08   3.6e-05   20.5   0.1    34   147   331   449   319   463 0.77 | transcript=PVPAM_140040100_t1 | gene=PVPAM_140040100 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000014:1520948-1522708(-) | protein_length=586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719180.1         -            874 2237at5820           -            757   3.7e-10   37.0   0.0   1   1   6.8e-12   2.4e-09   34.3   0.0    16   157    83   233    77   248 0.78 | transcript=PVPAM_060018700_t1 | gene=PVPAM_060018700 | organism=Plasmodium_vivax_PAM | gene_product=kelch protein K10, putative | transcript_product=kelch protein K10, putative | location=CASCJQ010000006:602393-605017(+) | protein_length=874 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722696.1         -            940 2237at5820           -            757   6.6e-06   23.0   3.4   1   3     0.058        21    1.5   0.0    38    65   461   490   442   499 0.77 | transcript=PVPAM_130019700_t1 | gene=PVPAM_130019700 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000013:644176-646998(-) | protein_length=940 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722696.1         -            940 2237at5820           -            757   6.6e-06   23.0   3.4   2   3     0.033        12    2.3   0.1    18    60   782   828   771   834 0.62 | transcript=PVPAM_130019700_t1 | gene=PVPAM_130019700 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000013:644176-646998(-) | protein_length=940 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722696.1         -            940 2237at5820           -            757   6.6e-06   23.0   3.4   3   3   5.4e-07   0.00019   18.1   0.1   222   292   833   911   829   926 0.72 | transcript=PVPAM_130019700_t1 | gene=PVPAM_130019700 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000013:644176-646998(-) | protein_length=940 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720601.1         -           2386 2237at5820           -            757   2.5e-05   21.0   0.0   1   2   0.00059      0.21    8.0   0.0   114   165  1424  1473  1320  1479 0.81 | transcript=PVPAM_090036500_t1 | gene=PVPAM_090036500 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000009:1392224-1399384(+) | protein_length=2386 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720601.1         -           2386 2237at5820           -            757   2.5e-05   21.0   0.0   2   2   9.9e-05     0.036   10.6   0.0    14    66  1481  1532  1476  1536 0.91 | transcript=PVPAM_090036500_t1 | gene=PVPAM_090036500 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000009:1392224-1399384(+) | protein_length=2386 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719139.1         -           1608 2237at5820           -            757     0.046   10.2   0.1   1   3      0.41   1.5e+02   -1.4   0.0     7    61   536   588   501   602 0.55 | transcript=PVPAM_060014600_t1 | gene=PVPAM_060014600 | organism=Plasmodium_vivax_PAM | gene_product=tRNA wybutosine-synthesizing protein, putative | transcript_product=tRNA wybutosine-synthesizing protein, putative | location=CASCJQ010000006:393736-398562(-) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719139.1         -           1608 2237at5820           -            757     0.046   10.2   0.1   2   3   0.00097      0.35    7.3   0.1   115   160   777   823   760   859 0.67 | transcript=PVPAM_060014600_t1 | gene=PVPAM_060014600 | organism=Plasmodium_vivax_PAM | gene_product=tRNA wybutosine-synthesizing protein, putative | transcript_product=tRNA wybutosine-synthesizing protein, putative | location=CASCJQ010000006:393736-398562(-) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719139.1         -           1608 2237at5820           -            757     0.046   10.2   0.1   3   3       0.9   3.2e+02   -2.5   0.0   648   676  1065  1095  1062  1117 0.72 | transcript=PVPAM_060014600_t1 | gene=PVPAM_060014600 | organism=Plasmodium_vivax_PAM | gene_product=tRNA wybutosine-synthesizing protein, putative | transcript_product=tRNA wybutosine-synthesizing protein, putative | location=CASCJQ010000006:393736-398562(-) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2237at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2237at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2237at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:53 2026
# [ok]
