#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718144.1         -            953 2909at5820           -            517  1.3e-263  874.1  47.1   1   4   2.2e-62     2e-59  200.4  19.6     5   142     9   167     2   201 0.81 | transcript=PVPAM_030014200_t1 | gene=PVPAM_030014200 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM1, putative | transcript_product=protein phosphatase PPM1, putative | location=CASCJQ010000003:407884-410935(-) | protein_length=953 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720636.1         -            852 2909at5820           -            517   7.3e-13   46.7   2.1   1   2   1.8e-10   1.7e-07   29.1   0.7   230   353   521   656   507   673 0.76 | transcript=PVPAM_090040000_t1 | gene=PVPAM_090040000 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM8, putative | transcript_product=protein phosphatase PPM8, putative | location=CASCJQ010000009:1550068-1552626(-) | protein_length=852 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720636.1         -            852 2909at5820           -            517   7.3e-13   46.7   2.1   2   2   1.3e-06    0.0012   16.3   0.0   380   445   716   797   710   851 0.68 | transcript=PVPAM_090040000_t1 | gene=PVPAM_090040000 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM8, putative | transcript_product=protein phosphatase PPM8, putative | location=CASCJQ010000009:1550068-1552626(-) | protein_length=852 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723829.1         -           1106 2909at5820           -            517   2.9e-12   44.8   2.2   1   1   7.6e-14     7e-11   40.2   2.2   231   481   784  1071   769  1088 0.68 | transcript=PVPAM_140075200_t1 | gene=PVPAM_140075200 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM4, putative | transcript_product=protein phosphatase PPM4, putative | location=CASCJQ010000014:2948173-2951726(+) | protein_length=1106 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723258.1         -            782 2909at5820           -            517   8.2e-10   36.7  14.4   1   3      0.46   4.2e+02   -2.0   0.4   146   177   224   255   212   278 0.74 | transcript=PVPAM_140017700_t1 | gene=PVPAM_140017700 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM6, putative | transcript_product=protein phosphatase PPM6, putative | location=CASCJQ010000014:599875-602547(+) | protein_length=782 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723258.1         -            782 2909at5820           -            517   8.2e-10   36.7  14.4   2   3         7   6.5e+03  -12.9  16.3   141   180   405   443   227   459 0.62 | transcript=PVPAM_140017700_t1 | gene=PVPAM_140017700 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM6, putative | transcript_product=protein phosphatase PPM6, putative | location=CASCJQ010000014:599875-602547(+) | protein_length=782 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723258.1         -            782 2909at5820           -            517   8.2e-10   36.7  14.4   3   3   8.9e-13   8.2e-10   36.7  14.4   146   477   410   779   390   782 0.61 | transcript=PVPAM_140017700_t1 | gene=PVPAM_140017700 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM6, putative | transcript_product=protein phosphatase PPM6, putative | location=CASCJQ010000014:599875-602547(+) | protein_length=782 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2909at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2909at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2909at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:35 2026
# [ok]
