#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721273.1         -            135 14437at5820          -            112   8.6e-54  179.1  14.0   1   2   7.1e-56   5.7e-53  176.4  10.2     1   107     5   115     5   119 0.93 | transcript=PVPAM_110017500_t1 | gene=PVPAM_110017500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:534784-535686(-) | protein_length=135 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719096.1         -            264 14437at5820          -            112       8.1    5.2  15.7   2   3     0.044        36    3.1   0.4    45    89   138   181   127   186 0.75 | transcript=PVPAM_060010300_t1 | gene=PVPAM_060010300 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=CASCJQ010000006:232389-233284(-) | protein_length=264 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719096.1         -            264 14437at5820          -            112       8.1    5.2  15.7   3   3   0.00064      0.52    9.1   3.1    85   109   219   243   212   245 0.81 | transcript=PVPAM_060010300_t1 | gene=PVPAM_060010300 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=CASCJQ010000006:232389-233284(-) | protein_length=264 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14437at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14437at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14437at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:28 2026
# [ok]
