#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721051.1         -           2237 367at5820            -           1769         0 2679.6  51.4   1   9     6e-73   4.3e-70  235.0   0.0     5   155     4   158     1   170 0.93 | transcript=PVPAM_100031900_t1 | gene=PVPAM_100031900 | organism=Plasmodium_vivax_PAM | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=CASCJQ010000010:1169076-1175789(+) | protein_length=2237 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721291.1         -            479 367at5820            -           1769   1.2e-23   81.1  14.6   1   2   8.2e-15   5.9e-12   42.3   1.9   490   592    71   168    64   179 0.86 | transcript=PVPAM_110019300_t1 | gene=PVPAM_110019300 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000011:610069-611508(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721291.1         -            479 367at5820            -           1769   1.2e-23   81.1  14.6   2   2   2.6e-15   1.9e-12   44.0   5.3   168   350   212   406   174   411 0.78 | transcript=PVPAM_110019300_t1 | gene=PVPAM_110019300 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000011:610069-611508(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720637.1         -            965 367at5820            -           1769   4.9e-23   79.0  14.4   1   2   1.9e-14   1.4e-11   41.1   3.1   474   609    18   152     8   166 0.86 | transcript=PVPAM_090040100_t1 | gene=PVPAM_090040100 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000009:1555460-1558539(-) | protein_length=965 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720637.1         -            965 367at5820            -           1769   4.9e-23   79.0  14.4   2   2   4.1e-15   2.9e-12   43.3   3.6   626   794   261   437   240   474 0.81 | transcript=PVPAM_090040100_t1 | gene=PVPAM_090040100 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000009:1555460-1558539(-) | protein_length=965 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717735.1         -            686 367at5820            -           1769   4.6e-13   46.0   9.3   1   4   0.00011     0.081    8.7   0.0   201   239    40    78    20    85 0.87 | transcript=PVPAM_010024900_t1 | gene=PVPAM_010024900 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000001:906783-908843(+) | protein_length=686 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717735.1         -            686 367at5820            -           1769   4.6e-13   46.0   9.3   2   4   0.00087      0.63    5.7   0.1   542   570    93   121    81   134 0.58 | transcript=PVPAM_010024900_t1 | gene=PVPAM_010024900 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000001:906783-908843(+) | protein_length=686 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717735.1         -            686 367at5820            -           1769   4.6e-13   46.0   9.3   3   4   0.00019      0.14    7.9   0.2   743   835   180   282   171   292 0.71 | transcript=PVPAM_010024900_t1 | gene=PVPAM_010024900 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000001:906783-908843(+) | protein_length=686 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717735.1         -            686 367at5820            -           1769   4.6e-13   46.0   9.3   4   4   7.4e-11   5.3e-08   29.2   0.5   271   383   263   375   263   394 0.79 | transcript=PVPAM_010024900_t1 | gene=PVPAM_010024900 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000001:906783-908843(+) | protein_length=686 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718072.1         -            585 367at5820            -           1769   4.4e-09   32.8  18.8   1   5   0.00089      0.64    5.7   0.2   352   402    58   110    16   135 0.78 | transcript=PVPAM_030006800_t1 | gene=PVPAM_030006800 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000003:76714-78471(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718072.1         -            585 367at5820            -           1769   4.4e-09   32.8  18.8   2   5    0.0093       6.7    2.3   1.7   471   549   149   227   127   234 0.75 | transcript=PVPAM_030006800_t1 | gene=PVPAM_030006800 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000003:76714-78471(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718072.1         -            585 367at5820            -           1769   4.4e-09   32.8  18.8   3   5   5.5e-08   3.9e-05   19.7   0.1   545   581   360   396   341   408 0.92 | transcript=PVPAM_030006800_t1 | gene=PVPAM_030006800 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000003:76714-78471(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718072.1         -            585 367at5820            -           1769   4.4e-09   32.8  18.8   4   5     0.087        63   -0.9   0.0   693   726   434   472   420   498 0.67 | transcript=PVPAM_030006800_t1 | gene=PVPAM_030006800 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000003:76714-78471(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718072.1         -            585 367at5820            -           1769   4.4e-09   32.8  18.8   5   5   2.4e-06    0.0017   14.2   0.3   197   246   504   552   494   558 0.75 | transcript=PVPAM_030006800_t1 | gene=PVPAM_030006800 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000003:76714-78471(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719640.1         -           2587 367at5820            -           1769   6.3e-09   32.3   4.3   1   3   3.7e-05     0.026   10.3   0.0   199   237   125   163   108   170 0.81 | transcript=PVPAM_070025400_t1 | gene=PVPAM_070025400 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation-PP1-interacting protein, putative | transcript_product=regulator of chromosome condensation-PP1-interacting protein, putative | location=CASCJQ010000007:902937-910700(-) | protein_length=2587 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719640.1         -           2587 367at5820            -           1769   6.3e-09   32.3   4.3   2   3   8.7e-12   6.3e-09   32.3   4.3   490   629   217   350   193   394 0.58 | transcript=PVPAM_070025400_t1 | gene=PVPAM_070025400 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation-PP1-interacting protein, putative | transcript_product=regulator of chromosome condensation-PP1-interacting protein, putative | location=CASCJQ010000007:902937-910700(-) | protein_length=2587 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719640.1         -           2587 367at5820            -           1769   6.3e-09   32.3   4.3   3   3         9   6.5e+03  -10.2  10.5  1601  1692  1876  1968  1851  1996 0.57 | transcript=PVPAM_070025400_t1 | gene=PVPAM_070025400 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation-PP1-interacting protein, putative | transcript_product=regulator of chromosome condensation-PP1-interacting protein, putative | location=CASCJQ010000007:902937-910700(-) | protein_length=2587 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720719.1         -            985 367at5820            -           1769     1e-07   28.2   2.0   1   2   1.5e-10   1.1e-07   28.2   0.1   193   287   234   337   204   356 0.79 | transcript=PVPAM_090048400_t1 | gene=PVPAM_090048400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:1957347-1960495(-) | protein_length=985 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720719.1         -            985 367at5820            -           1769     1e-07   28.2   2.0   2   2      0.11        79   -1.2   0.2   656   694   447   485   441   526 0.58 | transcript=PVPAM_090048400_t1 | gene=PVPAM_090048400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:1957347-1960495(-) | protein_length=985 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718964.1         -           1809 367at5820            -           1769   2.1e-07   27.2  13.2   1   3   0.00054      0.39    6.4   2.1   204   242   582   620   578   630 0.91 | transcript=PVPAM_050035600_t1 | gene=PVPAM_050035600 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000005:1277695-1283124(+) | protein_length=1809 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718964.1         -           1809 367at5820            -           1769   2.1e-07   27.2  13.2   2   3   1.6e-06    0.0011   14.8   0.0   156   253   638   744   624   754 0.65 | transcript=PVPAM_050035600_t1 | gene=PVPAM_050035600 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000005:1277695-1283124(+) | protein_length=1809 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718964.1         -           1809 367at5820            -           1769   2.1e-07   27.2  13.2   3   3   0.00022      0.16    7.7   2.6   204   330   779   926   764   931 0.57 | transcript=PVPAM_050035600_t1 | gene=PVPAM_050035600 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000005:1277695-1283124(+) | protein_length=1809 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/367at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/367at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/367at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:15 2026
# [ok]
