#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723589.1         -           1570 1050at5820           -           1053         0 1495.5  81.4   1   9   3.9e-26   5.1e-23   79.4   0.1    13    72    70   131    65   137 0.91 | transcript=PVPAM_140051300_t1 | gene=PVPAM_140051300 | organism=Plasmodium_vivax_PAM | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=CASCJQ010000014:1997831-2003037(+) | protein_length=1570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722264.1         -           1071 1050at5820           -           1053   4.8e-18   62.9  27.9   2   7   1.1e-05     0.015   11.6   0.0   397   443   310   355   300   369 0.85 | transcript=PVPAM_120050100_t1 | gene=PVPAM_120050100 | organism=Plasmodium_vivax_PAM | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=CASCJQ010000012:1840302-1843517(-) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722264.1         -           1071 1050at5820           -           1053   4.8e-18   62.9  27.9   3   7   1.7e-06    0.0022   14.4   0.7   527   583   417   476   395   480 0.78 | transcript=PVPAM_120050100_t1 | gene=PVPAM_120050100 | organism=Plasmodium_vivax_PAM | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=CASCJQ010000012:1840302-1843517(-) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722264.1         -           1071 1050at5820           -           1053   4.8e-18   62.9  27.9   4   7   7.1e-06    0.0092   12.3   0.0   678   733   578   633   573   639 0.91 | transcript=PVPAM_120050100_t1 | gene=PVPAM_120050100 | organism=Plasmodium_vivax_PAM | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=CASCJQ010000012:1840302-1843517(-) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722264.1         -           1071 1050at5820           -           1053   4.8e-18   62.9  27.9   5   7   1.8e-05     0.023   11.0   0.1   766   853   702   802   671   808 0.73 | transcript=PVPAM_120050100_t1 | gene=PVPAM_120050100 | organism=Plasmodium_vivax_PAM | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=CASCJQ010000012:1840302-1843517(-) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722264.1         -           1071 1050at5820           -           1053   4.8e-18   62.9  27.9   6   7     0.033        42    0.2   0.0   860   889   845   874   839   922 0.73 | transcript=PVPAM_120050100_t1 | gene=PVPAM_120050100 | organism=Plasmodium_vivax_PAM | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=CASCJQ010000012:1840302-1843517(-) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722264.1         -           1071 1050at5820           -           1053   4.8e-18   62.9  27.9   7   7     0.076        99   -1.0   0.3   431   470   949   988   936  1002 0.79 | transcript=PVPAM_120050100_t1 | gene=PVPAM_120050100 | organism=Plasmodium_vivax_PAM | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=CASCJQ010000012:1840302-1843517(-) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719945.1         -            748 1050at5820           -           1053   4.4e-13   46.5  29.4   1   3   5.9e-07   0.00076   15.9   3.9   107   230   171   303   123   323 0.71 | transcript=PVPAM_080016800_t1 | gene=PVPAM_080016800 | organism=Plasmodium_vivax_PAM | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=CASCJQ010000008:580038-582284(-) | protein_length=748 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719945.1         -            748 1050at5820           -           1053   4.4e-13   46.5  29.4   2   3   2.3e-05      0.03   10.6   0.9   531   609   326   405   313   409 0.72 | transcript=PVPAM_080016800_t1 | gene=PVPAM_080016800 | organism=Plasmodium_vivax_PAM | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=CASCJQ010000008:580038-582284(-) | protein_length=748 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719945.1         -            748 1050at5820           -           1053   4.4e-13   46.5  29.4   3   3   2.2e-11   2.8e-08   30.6  10.5   686   886   512   715   503   719 0.72 | transcript=PVPAM_080016800_t1 | gene=PVPAM_080016800 | organism=Plasmodium_vivax_PAM | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=CASCJQ010000008:580038-582284(-) | protein_length=748 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718743.1         -           1298 1050at5820           -           1053     3e-08   30.5   5.6   1   3   5.6e-08   7.2e-05   19.3   0.6   104   170   144   212   136   305 0.75 | transcript=PVPAM_050013700_t1 | gene=PVPAM_050013700 | organism=Plasmodium_vivax_PAM | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=CASCJQ010000005:403672-407568(-) | protein_length=1298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718743.1         -           1298 1050at5820           -           1053     3e-08   30.5   5.6   2   3     0.033        43    0.2   0.0   561   579   588   606   578   608 0.84 | transcript=PVPAM_050013700_t1 | gene=PVPAM_050013700 | organism=Plasmodium_vivax_PAM | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=CASCJQ010000005:403672-407568(-) | protein_length=1298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718743.1         -           1298 1050at5820           -           1053     3e-08   30.5   5.6   3   3   1.9e-05     0.025   10.9   0.1   712   754   901   943   897   967 0.86 | transcript=PVPAM_050013700_t1 | gene=PVPAM_050013700 | organism=Plasmodium_vivax_PAM | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=CASCJQ010000005:403672-407568(-) | protein_length=1298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1050at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1050at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1050at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:33 2026
# [ok]
