#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722064.1         -           1951 558at5820            -           1598         0 3215.7  78.8   1   6  1.9e-274  3.1e-271  901.7  13.1     3   427    29   466    27   472 0.96 | transcript=PVPAM_120030200_t1 | gene=PVPAM_120030200 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase III subunit RPC1, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC1, putative | location=CASCJQ010000012:978942-985394(+) | protein_length=1951 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721042.1         -           2696 558at5820            -           1598  7.9e-131  436.3  32.9   6   6   6.9e-19   1.1e-15   54.6   1.3  1437  1577  2546  2687  2509  2693 0.88 | transcript=PVPAM_100031000_t1 | gene=PVPAM_100031000 | organism=Plasmodium_vivax_PAM | gene_product=RNA polymerase I, putative | transcript_product=RNA polymerase I, putative | location=CASCJQ010000010:1125624-1134013(+) | protein_length=2696 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723914.1         -            573 558at5820            -           1598   2.2e-12   43.7  39.7   1   2    0.0018       2.9    3.5  37.5    84   394    89   386    61   400 0.63 | transcript=PVPAM_API0008500_t1 | gene=PVPAM_API0008500 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase subunit beta', putative | transcript_product=DNA-directed RNA polymerase subunit beta', putative | location=CASCJQ010000015:18405-20126(-) | protein_length=573 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723914.1         -            573 558at5820            -           1598   2.2e-12   43.7  39.7   2   2   2.2e-14   3.6e-11   39.7   0.0   450   536   408   493   389   519 0.88 | transcript=PVPAM_API0008500_t1 | gene=PVPAM_API0008500 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase subunit beta', putative | transcript_product=DNA-directed RNA polymerase subunit beta', putative | location=CASCJQ010000015:18405-20126(-) | protein_length=573 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/558at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/558at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/558at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:26 2026
# [ok]
