#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720553.1         -             86 14966at5820          -             76   5.3e-55  182.1   0.8   1   1   1.2e-57     6e-55  181.9   0.8     1    76     5    80     5    80 0.99 | transcript=PVPAM_090031900_t1 | gene=PVPAM_090031900 | organism=Plasmodium_vivax_PAM | gene_product=small nuclear ribonucleoprotein F, putative | transcript_product=small nuclear ribonucleoprotein F, putative | location=CASCJQ010000009:1225266-1226140(-) | protein_length=86 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718732.1         -             95 14966at5820          -             76     0.014   14.2   0.3   1   1   3.8e-05     0.019   13.7   0.3    20    73    16    71     4    75 0.77 | transcript=PVPAM_050012600_t1 | gene=PVPAM_050012600 | organism=Plasmodium_vivax_PAM | gene_product=U6 snRNA-associated Sm-like protein LSm8, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm8, putative | location=CASCJQ010000005:363483-364299(-) | protein_length=95 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720966.1         -            165 14966at5820          -             76      0.03   13.1   0.0   1   1    0.0001      0.05   12.3   0.0    26    68    98   139    88   146 0.82 | transcript=PVPAM_100023400_t1 | gene=PVPAM_100023400 | organism=Plasmodium_vivax_PAM | gene_product=60S ribosomal protein L12, putative | transcript_product=60S ribosomal protein L12, putative | location=CASCJQ010000010:806390-807381(+) | protein_length=165 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14966at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14966at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14966at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:48 2026
# [ok]
