#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719491.1         -           1119 3149at5820           -            567  3.1e-246  817.0  56.1   1   5   4.3e-67   2.8e-64  216.3   2.1     1   119     1   134     1   201 0.86 | transcript=PVPAM_070010500_t1 | gene=PVPAM_070010500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:304368-307727(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719528.1         -            515 3149at5820           -            567   6.2e-08   30.3  15.4   3   3     5e-07   0.00032   18.0   0.4   479   557   418   506   376   512 0.72 | transcript=PVPAM_070014200_t1 | gene=PVPAM_070014200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:483301-485037(+) | protein_length=515 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723576.1         -            306 3149at5820           -            567   3.5e-06   24.5   0.1   1   3      0.15        96   -0.1   0.1   492   565    19    88    15    90 0.64 | transcript=PVPAM_140050000_t1 | gene=PVPAM_140050000 | organism=Plasmodium_vivax_PAM | gene_product=citrate/oxoglutarate carrier protein, putative | transcript_product=citrate/oxoglutarate carrier protein, putative | location=CASCJQ010000014:1951186-1952106(+) | protein_length=306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723576.1         -            306 3149at5820           -            567   3.5e-06   24.5   0.1   2   3     0.081        53    0.8   2.1   469   537    84   147    65   158 0.76 | transcript=PVPAM_140050000_t1 | gene=PVPAM_140050000 | organism=Plasmodium_vivax_PAM | gene_product=citrate/oxoglutarate carrier protein, putative | transcript_product=citrate/oxoglutarate carrier protein, putative | location=CASCJQ010000014:1951186-1952106(+) | protein_length=306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723576.1         -            306 3149at5820           -            567   3.5e-06   24.5   0.1   3   3   5.4e-09   3.5e-06   24.5   0.1   482   544   228   290   223   297 0.92 | transcript=PVPAM_140050000_t1 | gene=PVPAM_140050000 | organism=Plasmodium_vivax_PAM | gene_product=citrate/oxoglutarate carrier protein, putative | transcript_product=citrate/oxoglutarate carrier protein, putative | location=CASCJQ010000014:1951186-1952106(+) | protein_length=306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722665.1         -            323 3149at5820           -            567   5.9e-06   23.8   3.2   1   3   9.3e-08     6e-05   20.4   0.1   292   379    24   115     6   125 0.75 | transcript=PVPAM_130016600_t1 | gene=PVPAM_130016600 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial phosphate carrier protein, putative | transcript_product=mitochondrial phosphate carrier protein, putative | location=CASCJQ010000013:521214-522185(-) | protein_length=323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722665.1         -            323 3149at5820           -            567   5.9e-06   23.8   3.2   2   3     0.012       7.8    3.5   0.2   461   537   113   188   101   212 0.77 | transcript=PVPAM_130016600_t1 | gene=PVPAM_130016600 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial phosphate carrier protein, putative | transcript_product=mitochondrial phosphate carrier protein, putative | location=CASCJQ010000013:521214-522185(-) | protein_length=323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722665.1         -            323 3149at5820           -            567   5.9e-06   23.8   3.2   3   3      0.16   1.1e+02   -0.2   0.1   301   349   235   282   200   295 0.75 | transcript=PVPAM_130016600_t1 | gene=PVPAM_130016600 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial phosphate carrier protein, putative | transcript_product=mitochondrial phosphate carrier protein, putative | location=CASCJQ010000013:521214-522185(-) | protein_length=323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719321.1         -            301 3149at5820           -            567    0.0071   13.6   6.0   1   3     0.034        22    2.1   0.3   478   550    12    92     5   102 0.60 | transcript=PVPAM_060032800_t1 | gene=PVPAM_060032800 | organism=Plasmodium_vivax_PAM | gene_product=ADP,ATP carrier protein 1, putative | transcript_product=ADP,ATP carrier protein 1, putative | location=CASCJQ010000006:1136203-1137108(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719321.1         -            301 3149at5820           -            567    0.0071   13.6   6.0   2   3   0.00014     0.093    9.9   2.6   460   557    94   200    77   213 0.68 | transcript=PVPAM_060032800_t1 | gene=PVPAM_060032800 | organism=Plasmodium_vivax_PAM | gene_product=ADP,ATP carrier protein 1, putative | transcript_product=ADP,ATP carrier protein 1, putative | location=CASCJQ010000006:1136203-1137108(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719321.1         -            301 3149at5820           -            567    0.0071   13.6   6.0   3   3     0.031        20    2.2   0.0   307   534   223   276   196   285 0.52 | transcript=PVPAM_060032800_t1 | gene=PVPAM_060032800 | organism=Plasmodium_vivax_PAM | gene_product=ADP,ATP carrier protein 1, putative | transcript_product=ADP,ATP carrier protein 1, putative | location=CASCJQ010000006:1136203-1137108(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3149at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3149at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3149at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:54 2026
# [ok]
