#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720126.1         -           2532 422at5820            -           1432         0 2332.4 153.8   1  12  1.1e-101   2.3e-98  328.8  13.4     2   178    15   195    14   199 0.97 | transcript=PVPAM_080034800_t1 | gene=PVPAM_080034800 | organism=Plasmodium_vivax_PAM | gene_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | transcript_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | location=CASCJQ010000008:1343458-1352551(-) | protein_length=2532 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720126.1         -           2532 422at5820            -           1432         0 2332.4 153.8  12  12  2.7e-211  5.7e-208  691.9  16.7  1091  1432  2187  2532  2185  2532 0.99 | transcript=PVPAM_080034800_t1 | gene=PVPAM_080034800 | organism=Plasmodium_vivax_PAM | gene_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | transcript_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | location=CASCJQ010000008:1343458-1352551(-) | protein_length=2532 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720664.1         -            154 422at5820            -           1432    0.0021   14.0   0.7   1   1   1.1e-06    0.0023   13.9   0.7   791   891    50   151    25   153 0.73 | transcript=PVPAM_090042900_t1 | gene=PVPAM_090042900 | organism=Plasmodium_vivax_PAM | gene_product=sporozoite surface protein essential for liver stage development, putative | transcript_product=sporozoite surface protein essential for liver stage development, putative | location=CASCJQ010000009:1672262-1672900(-) | protein_length=154 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723367.1         -            197 422at5820            -           1432     0.015   11.2   3.1   1   1   8.4e-06     0.018   10.9   3.1   794   892    28   126    15   149 0.86 | transcript=PVPAM_140028600_t1 | gene=PVPAM_140028600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent Clp protease adapter protein ClpS, putative | transcript_product=ATP-dependent Clp protease adapter protein ClpS, putative | location=CASCJQ010000014:1030207-1031454(-) | protein_length=197 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/422at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/422at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/422at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:51 2026
# [ok]
