#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720005.1         -            188 12151at5820          -            140   1.3e-82  273.4   5.8   1   1   9.6e-82   5.7e-79  261.6   5.8     1   140     1   167     1   167 0.92 | transcript=PVPAM_080022700_t1 | gene=PVPAM_080022700 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000008:822474-824204(+) | protein_length=188 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719173.1         -           1897 12151at5820          -            140     5e-09   35.0   9.2   1   3     1e-08   5.9e-06   25.0   0.2    39    98  1079  1139  1049  1147 0.83 | transcript=PVPAM_060018000_t1 | gene=PVPAM_060018000 | organism=Plasmodium_vivax_PAM | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=CASCJQ010000006:553870-559563(-) | protein_length=1897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719173.1         -           1897 12151at5820          -            140     5e-09   35.0   9.2   2   3    0.0016      0.95    8.1   0.1    43   102  1159  1219  1142  1224 0.87 | transcript=PVPAM_060018000_t1 | gene=PVPAM_060018000 | organism=Plasmodium_vivax_PAM | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=CASCJQ010000006:553870-559563(-) | protein_length=1897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719173.1         -           1897 12151at5820          -            140     5e-09   35.0   9.2   3   3     0.004       2.4    6.9   0.0    38    92  1221  1276  1218  1285 0.89 | transcript=PVPAM_060018000_t1 | gene=PVPAM_060018000 | organism=Plasmodium_vivax_PAM | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=CASCJQ010000006:553870-559563(-) | protein_length=1897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720473.1         -            366 12151at5820          -            140   6.8e-06   24.8   0.1   1   1   2.4e-08   1.4e-05   23.8   0.1    41    95   287   342   258   349 0.87 | transcript=PVPAM_090023800_t1 | gene=PVPAM_090023800 | organism=Plasmodium_vivax_PAM | gene_product=acyl-CoA-binding protein, putative | transcript_product=acyl-CoA-binding protein, putative | location=CASCJQ010000009:865505-866605(-) | protein_length=366 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723305.1         -            400 12151at5820          -            140   2.4e-05   23.0   8.2   1   4   0.00012     0.071   11.8   1.3    52    97    85   131    40   138 0.85 | transcript=PVPAM_140022400_t1 | gene=PVPAM_140022400 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000014:780796-781998(-) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723305.1         -            400 12151at5820          -            140   2.4e-05   23.0   8.2   2   4   3.9e-05     0.023   13.4   0.2    39    91   138   191   131   202 0.85 | transcript=PVPAM_140022400_t1 | gene=PVPAM_140022400 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000014:780796-781998(-) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723305.1         -            400 12151at5820          -            140   2.4e-05   23.0   8.2   3   4       0.9   5.3e+02   -0.7   0.0    72    90   207   225   190   251 0.75 | transcript=PVPAM_140022400_t1 | gene=PVPAM_140022400 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000014:780796-781998(-) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723305.1         -            400 12151at5820          -            140   2.4e-05   23.0   8.2   4   4       1.4     8e+02   -1.3   0.0    99   111   331   343   306   346 0.78 | transcript=PVPAM_140022400_t1 | gene=PVPAM_140022400 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000014:780796-781998(-) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721362.1         -           1870 12151at5820          -            140   0.00028   19.6  17.5   1   5       7.9   4.7e+03   -3.8   0.1     4    26  1137  1159  1136  1161 0.88 | transcript=PVPAM_110026500_t1 | gene=PVPAM_110026500 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000011:940543-946155(-) | protein_length=1870 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721362.1         -           1870 12151at5820          -            140   0.00028   19.6  17.5   2   5      0.19   1.1e+02    1.4   0.0    56    98  1214  1257  1202  1277 0.78 | transcript=PVPAM_110026500_t1 | gene=PVPAM_110026500 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000011:940543-946155(-) | protein_length=1870 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721362.1         -           1870 12151at5820          -            140   0.00028   19.6  17.5   3   5      0.24   1.4e+02    1.1   0.3    49    96  1484  1535  1470  1563 0.65 | transcript=PVPAM_110026500_t1 | gene=PVPAM_110026500 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000011:940543-946155(-) | protein_length=1870 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721362.1         -           1870 12151at5820          -            140   0.00028   19.6  17.5   4   5   4.7e-05     0.028   13.1   0.1    24    96  1590  1670  1579  1675 0.63 | transcript=PVPAM_110026500_t1 | gene=PVPAM_110026500 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000011:940543-946155(-) | protein_length=1870 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721362.1         -           1870 12151at5820          -            140   0.00028   19.6  17.5   5   5   0.00014     0.083   11.6   1.9    40   116  1679  1767  1671  1780 0.75 | transcript=PVPAM_110026500_t1 | gene=PVPAM_110026500 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000011:940543-946155(-) | protein_length=1870 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722131.1         -            641 12151at5820          -            140    0.0003   19.5   0.0   1   1   1.2e-06   0.00071   18.3   0.0    38    93    78   134    42   144 0.85 | transcript=PVPAM_120036900_t1 | gene=PVPAM_120036900 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC5, putative | transcript_product=palmitoyltransferase DHHC5, putative | location=CASCJQ010000012:1252674-1255416(-) | protein_length=641 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718773.1         -            185 12151at5820          -            140    0.0012   17.6   2.1   1   2   3.1e-05     0.018   13.7   0.3    47    96    21    70    10    78 0.84 | transcript=PVPAM_050016700_t1 | gene=PVPAM_050016700 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000005:539579-541022(-) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718773.1         -            185 12151at5820          -            140    0.0012   17.6   2.1   2   2     0.044        26    3.5   0.1    71    96   113   138    84   176 0.75 | transcript=PVPAM_050016700_t1 | gene=PVPAM_050016700 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000005:539579-541022(-) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721055.1         -           1569 12151at5820          -            140     0.045   12.4   0.4   1   2      0.23   1.4e+02    1.2   0.0    67    95   868   896   853   916 0.63 | transcript=PVPAM_100032300_t1 | gene=PVPAM_100032300 | organism=Plasmodium_vivax_PAM | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=CASCJQ010000010:1185921-1190630(-) | protein_length=1569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721055.1         -           1569 12151at5820          -            140     0.045   12.4   0.4   2   2    0.0012      0.73    8.5   0.0    42    95  1212  1266  1204  1298 0.85 | transcript=PVPAM_100032300_t1 | gene=PVPAM_100032300 | organism=Plasmodium_vivax_PAM | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=CASCJQ010000010:1185921-1190630(-) | protein_length=1569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12151at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12151at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12151at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:55 2026
# [ok]
