#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723750.1         -            259 11969at5820          -            217  7.3e-113  373.9  16.1   1   2   4.2e-57   2.7e-54  182.5   1.0     1   107     1   116     1   127 0.91 | transcript=PVPAM_140067300_t1 | gene=PVPAM_140067300 | organism=Plasmodium_vivax_PAM | gene_product=S-adenosylmethionine mitochondrial carrier protein, putative | transcript_product=S-adenosylmethionine mitochondrial carrier protein, putative | location=CASCJQ010000014:2690273-2692045(+) | protein_length=259 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721170.1         -            494 11969at5820          -            217   2.1e-08   32.4   3.2   2   5      0.17   1.1e+02    0.7   0.0   180   208   215   243   199   252 0.75 | transcript=PVPAM_110007200_t1 | gene=PVPAM_110007200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000011:97325-98809(+) | protein_length=494 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721170.1         -            494 11969at5820          -            217   2.1e-08   32.4   3.2   3   5     0.058        38    2.2   0.0     4    31   294   321   291   332 0.83 | transcript=PVPAM_110007200_t1 | gene=PVPAM_110007200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000011:97325-98809(+) | protein_length=494 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721170.1         -            494 11969at5820          -            217   2.1e-08   32.4   3.2   4   5     4e-05     0.026   12.5   0.2    37   113   359   441   341   453 0.77 | transcript=PVPAM_110007200_t1 | gene=PVPAM_110007200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000011:97325-98809(+) | protein_length=494 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721170.1         -            494 11969at5820          -            217   2.1e-08   32.4   3.2   5   5   0.00043      0.28    9.2   0.1    32    67   457   492   442   494 0.84 | transcript=PVPAM_110007200_t1 | gene=PVPAM_110007200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000011:97325-98809(+) | protein_length=494 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718118.1         -            380 11969at5820          -            217     3e-08   32.0  21.0   1   3     0.014       8.9    4.2   1.2    71   109     5    42     1    87 0.57 | transcript=PVPAM_030011400_t1 | gene=PVPAM_030011400 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000003:302288-303767(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718118.1         -            380 11969at5820          -            217     3e-08   32.0  21.0   2   3   3.4e-09   2.2e-06   25.9   8.1    35   170    82   243    69   291 0.63 | transcript=PVPAM_030011400_t1 | gene=PVPAM_030011400 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000003:302288-303767(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718118.1         -            380 11969at5820          -            217     3e-08   32.0  21.0   3   3    0.0055       3.5    5.6   0.3    29    60   345   376   334   379 0.79 | transcript=PVPAM_030011400_t1 | gene=PVPAM_030011400 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000003:302288-303767(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722665.1         -            323 11969at5820          -            217   6.6e-08   30.8   4.0   1   2     1e-07   6.4e-05   21.1   0.3    35   107    81   158    27   176 0.80 | transcript=PVPAM_130016600_t1 | gene=PVPAM_130016600 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial phosphate carrier protein, putative | transcript_product=mitochondrial phosphate carrier protein, putative | location=CASCJQ010000013:521214-522185(-) | protein_length=323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722665.1         -            323 11969at5820          -            217   6.6e-08   30.8   4.0   2   2     0.082        53    1.7   0.5     9    27   236   254   169   307 0.59 | transcript=PVPAM_130016600_t1 | gene=PVPAM_130016600 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial phosphate carrier protein, putative | transcript_product=mitochondrial phosphate carrier protein, putative | location=CASCJQ010000013:521214-522185(-) | protein_length=323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718785.1         -            318 11969at5820          -            217   8.8e-08   30.4   1.4   1   3   5.3e-05     0.034   12.1   0.0   147   200    36    96    19   111 0.72 | transcript=PVPAM_050017900_t1 | gene=PVPAM_050017900 | organism=Plasmodium_vivax_PAM | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=CASCJQ010000005:586026-586982(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718785.1         -            318 11969at5820          -            217   8.8e-08   30.4   1.4   2   3    0.0012      0.76    7.7   0.1   167   208    96   142    90   151 0.67 | transcript=PVPAM_050017900_t1 | gene=PVPAM_050017900 | organism=Plasmodium_vivax_PAM | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=CASCJQ010000005:586026-586982(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718785.1         -            318 11969at5820          -            217   8.8e-08   30.4   1.4   3   3   0.00038      0.25    9.3   0.1    37   105   187   254   173   269 0.84 | transcript=PVPAM_050017900_t1 | gene=PVPAM_050017900 | organism=Plasmodium_vivax_PAM | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=CASCJQ010000005:586026-586982(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719321.1         -            301 11969at5820          -            217   4.9e-07   28.0   3.6   1   4     0.006       3.9    5.4   0.1     5    36    11    42     7    66 0.82 | transcript=PVPAM_060032800_t1 | gene=PVPAM_060032800 | organism=Plasmodium_vivax_PAM | gene_product=ADP,ATP carrier protein 1, putative | transcript_product=ADP,ATP carrier protein 1, putative | location=CASCJQ010000006:1136203-1137108(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719321.1         -            301 11969at5820          -            217   4.9e-07   28.0   3.6   2   4    0.0036       2.3    6.2   0.0     5    32   117   144   112   162 0.81 | transcript=PVPAM_060032800_t1 | gene=PVPAM_060032800 | organism=Plasmodium_vivax_PAM | gene_product=ADP,ATP carrier protein 1, putative | transcript_product=ADP,ATP carrier protein 1, putative | location=CASCJQ010000006:1136203-1137108(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719321.1         -            301 11969at5820          -            217   4.9e-07   28.0   3.6   3   4   5.9e-05     0.038   12.0   0.0    36   105   173   242   156   248 0.86 | transcript=PVPAM_060032800_t1 | gene=PVPAM_060032800 | organism=Plasmodium_vivax_PAM | gene_product=ADP,ATP carrier protein 1, putative | transcript_product=ADP,ATP carrier protein 1, putative | location=CASCJQ010000006:1136203-1137108(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719321.1         -            301 11969at5820          -            217   4.9e-07   28.0   3.6   4   4      0.13        87    1.0   0.0   168   203   248   284   243   298 0.69 | transcript=PVPAM_060032800_t1 | gene=PVPAM_060032800 | organism=Plasmodium_vivax_PAM | gene_product=ADP,ATP carrier protein 1, putative | transcript_product=ADP,ATP carrier protein 1, putative | location=CASCJQ010000006:1136203-1137108(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719528.1         -            515 11969at5820          -            217   7.9e-06   24.0  11.5   1   5    0.0016         1    7.3   0.6   143   198    91   148    85   168 0.63 | transcript=PVPAM_070014200_t1 | gene=PVPAM_070014200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:483301-485037(+) | protein_length=515 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719528.1         -            515 11969at5820          -            217   7.9e-06   24.0  11.5   2   5     0.021        13    3.7   0.1    96   156   130   188   125   212 0.75 | transcript=PVPAM_070014200_t1 | gene=PVPAM_070014200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:483301-485037(+) | protein_length=515 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719528.1         -            515 11969at5820          -            217   7.9e-06   24.0  11.5   3   5   5.8e-05     0.038   12.0   0.7   142   210   216   288   205   295 0.70 | transcript=PVPAM_070014200_t1 | gene=PVPAM_070014200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:483301-485037(+) | protein_length=515 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719528.1         -            515 11969at5820          -            217   7.9e-06   24.0  11.5   4   5      0.16     1e+02    0.8   0.0    11   105   423   445   409   468 0.63 | transcript=PVPAM_070014200_t1 | gene=PVPAM_070014200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:483301-485037(+) | protein_length=515 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719528.1         -            515 11969at5820          -            217   7.9e-06   24.0  11.5   5   5    0.0021       1.4    6.9   0.1    33    65   476   508   468   514 0.83 | transcript=PVPAM_070014200_t1 | gene=PVPAM_070014200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:483301-485037(+) | protein_length=515 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7724097.1         -            400 11969at5820          -            217     0.031   12.3   0.6   1   2      0.56   3.6e+02   -1.0   0.4   118   135    82    99    14   163 0.67 | transcript=PVPAM_000022500_t1 | gene=PVPAM_000022500 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium vivax Vir protein, putative | transcript_product=Plasmodium vivax Vir protein, putative | location=CASCJQ010000019:145969-147398(+) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7724097.1         -            400 11969at5820          -            217     0.031   12.3   0.6   2   2   0.00017      0.11   10.5   0.0     9    63   293   351   287   369 0.70 | transcript=PVPAM_000022500_t1 | gene=PVPAM_000022500 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium vivax Vir protein, putative | transcript_product=Plasmodium vivax Vir protein, putative | location=CASCJQ010000019:145969-147398(+) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11969at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11969at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11969at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:15 2026
# [ok]
