#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720418.1         -            394 9916at5820           -            296  2.8e-155  514.5  46.4   1   3   5.9e-47   4.2e-44  149.5   0.1     1    76     1    76     1    84 0.98 | transcript=PVPAM_090018300_t1 | gene=PVPAM_090018300 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin domain-containing protein DSK2, putative | transcript_product=ubiquitin domain-containing protein DSK2, putative | location=CASCJQ010000009:661936-663642(-) | protein_length=394 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723296.1         -             76 9916at5820           -            296   1.7e-06   26.0   0.0   1   1   2.6e-09   1.9e-06   26.0   0.0     7    72     5    70     1    74 0.94 | transcript=PVPAM_140021500_t1 | gene=PVPAM_140021500 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-like protein Nedd8, putative | transcript_product=ubiquitin-like protein Nedd8, putative | location=CASCJQ010000014:732237-732754(-) | protein_length=76 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719662.1         -           1441 9916at5820           -            296   5.4e-06   24.4   0.8   1   1   2.4e-08   1.8e-05   22.7   0.8     3   125     7   129     5   145 0.81 | transcript=PVPAM_070027600_t1 | gene=PVPAM_070027600 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=CASCJQ010000007:990105-995619(+) | protein_length=1441 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723719.1         -             73 9916at5820           -            296    0.0024   15.7   0.1   1   1   3.4e-06    0.0024   15.7   0.1    11    71    10    70     1    73 0.91 | transcript=PVPAM_140064300_t1 | gene=PVPAM_140064300 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-like modifier HUB1, putative | transcript_product=ubiquitin-like modifier HUB1, putative | location=CASCJQ010000014:2547583-2547905(+) | protein_length=73 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720860.1         -            590 9916at5820           -            296     0.022   12.6   0.0   1   1   4.6e-05     0.033   12.0   0.0     4    77     5    77     1    81 0.85 | transcript=PVPAM_100012800_t1 | gene=PVPAM_100012800 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 14, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 14, putative | location=CASCJQ010000010:345423-347695(+) | protein_length=590 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718880.1         -            392 9916at5820           -            296     0.026   12.3   0.1   1   1   5.8e-05     0.042   11.7   0.1    13    72   116   173   112   194 0.84 | transcript=PVPAM_050027200_t1 | gene=PVPAM_050027200 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin, putative | transcript_product=ubiquitin, putative | location=CASCJQ010000005:936110-937473(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9916at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9916at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9916at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:53:14 2026
# [ok]
