#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722728.1         -           1539 1149at5820           -            799         0 1363.9 124.4   1   5  2.7e-289  5.9e-286  949.7  60.4     1   444    66   516    66   560 0.96 | transcript=PVPAM_130022900_t1 | gene=PVPAM_130022900 | organism=Plasmodium_vivax_PAM | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=CASCJQ010000013:808959-813578(+) | protein_length=1539 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721043.1         -            143 1149at5820           -            799       1.2    6.1   7.6   2   2   2.2e-05     0.047   10.7   0.5     1    24   116   139   116   142 0.94 | transcript=PVPAM_100031100_t1 | gene=PVPAM_100031100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000010:1135167-1135857(+) | protein_length=143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1149at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1149at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1149at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:16 2026
# [ok]
