#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723453.1         -            938 4079at5820           -            677         0 1224.0 137.6   1   4   5.2e-05    0.0091   12.7  20.0     1    84     1    82     1    94 0.63 | transcript=PVPAM_140037500_t1 | gene=PVPAM_140037500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP1, putative | transcript_product=ATP-dependent RNA helicase DBP1, putative | location=CASCJQ010000014:1392118-1394934(-) | protein_length=938 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721323.1         -            599 4079at5820           -            677   8.6e-43  145.0  18.8   2   2   2.1e-43   3.7e-41  139.6   6.7   186   560   149   485   123   508 0.90 | transcript=PVPAM_110022600_t1 | gene=PVPAM_110022600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase HAS1, putative | transcript_product=ATP-dependent RNA helicase HAS1, putative | location=CASCJQ010000011:735446-737595(+) | protein_length=599 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718513.1         -            473 4079at5820           -            677   3.8e-42  142.8   5.6   1   1   9.7e-43   1.7e-40  137.4   2.6   192   573    66   443    42   463 0.84 | transcript=PVPAM_040025700_t1 | gene=PVPAM_040025700 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase UAP56, putative | transcript_product=ATP-dependent RNA helicase UAP56, putative | location=CASCJQ010000004:869937-871529(+) | protein_length=473 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720085.1         -            761 4079at5820           -            677   2.7e-39  133.4  23.6   1   3   2.1e-05    0.0036   14.0   0.6   173   247   244   316   131   332 0.78 | transcript=PVPAM_080030700_t1 | gene=PVPAM_080030700 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX42, putative | transcript_product=ATP-dependent RNA helicase DDX42, putative | location=CASCJQ010000008:1172150-1174672(-) | protein_length=761 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720085.1         -            761 4079at5820           -            677   2.7e-39  133.4  23.6   2   3   1.1e-15   1.9e-13   48.0   1.5   277   375   380   477   376   485 0.95 | transcript=PVPAM_080030700_t1 | gene=PVPAM_080030700 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX42, putative | transcript_product=ATP-dependent RNA helicase DDX42, putative | location=CASCJQ010000008:1172150-1174672(-) | protein_length=761 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720085.1         -            761 4079at5820           -            677   2.7e-39  133.4  23.6   3   3   8.2e-26   1.4e-23   81.5   7.8   404   645   486   734   478   752 0.79 | transcript=PVPAM_080030700_t1 | gene=PVPAM_080030700 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX42, putative | transcript_product=ATP-dependent RNA helicase DDX42, putative | location=CASCJQ010000008:1172150-1174672(-) | protein_length=761 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723851.1         -            737 4079at5820           -            677   4.8e-39  132.6  12.3   1   1   2.7e-41   4.8e-39  132.6  12.3   197   585   116   500    90   511 0.83 | transcript=PVPAM_140077400_t1 | gene=PVPAM_140077400 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DRS1, putative | transcript_product=ATP-dependent RNA helicase DRS1, putative | location=CASCJQ010000014:3037650-3039863(+) | protein_length=737 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720093.1         -            373 4079at5820           -            677   2.5e-37  126.9   4.2   1   2   8.3e-14   1.5e-11   41.8   0.0   275   373    69   167    65   172 0.96 | transcript=PVPAM_080031500_t1 | gene=PVPAM_080031500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX6, putative | transcript_product=ATP-dependent RNA helicase DDX6, putative | location=CASCJQ010000008:1204610-1205731(-) | protein_length=373 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720093.1         -            373 4079at5820           -            677   2.5e-37  126.9   4.2   2   2   5.1e-27   8.8e-25   85.4   1.9   400   579   174   353   170   366 0.91 | transcript=PVPAM_080031500_t1 | gene=PVPAM_080031500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX6, putative | transcript_product=ATP-dependent RNA helicase DDX6, putative | location=CASCJQ010000008:1204610-1205731(-) | protein_length=373 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718755.1         -           1203 4079at5820           -            677   1.4e-32  111.3  17.3   1   2   7.8e-35   1.4e-32  111.3  17.3   200   665   182   615   167   624 0.82 | transcript=PVPAM_050014900_t1 | gene=PVPAM_050014900 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP10, putative | transcript_product=ATP-dependent RNA helicase DBP10, putative | location=CASCJQ010000005:454102-457713(+) | protein_length=1203 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718755.1         -           1203 4079at5820           -            677   1.4e-32  111.3  17.3   2   2       3.9   6.7e+02   -3.4   1.3    53    92   877   916   859   929 0.68 | transcript=PVPAM_050014900_t1 | gene=PVPAM_050014900 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP10, putative | transcript_product=ATP-dependent RNA helicase DBP10, putative | location=CASCJQ010000005:454102-457713(+) | protein_length=1203 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718216.1         -            846 4079at5820           -            677   4.1e-27   93.2   0.3   1   2   2.5e-23   4.3e-21   73.3   0.5   185   373   140   318   137   324 0.85 | transcript=PVPAM_030021600_t1 | gene=PVPAM_030021600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent DNA helicase DDX31, putative | transcript_product=ATP-dependent DNA helicase DDX31, putative | location=CASCJQ010000003:705738-708278(+) | protein_length=846 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718216.1         -            846 4079at5820           -            677   4.1e-27   93.2   0.3   2   2   3.5e-09   6.1e-07   26.5   0.0   493   563   614   687   605   698 0.87 | transcript=PVPAM_030021600_t1 | gene=PVPAM_030021600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent DNA helicase DDX31, putative | transcript_product=ATP-dependent DNA helicase DDX31, putative | location=CASCJQ010000003:705738-708278(+) | protein_length=846 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719169.1         -            623 4079at5820           -            677   7.5e-27   92.3   1.4   1   2   9.3e-06    0.0016   15.2   0.0   205   248   152   195   138   210 0.85 | transcript=PVPAM_060017600_t1 | gene=PVPAM_060017600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase ROK1, putative | transcript_product=ATP-dependent RNA helicase ROK1, putative | location=CASCJQ010000006:520317-522188(-) | protein_length=623 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719169.1         -            623 4079at5820           -            677   7.5e-27   92.3   1.4   2   2   8.6e-22   1.5e-19   68.2   0.9   277   593   252   555   245   561 0.76 | transcript=PVPAM_060017600_t1 | gene=PVPAM_060017600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase ROK1, putative | transcript_product=ATP-dependent RNA helicase ROK1, putative | location=CASCJQ010000006:520317-522188(-) | protein_length=623 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723238.1         -            626 4079at5820           -            677   4.4e-26   89.8  14.8   1   2   6.4e-14   1.1e-11   42.2   4.8   202   373   164   323   146   329 0.83 | transcript=PVPAM_140015700_t1 | gene=PVPAM_140015700 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP6, putative | transcript_product=ATP-dependent RNA helicase DBP6, putative | location=CASCJQ010000014:498695-500575(+) | protein_length=626 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723238.1         -            626 4079at5820           -            677   4.4e-26   89.8  14.8   2   2   8.2e-15   1.4e-12   45.1   2.5   400   577   330   516   323   557 0.84 | transcript=PVPAM_140015700_t1 | gene=PVPAM_140015700 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP6, putative | transcript_product=ATP-dependent RNA helicase DBP6, putative | location=CASCJQ010000014:498695-500575(+) | protein_length=626 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722434.1         -            791 4079at5820           -            677   3.6e-25   86.7   7.1   1   2   5.2e-20     9e-18   62.3   1.7   190   374   245   425   203   435 0.83 | transcript=PVPAM_120067100_t1 | gene=PVPAM_120067100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase MAK5, putative | transcript_product=ATP-dependent RNA helicase MAK5, putative | location=CASCJQ010000012:2535491-2538282(-) | protein_length=791 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722434.1         -            791 4079at5820           -            677   3.6e-25   86.7   7.1   2   2   3.7e-12   6.5e-10   36.3   0.3   487   580   595   689   568   735 0.91 | transcript=PVPAM_120067100_t1 | gene=PVPAM_120067100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase MAK5, putative | transcript_product=ATP-dependent RNA helicase MAK5, putative | location=CASCJQ010000012:2535491-2538282(-) | protein_length=791 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722294.1         -            787 4079at5820           -            677   2.2e-23   80.8  20.1   1   2   0.00015     0.025   11.2   2.2   147   247   334   435   323   443 0.79 | transcript=PVPAM_120053100_t1 | gene=PVPAM_120053100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP5, putative | transcript_product=ATP-dependent RNA helicase DBP5, putative | location=CASCJQ010000012:1934145-1936508(-) | protein_length=787 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722294.1         -            787 4079at5820           -            677   2.2e-23   80.8  20.1   2   2   4.3e-20   7.6e-18   62.5   9.9   278   571   445   754   433   763 0.78 | transcript=PVPAM_120053100_t1 | gene=PVPAM_120053100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP5, putative | transcript_product=ATP-dependent RNA helicase DBP5, putative | location=CASCJQ010000012:1934145-1936508(-) | protein_length=787 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720918.1         -            816 4079at5820           -            677   1.3e-21   75.0  23.9   1   4    0.0013      0.22    8.1   0.0   190   242     7    59     2    74 0.84 | transcript=PVPAM_100018600_t1 | gene=PVPAM_100018600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX1, putative | transcript_product=ATP-dependent RNA helicase DDX1, putative | location=CASCJQ010000010:612575-615025(-) | protein_length=816 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720918.1         -            816 4079at5820           -            677   1.3e-21   75.0  23.9   2   4       1.3   2.3e+02   -1.8   1.6   437   653   172   224   151   238 0.49 | transcript=PVPAM_100018600_t1 | gene=PVPAM_100018600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX1, putative | transcript_product=ATP-dependent RNA helicase DDX1, putative | location=CASCJQ010000010:612575-615025(-) | protein_length=816 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720918.1         -            816 4079at5820           -            677   1.3e-21   75.0  23.9   3   4   7.7e-09   1.3e-06   25.4   0.1   276   363   331   421   324   438 0.83 | transcript=PVPAM_100018600_t1 | gene=PVPAM_100018600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX1, putative | transcript_product=ATP-dependent RNA helicase DDX1, putative | location=CASCJQ010000010:612575-615025(-) | protein_length=816 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720918.1         -            816 4079at5820           -            677   1.3e-21   75.0  23.9   4   4   3.1e-16   5.4e-14   49.8   8.9   484   563   601   680   489   705 0.74 | transcript=PVPAM_100018600_t1 | gene=PVPAM_100018600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX1, putative | transcript_product=ATP-dependent RNA helicase DDX1, putative | location=CASCJQ010000010:612575-615025(-) | protein_length=816 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720356.1         -           1329 4079at5820           -            677   4.1e-19   66.7   5.8   1   3   5.7e-06   0.00099   15.9   0.2   156   248   111   205    93   227 0.83 | transcript=PVPAM_090012100_t1 | gene=PVPAM_090012100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000009:399016-403005(+) | protein_length=1329 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720356.1         -           1329 4079at5820           -            677   4.1e-19   66.7   5.8   2   3      0.58     1e+02   -0.7   0.0   323   361   502   540   493   552 0.90 | transcript=PVPAM_090012100_t1 | gene=PVPAM_090012100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000009:399016-403005(+) | protein_length=1329 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720356.1         -           1329 4079at5820           -            677   4.1e-19   66.7   5.8   3   3     8e-17   1.4e-14   51.7   0.4   459   560   880   981   872  1008 0.89 | transcript=PVPAM_090012100_t1 | gene=PVPAM_090012100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000009:399016-403005(+) | protein_length=1329 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722948.1         -            877 4079at5820           -            677   5.7e-19   66.2  47.5   1   3   3.3e-21   5.7e-19   66.2  47.5    64   595    19   515     2   527 0.69 | transcript=PVPAM_130045000_t1 | gene=PVPAM_130045000 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP4, putative | transcript_product=ATP-dependent RNA helicase DBP4, putative | location=CASCJQ010000013:1736949-1739744(+) | protein_length=877 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722948.1         -            877 4079at5820           -            677   5.7e-19   66.2  47.5   2   3       4.8   8.4e+02   -3.7   0.6    39    85   688   735   676   750 0.54 | transcript=PVPAM_130045000_t1 | gene=PVPAM_130045000 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP4, putative | transcript_product=ATP-dependent RNA helicase DBP4, putative | location=CASCJQ010000013:1736949-1739744(+) | protein_length=877 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722948.1         -            877 4079at5820           -            677   5.7e-19   66.2  47.5   3   3       7.9   1.4e+03   -4.4   2.4    23    87   768   829   764   858 0.54 | transcript=PVPAM_130045000_t1 | gene=PVPAM_130045000 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP4, putative | transcript_product=ATP-dependent RNA helicase DBP4, putative | location=CASCJQ010000013:1736949-1739744(+) | protein_length=877 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
