#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719932.1         -            286 11400at5820          -            224  3.7e-125  414.3  46.4   1   3  2.4e-114  1.5e-111  369.8  35.3     1   193    11   213    11   222 0.95 | transcript=PVPAM_080015500_t1 | gene=PVPAM_080015500 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=CASCJQ010000008:519959-520819(+) | protein_length=286 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720876.1         -            301 11400at5820          -            224   4.3e-12   44.5  48.8   2   2     1e-06   0.00066   17.8  18.2    59   179    97   219    97   237 0.69 | transcript=PVPAM_100014400_t1 | gene=PVPAM_100014400 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1g, putative | transcript_product=inner membrane complex protein 1g, putative | location=CASCJQ010000010:410217-411122(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721843.1         -           1271 11400at5820          -            224   6.3e-12   44.0  38.4   1   3       1.7   1.1e+03   -2.6   0.0   197   216   518   537   513   542 0.85 | transcript=PVPAM_120007700_t1 | gene=PVPAM_120007700 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1f, putative | transcript_product=inner membrane complex protein 1f, putative | location=CASCJQ010000012:113463-117642(-) | protein_length=1271 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721843.1         -           1271 11400at5820          -            224   6.3e-12   44.0  38.4   2   3   9.8e-15   6.3e-12   44.0  38.4    20   143   594   717   573   726 0.94 | transcript=PVPAM_120007700_t1 | gene=PVPAM_120007700 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1f, putative | transcript_product=inner membrane complex protein 1f, putative | location=CASCJQ010000012:113463-117642(-) | protein_length=1271 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721843.1         -           1271 11400at5820          -            224   6.3e-12   44.0  38.4   3   3        10   6.5e+03  -12.6  29.2    29   117   727   805   717   838 0.40 | transcript=PVPAM_120007700_t1 | gene=PVPAM_120007700 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1f, putative | transcript_product=inner membrane complex protein 1f, putative | location=CASCJQ010000012:113463-117642(-) | protein_length=1271 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720703.1         -            516 11400at5820          -            224   4.3e-09   34.7   9.5   1   2   6.7e-12   4.3e-09   34.7   9.5    54   148    81   175    72   180 0.92 | transcript=PVPAM_090046800_t1 | gene=PVPAM_090046800 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1b, putative | transcript_product=inner membrane complex protein 1b, putative | location=CASCJQ010000009:1892464-1894014(-) | protein_length=516 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720703.1         -            516 11400at5820          -            224   4.3e-09   34.7   9.5   2   2        10   6.5e+03   -6.6  17.5    63   124   285   333   243   419 0.46 | transcript=PVPAM_090046800_t1 | gene=PVPAM_090046800 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1b, putative | transcript_product=inner membrane complex protein 1b, putative | location=CASCJQ010000009:1892464-1894014(-) | protein_length=516 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723552.1         -            567 11400at5820          -            224   0.00028   19.0  47.0   1   3    0.0087       5.6    4.9  10.7    42   100   123   179   100   182 0.88 | transcript=PVPAM_140047600_t1 | gene=PVPAM_140047600 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1h, putative | transcript_product=inner membrane complex protein 1h, putative | location=CASCJQ010000014:1811247-1812950(+) | protein_length=567 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723552.1         -            567 11400at5820          -            224   0.00028   19.0  47.0   2   3   0.00014     0.092   10.7  16.7    41   105   168   234   167   236 0.82 | transcript=PVPAM_140047600_t1 | gene=PVPAM_140047600 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1h, putative | transcript_product=inner membrane complex protein 1h, putative | location=CASCJQ010000014:1811247-1812950(+) | protein_length=567 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723552.1         -            567 11400at5820          -            224   0.00028   19.0  47.0   3   3   3.5e-05     0.022   12.8  13.3    40    85   227   278   224   284 0.81 | transcript=PVPAM_140047600_t1 | gene=PVPAM_140047600 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1h, putative | transcript_product=inner membrane complex protein 1h, putative | location=CASCJQ010000014:1811247-1812950(+) | protein_length=567 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718789.1         -            622 11400at5820          -            224    0.0011   17.0  14.7   1   3   1.7e-06    0.0011   17.0  14.7    45   111    68   134    61   135 0.92 | transcript=PVPAM_050018300_t1 | gene=PVPAM_050018300 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1i, putative | transcript_product=inner membrane complex protein 1i, putative | location=CASCJQ010000005:595994-597862(+) | protein_length=622 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718789.1         -            622 11400at5820          -            224    0.0011   17.0  14.7   2   3    0.0012      0.75    7.8  22.7    36   131   107   205   107   267 0.72 | transcript=PVPAM_050018300_t1 | gene=PVPAM_050018300 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1i, putative | transcript_product=inner membrane complex protein 1i, putative | location=CASCJQ010000005:595994-597862(+) | protein_length=622 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718789.1         -            622 11400at5820          -            224    0.0011   17.0  14.7   3   3      0.43   2.7e+02   -0.6   0.3   149   218   486   517   462   534 0.55 | transcript=PVPAM_050018300_t1 | gene=PVPAM_050018300 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1i, putative | transcript_product=inner membrane complex protein 1i, putative | location=CASCJQ010000005:595994-597862(+) | protein_length=622 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721942.1         -            442 11400at5820          -            224    0.0012   16.9  38.7   1   2   2.4e-05     0.015   13.3  15.2    29   109   154   241   126   242 0.76 | transcript=PVPAM_120017600_t1 | gene=PVPAM_120017600 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1k, putative | transcript_product=inner membrane complex protein 1k, putative | location=CASCJQ010000012:555739-557067(+) | protein_length=442 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721942.1         -            442 11400at5820          -            224    0.0012   16.9  38.7   2   2    0.0046         3    5.8  21.2    57   121   227   296   224   306 0.76 | transcript=PVPAM_120017600_t1 | gene=PVPAM_120017600 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1k, putative | transcript_product=inner membrane complex protein 1k, putative | location=CASCJQ010000012:555739-557067(+) | protein_length=442 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719243.1         -            371 11400at5820          -            224      0.51    8.3  21.3   1   2    0.0041       2.6    6.0   9.4    48    93    40    71    20    95 0.53 | transcript=PVPAM_060025000_t1 | gene=PVPAM_060025000 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1m, putative | transcript_product=inner membrane complex protein 1m, putative | location=CASCJQ010000006:843487-844742(-) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719243.1         -            371 11400at5820          -            224      0.51    8.3  21.3   2   2    0.0039       2.5    6.1   8.6    36    95    70   129    67   141 0.81 | transcript=PVPAM_060025000_t1 | gene=PVPAM_060025000 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1m, putative | transcript_product=inner membrane complex protein 1m, putative | location=CASCJQ010000006:843487-844742(-) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11400at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11400at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11400at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:29:36 2026
# [ok]
