#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720934.1         -            701 5024at5820           -            513  1.6e-268  890.1  63.4   1   2    6e-116  6.5e-113  376.7  31.5     9   257    68   315    54   334 0.77 | transcript=PVPAM_100020200_t1 | gene=PVPAM_100020200 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase 2C, putative | transcript_product=protein phosphatase 2C, putative | location=CASCJQ010000010:667839-670743(-) | protein_length=701 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723456.1         -            559 5024at5820           -            513   8.3e-05   20.0  25.9   4   4     0.033        36    1.4   0.2   178   232   503   558   495   559 0.62 | transcript=PVPAM_140037800_t1 | gene=PVPAM_140037800 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM5, putative | transcript_product=protein phosphatase PPM5, putative | location=CASCJQ010000014:1410342-1413715(+) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5024at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5024at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5024at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:05 2026
# [ok]
