#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718007.1         -           1311 1802at5820           -            635         0 1014.7 101.8   1   4   1.1e-18   6.1e-16   56.7   0.5     7    68    40   110    35   118 0.86 | transcript=PVPAM_020023800_t1 | gene=PVPAM_020023800 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-L, putative | transcript_product=AP2 domain transcription factor AP2-L, putative | location=CASCJQ010000002:808048-811983(+) | protein_length=1311 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719973.1         -           1380 1802at5820           -            635     1e-12   46.0  50.9   2   4     1e-07   5.4e-05   20.5  29.4   175   390   242   468   163   474 0.68 | transcript=PVPAM_080019500_t1 | gene=PVPAM_080019500 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-I, putative | transcript_product=AP2 domain transcription factor AP2-I, putative | location=CASCJQ010000008:665457-669599(-) | protein_length=1380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719973.1         -           1380 1802at5820           -            635     1e-12   46.0  50.9   3   4   3.8e-10     2e-07   28.5   0.1   340   390   618   668   612   671 0.93 | transcript=PVPAM_080019500_t1 | gene=PVPAM_080019500 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-I, putative | transcript_product=AP2 domain transcription factor AP2-I, putative | location=CASCJQ010000008:665457-669599(-) | protein_length=1380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719973.1         -           1380 1802at5820           -            635     1e-12   46.0  50.9   4   4    0.0038         2    5.4   2.6   236   391   675   837   670   862 0.72 | transcript=PVPAM_080019500_t1 | gene=PVPAM_080019500 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-I, putative | transcript_product=AP2 domain transcription factor AP2-I, putative | location=CASCJQ010000008:665457-669599(-) | protein_length=1380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723734.1         -           2449 1802at5820           -            635   9.1e-12   42.9   6.9   1   2       1.9     1e+03   -3.5   3.1   135   266  1817  1957  1803  1975 0.61 | transcript=PVPAM_140065800_t1 | gene=PVPAM_140065800 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000014:2609625-2616974(+) | protein_length=2449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723734.1         -           2449 1802at5820           -            635   9.1e-12   42.9   6.9   2   2   1.7e-14   9.1e-12   42.9   6.9   335   620  2109  2416  2089  2424 0.71 | transcript=PVPAM_140065800_t1 | gene=PVPAM_140065800 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000014:2609625-2616974(+) | protein_length=2449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721494.1         -           3994 1802at5820           -            635   7.1e-11   39.9   8.6   1   2   7.3e-08     4e-05   20.9   1.1   307   385  2764  2842  2736  2849 0.85 | transcript=PVPAM_110039900_t1 | gene=PVPAM_110039900 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000011:1455500-1467484(-) | protein_length=3994 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721494.1         -           3994 1802at5820           -            635   7.1e-11   39.9   8.6   2   2   3.7e-08     2e-05   21.9   1.2   335   393  3355  3413  3332  3424 0.83 | transcript=PVPAM_110039900_t1 | gene=PVPAM_110039900 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000011:1455500-1467484(-) | protein_length=3994 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718083.1         -           3545 1802at5820           -            635     2e-09   35.1  20.4   1   3   6.8e-11   3.7e-08   31.0   2.1   313   386   874   947   828   950 0.76 | transcript=PVPAM_030007900_t1 | gene=PVPAM_030007900 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-SP2, putative | transcript_product=AP2 domain transcription factor AP2-SP2, putative | location=CASCJQ010000003:137923-148702(-) | protein_length=3545 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718083.1         -           3545 1802at5820           -            635     2e-09   35.1  20.4   2   3   3.1e-06    0.0017   15.6   3.1   315   394  1883  1958  1860  1985 0.89 | transcript=PVPAM_030007900_t1 | gene=PVPAM_030007900 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-SP2, putative | transcript_product=AP2 domain transcription factor AP2-SP2, putative | location=CASCJQ010000003:137923-148702(-) | protein_length=3545 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718083.1         -           3545 1802at5820           -            635     2e-09   35.1  20.4   3   3       1.4   7.5e+02   -3.1   0.9   156   211  2755  2810  2742  2884 0.80 | transcript=PVPAM_030007900_t1 | gene=PVPAM_030007900 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-SP2, putative | transcript_product=AP2 domain transcription factor AP2-SP2, putative | location=CASCJQ010000003:137923-148702(-) | protein_length=3545 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723339.1         -           2536 1802at5820           -            635   6.5e-07   26.8   2.5   1   2       3.2   1.7e+03   -4.3  11.8   167   260   267   348   211   364 0.57 | transcript=PVPAM_140025800_t1 | gene=PVPAM_140025800 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-FG, putative | transcript_product=AP2 domain transcription factor AP2-FG, putative | location=CASCJQ010000014:914264-921874(+) | protein_length=2536 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723339.1         -           2536 1802at5820           -            635   6.5e-07   26.8   2.5   2   2   1.2e-09   6.5e-07   26.8   2.5   337   406  1256  1326  1242  1353 0.81 | transcript=PVPAM_140025800_t1 | gene=PVPAM_140025800 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-FG, putative | transcript_product=AP2 domain transcription factor AP2-FG, putative | location=CASCJQ010000014:914264-921874(+) | protein_length=2536 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722856.1         -            799 1802at5820           -            635   3.8e-06   24.3  13.3   1   2   7.7e-08   4.2e-05   20.9   1.3   332   390    46   104    18   127 0.83 | transcript=PVPAM_130035800_t1 | gene=PVPAM_130035800 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-O3, putative | transcript_product=AP2 domain transcription factor AP2-O3, putative | location=CASCJQ010000013:1383486-1385885(+) | protein_length=799 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722856.1         -            799 1802at5820           -            635   3.8e-06   24.3  13.3   2   2   0.00047      0.25    8.4   4.8   530   620   699   783   681   787 0.86 | transcript=PVPAM_130035800_t1 | gene=PVPAM_130035800 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-O3, putative | transcript_product=AP2 domain transcription factor AP2-O3, putative | location=CASCJQ010000013:1383486-1385885(+) | protein_length=799 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720439.1         -            240 1802at5820           -            635    0.0051   14.0   2.9   1   1    0.0016      0.84    6.6   2.9   351   385   137   171   112   240 0.63 | transcript=PVPAM_090020400_t1 | gene=PVPAM_090020400 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000009:741408-742611(+) | protein_length=240 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722957.1         -            478 1802at5820           -            635     0.022   11.9   1.1   1   1   6.2e-05     0.033   11.3   1.1    88   177   367   461   362   469 0.73 | transcript=PVPAM_130046300_t1 | gene=PVPAM_130046300 | organism=Plasmodium_vivax_PAM | gene_product=H/ACA ribonucleoprotein complex subunit 4, putative | transcript_product=H/ACA ribonucleoprotein complex subunit 4, putative | location=CASCJQ010000013:1795529-1796965(+) | protein_length=478 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1802at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1802at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1802at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:48 2026
# [ok]
