#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722466.1         -            185 12531at5820          -            161   2.6e-95  315.3  14.7   1   1   6.7e-97   2.3e-94  312.3  14.7     1   161     1   181     1   181 0.92 | transcript=PVPAM_120070300_t1 | gene=PVPAM_120070300 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000012:2691630-2692449(+) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721008.1         -            200 12531at5820          -            161   9.6e-05   20.9   3.8   1   1   8.5e-07   0.00029   19.4   3.7    46   118    54   125     7   136 0.59 | transcript=PVPAM_100027700_t1 | gene=PVPAM_100027700 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-1B, putative | transcript_product=ras-related protein Rab-1B, putative | location=CASCJQ010000010:968337-969961(-) | protein_length=200 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717749.1         -            201 12531at5820          -            161   0.00019   19.9   3.5   1   1   9.4e-07   0.00032   19.2   3.2    13   145    11   159     2   175 0.68 | transcript=PVPAM_010026300_t1 | gene=PVPAM_010026300 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-18, putative | transcript_product=ras-related protein Rab-18, putative | location=CASCJQ010000001:951416-952500(-) | protein_length=201 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719471.1         -            206 12531at5820          -            161   0.00021   19.8   1.0   1   1   2.5e-06   0.00085   17.9   1.0     8   134     4   144     2   158 0.67 | transcript=PVPAM_070008500_t1 | gene=PVPAM_070008500 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein RAB7, putative | transcript_product=ras-related protein RAB7, putative | location=CASCJQ010000007:187577-189993(-) | protein_length=206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723803.1         -            261 12531at5820          -            161   0.00068   18.2   0.7   1   1   4.6e-06    0.0016   17.0   0.7    12   120    63   184    50   211 0.76 | transcript=PVPAM_140072600_t1 | gene=PVPAM_140072600 | organism=Plasmodium_vivax_PAM | gene_product=signal recognition particle receptor subunit beta, putative | transcript_product=signal recognition particle receptor subunit beta, putative | location=CASCJQ010000014:2867218-2868732(+) | protein_length=261 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723650.1         -            213 12531at5820          -            161   0.00081   17.9   0.0   1   1   2.9e-06     0.001   17.6   0.0    50   152    57   162     8   171 0.72 | transcript=PVPAM_140057400_t1 | gene=PVPAM_140057400 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-2, putative | transcript_product=ras-related protein Rab-2, putative | location=CASCJQ010000014:2254682-2256145(+) | protein_length=213 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723372.1         -            216 12531at5820          -            161    0.0009   17.8   0.6   1   1   5.4e-06    0.0018   16.8   0.6    48   130    60   141    10   177 0.70 | transcript=PVPAM_140029100_t1 | gene=PVPAM_140029100 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-11A, putative | transcript_product=ras-related protein Rab-11A, putative | location=CASCJQ010000014:1044385-1045933(+) | protein_length=216 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721950.1         -            229 12531at5820          -            161    0.0038   15.8   0.3   1   1   4.1e-05     0.014   13.9   0.3    14   120    11   129     7   178 0.73 | transcript=PVPAM_120018600_t1 | gene=PVPAM_120018600 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-11B, putative | transcript_product=ras-related protein Rab-11B, putative | location=CASCJQ010000012:585822-587159(+) | protein_length=229 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722376.1         -            784 12531at5820          -            161    0.0058   15.2   0.1   1   2         5   1.7e+03   -2.6   0.0    11    29    16    34    12    47 0.82 | transcript=PVPAM_120061200_t1 | gene=PVPAM_120061200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2287697-2290051(+) | protein_length=784 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722376.1         -            784 12531at5820          -            161    0.0058   15.2   0.1   2   2   5.5e-05     0.019   13.5   0.1    44    90    71   118    62   137 0.77 | transcript=PVPAM_120061200_t1 | gene=PVPAM_120061200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2287697-2290051(+) | protein_length=784 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12531at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12531at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12531at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:09 2026
# [ok]
