#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719480.1         -           1319 1635at5820           -            845         0 1614.7 108.4   1   6         0         0 1080.4  29.7     1   469     4   472     4   482 0.99 | transcript=PVPAM_070009400_t1 | gene=PVPAM_070009400 | organism=Plasmodium_vivax_PAM | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=CASCJQ010000007:246961-251977(-) | protein_length=1319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721497.1         -           1004 1635at5820           -            845   1.6e-05   21.6   0.6   2   2      0.11   1.7e+02   -1.7   0.1   363   393   459   490   449   510 0.79 | transcript=PVPAM_110040200_t1 | gene=PVPAM_110040200 | organism=Plasmodium_vivax_PAM | gene_product=AP-3 complex subunit beta, putative | transcript_product=AP-3 complex subunit beta, putative | location=CASCJQ010000011:1482984-1485998(+) | protein_length=1004 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1635at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1635at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1635at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:50 2026
# [ok]
