#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721252.1         -           3144 188at5820            -           2473         0 4588.4 200.4   1   4         0         0 2314.3 101.0     1  1182     1  1263     1  1275 0.97 | transcript=PVPAM_110015400_t1 | gene=PVPAM_110015400 | organism=Plasmodium_vivax_PAM | gene_product=guanylyl cyclase beta, putative | transcript_product=guanylyl cyclase beta, putative | location=CASCJQ010000011:420051-432122(-) | protein_length=3144 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720671.1         -           3984 188at5820            -           2473  4.3e-179  596.4 134.7   8   9   5.1e-35   1.1e-31  107.4  14.6  1290  1572  2647  2932  2519  2946 0.73 | transcript=PVPAM_090043600_t1 | gene=PVPAM_090043600 | organism=Plasmodium_vivax_PAM | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=CASCJQ010000009:1693656-1705610(-) | protein_length=3984 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720671.1         -           3984 188at5820            -           2473  4.3e-179  596.4 134.7   9   9  9.8e-115  2.1e-111  371.8  35.7  1591  2452  2994  3911  2973  3935 0.69 | transcript=PVPAM_090043600_t1 | gene=PVPAM_090043600 | organism=Plasmodium_vivax_PAM | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=CASCJQ010000009:1693656-1705610(-) | protein_length=3984 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723535.1         -           1514 188at5820            -           2473     6e-15   51.9  52.5   1   3   4.7e-06      0.01   11.3   0.3   148   244   195   297   183   318 0.81 | transcript=PVPAM_140045900_t1 | gene=PVPAM_140045900 | organism=Plasmodium_vivax_PAM | gene_product=phospholipid-transporting ATPase 2, putative | transcript_product=phospholipid-transporting ATPase 2, putative | location=CASCJQ010000014:1725979-1732037(-) | protein_length=1514 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723535.1         -           1514 188at5820            -           2473     6e-15   51.9  52.5   2   3   3.4e-05     0.073    8.5   6.1   249   390   361   516   350   521 0.73 | transcript=PVPAM_140045900_t1 | gene=PVPAM_140045900 | organism=Plasmodium_vivax_PAM | gene_product=phospholipid-transporting ATPase 2, putative | transcript_product=phospholipid-transporting ATPase 2, putative | location=CASCJQ010000014:1725979-1732037(-) | protein_length=1514 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723535.1         -           1514 188at5820            -           2473     6e-15   51.9  52.5   3   3   5.5e-14   1.2e-10   37.6  32.9   663  1175   887  1456   877  1471 0.77 | transcript=PVPAM_140045900_t1 | gene=PVPAM_140045900 | organism=Plasmodium_vivax_PAM | gene_product=phospholipid-transporting ATPase 2, putative | transcript_product=phospholipid-transporting ATPase 2, putative | location=CASCJQ010000014:1725979-1732037(-) | protein_length=1514 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/188at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/188at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/188at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:13 2026
# [ok]
