#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723809.1         -            302 9829at5820           -            272  2.3e-163  540.5  15.9   1   1  5.1e-166  3.6e-163  539.9  15.9     1   272     9   298     9   298 0.97 | transcript=PVPAM_140073200_t1 | gene=PVPAM_140073200 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase FKBP35, putative | transcript_product=peptidyl-prolyl cis-trans isomerase FKBP35, putative | location=CASCJQ010000014:2882921-2883829(-) | protein_length=302 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722100.1         -            141 9829at5820           -            272     0.013   13.4   1.2   1   1   2.2e-05     0.015   13.1   1.2   147   248     8   106     2   116 0.73 | transcript=PVPAM_120033800_t1 | gene=PVPAM_120033800 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial fission 1 protein, putative | transcript_product=mitochondrial fission 1 protein, putative | location=CASCJQ010000012:1145458-1146281(-) | protein_length=141 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9829at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9829at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9829at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:52:47 2026
# [ok]
