#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723016.1         -            570 5555at5820           -            432  1.1e-232  770.8  54.4   1   2    6e-133  3.5e-130  433.0  23.7    11   221    57   268    53   274 0.98 | transcript=PVPAM_130052200_t1 | gene=PVPAM_130052200 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein Obg1, putative | transcript_product=GTP-binding protein Obg1, putative | location=CASCJQ010000013:2069597-2071309(-) | protein_length=570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721554.1         -            627 5555at5820           -            432   2.3e-08   31.7  10.4   2   3   1.5e-05    0.0089   13.2   0.2   127   209   339   414   321   436 0.74 | transcript=PVPAM_110045900_t1 | gene=PVPAM_110045900 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000011:1697467-1699465(+) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721554.1         -            627 5555at5820           -            432   2.3e-08   31.7  10.4   3   3    0.0082       4.8    4.2   0.0   245   306   519   582   512   610 0.80 | transcript=PVPAM_110045900_t1 | gene=PVPAM_110045900 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000011:1697467-1699465(+) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720419.1         -            713 5555at5820           -            432   5.3e-08   30.5   6.4   1   1   1.8e-10   1.1e-07   29.5   6.4   178   336   467   635   461   663 0.76 | transcript=PVPAM_090018400_t1 | gene=PVPAM_090018400 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000009:665356-667497(+) | protein_length=713 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722908.1         -            518 5555at5820           -            432   9.3e-05   19.8   1.4   1   2       0.4   2.3e+02   -1.3   0.1   269   301   241   273   213   300 0.74 | transcript=PVPAM_130041000_t1 | gene=PVPAM_130041000 | organism=Plasmodium_vivax_PAM | gene_product=nucleolar GTP-binding protein 2, putative | transcript_product=nucleolar GTP-binding protein 2, putative | location=CASCJQ010000013:1597635-1599191(+) | protein_length=518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722908.1         -            518 5555at5820           -            432   9.3e-05   19.8   1.4   2   2   2.7e-07   0.00016   19.0   0.2   177   256   322   403   305   437 0.67 | transcript=PVPAM_130041000_t1 | gene=PVPAM_130041000 | organism=Plasmodium_vivax_PAM | gene_product=nucleolar GTP-binding protein 2, putative | transcript_product=nucleolar GTP-binding protein 2, putative | location=CASCJQ010000013:1597635-1599191(+) | protein_length=518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722835.1         -            791 5555at5820           -            432   0.00081   16.7   1.5   1   2      0.12        73    0.3   0.3   247   301   351   404   333   433 0.71 | transcript=PVPAM_130033700_t1 | gene=PVPAM_130033700 | organism=Plasmodium_vivax_PAM | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=CASCJQ010000013:1306054-1308591(-) | protein_length=791 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722835.1         -            791 5555at5820           -            432   0.00081   16.7   1.5   2   2   7.5e-06    0.0044   14.2   0.0   177   231   551   606   497   620 0.72 | transcript=PVPAM_130033700_t1 | gene=PVPAM_130033700 | organism=Plasmodium_vivax_PAM | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=CASCJQ010000013:1306054-1308591(-) | protein_length=791 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721000.1         -            288 5555at5820           -            432     0.015   12.5   0.1   1   2   4.8e-05     0.028   11.6   0.0   177   230    85   139    75   178 0.80 | transcript=PVPAM_100026900_t1 | gene=PVPAM_100026900 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein YihA1, putative | transcript_product=GTP-binding protein YihA1, putative | location=CASCJQ010000010:943007-945208(+) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721000.1         -            288 5555at5820           -            432     0.015   12.5   0.1   2   2       1.2   7.3e+02   -2.9   0.1   368   389   214   235   193   263 0.53 | transcript=PVPAM_100026900_t1 | gene=PVPAM_100026900 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein YihA1, putative | transcript_product=GTP-binding protein YihA1, putative | location=CASCJQ010000010:943007-945208(+) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5555at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5555at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5555at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:17 2026
# [ok]
