#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723645.1         -            376 7425at5820           -            101   3.2e-62  205.6   0.2   1   2      0.11   1.1e+02    1.7   0.0    10    53   207   253   202   261 0.76 | transcript=PVPAM_140056900_t1 | gene=PVPAM_140056900 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=CASCJQ010000014:2235558-2236895(+) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720041.1         -           1620 7425at5820           -            101      0.56    9.1   8.4   1   3      0.85   9.1e+02   -1.2   0.1    19    62   823   866   818   903 0.75 | transcript=PVPAM_080026300_t1 | gene=PVPAM_080026300 | organism=Plasmodium_vivax_PAM | gene_product=merozoite surface protein MSA180 | transcript_product=merozoite surface protein MSA180 | location=CASCJQ010000008:968891-973753(+) | protein_length=1620 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720041.1         -           1620 7425at5820           -            101      0.56    9.1   8.4   2   3     7e-05     0.076   11.9   0.4    33    72   903   943   880   956 0.76 | transcript=PVPAM_080026300_t1 | gene=PVPAM_080026300 | organism=Plasmodium_vivax_PAM | gene_product=merozoite surface protein MSA180 | transcript_product=merozoite surface protein MSA180 | location=CASCJQ010000008:968891-973753(+) | protein_length=1620 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720041.1         -           1620 7425at5820           -            101      0.56    9.1   8.4   3   3         1   1.1e+03   -1.5   0.9    37    69  1343  1377  1322  1412 0.68 | transcript=PVPAM_080026300_t1 | gene=PVPAM_080026300 | organism=Plasmodium_vivax_PAM | gene_product=merozoite surface protein MSA180 | transcript_product=merozoite surface protein MSA180 | location=CASCJQ010000008:968891-973753(+) | protein_length=1620 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7425at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7425at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7425at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:29 2026
# [ok]
