#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720500.1         -            792 3154at5820           -            664         0 1363.3  64.5   1   4   5.8e-14   4.1e-11   40.5   1.9     3    47    19    69    17    74 0.86 | transcript=PVPAM_090026500_t1 | gene=PVPAM_090026500 | organism=Plasmodium_vivax_PAM | gene_product=protein GCN20, putative | transcript_product=protein GCN20, putative | location=CASCJQ010000009:973394-975772(+) | protein_length=792 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723421.1         -           1280 3154at5820           -            664   3.9e-13   47.2  43.6   5   5   2.4e-09   1.7e-06   25.2   1.2   569   633  1029  1094   996  1118 0.84 | transcript=PVPAM_140034300_t1 | gene=PVPAM_140034300 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=CASCJQ010000014:1247997-1251839(+) | protein_length=1280 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721175.1         -            619 3154at5820           -            664   3.2e-11   40.8  14.5   1   3     0.012       8.7    3.1   0.1   153   170   120   137   110   146 0.86 | transcript=PVPAM_110007700_t1 | gene=PVPAM_110007700 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=CASCJQ010000011:111403-113391(+) | protein_length=619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721175.1         -            619 3154at5820           -            664   3.2e-11   40.8  14.5   2   3   8.1e-07   0.00058   16.9   0.7   561   635   223   301   189   306 0.78 | transcript=PVPAM_110007700_t1 | gene=PVPAM_110007700 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=CASCJQ010000011:111403-113391(+) | protein_length=619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721175.1         -            619 3154at5820           -            664   3.2e-11   40.8  14.5   3   3   6.3e-10   4.5e-07   27.1   3.4   478   635   393   552   326   567 0.69 | transcript=PVPAM_110007700_t1 | gene=PVPAM_110007700 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=CASCJQ010000011:111403-113391(+) | protein_length=619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722743.1         -            918 3154at5820           -            664   2.1e-10   38.2   3.6   1   2   3.6e-05     0.026   11.4   0.1   460   509   613   662   605   700 0.85 | transcript=PVPAM_130024400_t1 | gene=PVPAM_130024400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=CASCJQ010000013:872788-875544(-) | protein_length=918 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722743.1         -            918 3154at5820           -            664   2.1e-10   38.2   3.6   2   2   6.4e-10   4.6e-07   27.1   0.4   263   327   815   881   753   889 0.87 | transcript=PVPAM_130024400_t1 | gene=PVPAM_130024400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=CASCJQ010000013:872788-875544(-) | protein_length=918 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722809.1         -            257 3154at5820           -            664   3.5e-09   34.1   4.2   1   2   1.4e-05    0.0098   12.8   0.1   466   510    27    71    11    79 0.83 | transcript=PVPAM_130031000_t1 | gene=PVPAM_130031000 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-associated factor 16, putative | transcript_product=CCR4-associated factor 16, putative | location=CASCJQ010000013:1173066-1174701(+) | protein_length=257 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722809.1         -            257 3154at5820           -            664   3.5e-09   34.1   4.2   2   2   2.1e-08   1.5e-05   22.1   1.5   259   343   125   213    99   232 0.89 | transcript=PVPAM_130031000_t1 | gene=PVPAM_130031000 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-associated factor 16, putative | transcript_product=CCR4-associated factor 16, putative | location=CASCJQ010000013:1173066-1174701(+) | protein_length=257 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722997.1         -            351 3154at5820           -            664   3.2e-06   24.3   2.1   1   1   4.6e-08   3.3e-05   21.0   2.1   120   352    98   339    49   346 0.74 | transcript=PVPAM_130050300_t1 | gene=PVPAM_130050300 | organism=Plasmodium_vivax_PAM | gene_product=iron-sulfur cluster assembly protein SufC, putative | transcript_product=iron-sulfur cluster assembly protein SufC, putative | location=CASCJQ010000013:1999133-2000188(+) | protein_length=351 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722884.1         -            695 3154at5820           -            664   4.2e-06   23.9   0.2   1   1   3.6e-08   2.6e-05   21.3   0.2   478   610    68   216    63   231 0.67 | transcript=PVPAM_130038600_t1 | gene=PVPAM_130038600 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter G family member 2, putative | transcript_product=ABC transporter G family member 2, putative | location=CASCJQ010000013:1498834-1500921(+) | protein_length=695 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721958.1         -            815 3154at5820           -            664   4.3e-05   20.6   8.6   1   3      0.79   5.7e+02   -2.9   0.1   172   244   260   338   252   358 0.49 | transcript=PVPAM_120019400_t1 | gene=PVPAM_120019400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=CASCJQ010000012:611960-614407(-) | protein_length=815 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721958.1         -            815 3154at5820           -            664   4.3e-05   20.6   8.6   2   3   7.3e-06    0.0053   13.7   0.2   459   509   497   546   482   567 0.81 | transcript=PVPAM_120019400_t1 | gene=PVPAM_120019400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=CASCJQ010000012:611960-614407(-) | protein_length=815 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721958.1         -            815 3154at5820           -            664   4.3e-05   20.6   8.6   3   3   2.7e-05     0.019   11.8   0.5   263   331   711   781   701   799 0.83 | transcript=PVPAM_120019400_t1 | gene=PVPAM_120019400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=CASCJQ010000012:611960-614407(-) | protein_length=815 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3154at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3154at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3154at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:56 2026
# [ok]
