#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722807.1         -            149 13322at5820          -            149  2.3e-101  334.5  11.2   1   1  1.1e-103  2.6e-101  334.3  11.2     1   149     1   149     1   149 1.00 | transcript=PVPAM_130030800_t1 | gene=PVPAM_130030800 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000013:1169241-1170239(+) | protein_length=149 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719263.1         -            236 13322at5820          -            149   8.1e-13   47.2   9.4   3   3   7.5e-09   1.7e-06   26.6   1.2    54   144   140   230   128   234 0.90 | transcript=PVPAM_060027000_t1 | gene=PVPAM_060027000 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000006:916869-917579(+) | protein_length=236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722369.1         -            177 13322at5820          -            149   1.3e-12   46.5   5.1   1   1   1.5e-14   3.5e-12   45.1   5.1     5   146    22   164    18   166 0.83 | transcript=PVPAM_120060500_t1 | gene=PVPAM_120060500 | organism=Plasmodium_vivax_PAM | gene_product=calcineurin subunit B, putative | transcript_product=calcineurin subunit B, putative | location=CASCJQ010000012:2253591-2255022(+) | protein_length=177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720376.1         -            344 13322at5820          -            149   5.2e-11   41.3   9.0   1   2   2.2e-12   5.2e-10   38.1   5.5    11   143    65   198    55   204 0.89 | transcript=PVPAM_090014100_t1 | gene=PVPAM_090014100 | organism=Plasmodium_vivax_PAM | gene_product=endoplasmic reticulum-resident calcium binding protein, putative | transcript_product=endoplasmic reticulum-resident calcium binding protein, putative | location=CASCJQ010000009:503042-504076(-) | protein_length=344 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720376.1         -            344 13322at5820          -            149   5.2e-11   41.3   9.0   2   2     0.049        11    4.5   0.1    86   111   214   239   205   262 0.74 | transcript=PVPAM_090014100_t1 | gene=PVPAM_090014100 | organism=Plasmodium_vivax_PAM | gene_product=endoplasmic reticulum-resident calcium binding protein, putative | transcript_product=endoplasmic reticulum-resident calcium binding protein, putative | location=CASCJQ010000009:503042-504076(-) | protein_length=344 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723799.1         -            209 13322at5820          -            149   8.7e-10   37.3   0.7   1   1   5.5e-12   1.3e-09   36.8   0.7    14   139    80   200    70   208 0.80 | transcript=PVPAM_140072200_t1 | gene=PVPAM_140072200 | organism=Plasmodium_vivax_PAM | gene_product=myosin A-tail interacting protein, putative | transcript_product=myosin A-tail interacting protein, putative | location=CASCJQ010000014:2858420-2859049(+) | protein_length=209 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723393.1         -            244 13322at5820          -            149   1.6e-09   36.5   2.4   1   2   0.00077      0.18   10.4   0.0     4    56     9    61     7    88 0.89 | transcript=PVPAM_140031200_t1 | gene=PVPAM_140031200 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000014:1152775-1153919(-) | protein_length=244 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723393.1         -            244 13322at5820          -            149   1.6e-09   36.5   2.4   2   2   1.7e-08   3.9e-06   25.5   0.9    66   127   152   214    89   240 0.69 | transcript=PVPAM_140031200_t1 | gene=PVPAM_140031200 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000014:1152775-1153919(-) | protein_length=244 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722444.1         -            207 13322at5820          -            149   5.9e-09   34.7   2.6   1   1   6.8e-11   1.6e-08   33.3   2.6     5   134    40   174    37   190 0.79 | transcript=PVPAM_120068100_t1 | gene=PVPAM_120068100 | organism=Plasmodium_vivax_PAM | gene_product=EF-hand calcium-binding domain-containing protein, putative | transcript_product=EF-hand calcium-binding domain-containing protein, putative | location=CASCJQ010000012:2568832-2569988(-) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721361.1         -            136 13322at5820          -            149   2.9e-08   32.4   0.1   1   1   1.5e-10   3.6e-08   32.1   0.1    10   143     5   134     1   136 0.78 | transcript=PVPAM_110026400_t1 | gene=PVPAM_110026400 | organism=Plasmodium_vivax_PAM | gene_product=troponin c-like protein, putative | transcript_product=troponin c-like protein, putative | location=CASCJQ010000011:937732-939202(+) | protein_length=136 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722949.1         -            136 13322at5820          -            149   6.3e-07   28.1   0.2   1   1   1.1e-08   2.5e-06   26.1   0.2    14   144     9   132     3   136 0.82 | transcript=PVPAM_130045500_t1 | gene=PVPAM_130045500 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000013:1746960-1747370(-) | protein_length=136 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717932.1         -            215 13322at5820          -            149   1.3e-06   27.1   0.0   1   1   8.6e-09     2e-06   26.4   0.0    11   128    55   173    43   184 0.85 | transcript=PVPAM_020016400_t1 | gene=PVPAM_020016400 | organism=Plasmodium_vivax_PAM | gene_product=EF hand domain-containing protein, putative | transcript_product=EF hand domain-containing protein, putative | location=CASCJQ010000002:479484-480291(+) | protein_length=215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718891.1         -            150 13322at5820          -            149   1.4e-06   26.9   1.1   1   1   7.6e-09   1.8e-06   26.6   1.1     5   144     6   145     2   149 0.89 | transcript=PVPAM_050028300_t1 | gene=PVPAM_050028300 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin-like protein | transcript_product=calmodulin-like protein | location=CASCJQ010000005:980237-981219(-) | protein_length=150 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722905.1         -            956 13322at5820          -            149   3.8e-05   22.3   1.9   1   2   0.00023     0.053   12.1   0.1    85   128   646   689   639   718 0.88 | transcript=PVPAM_130040700_t1 | gene=PVPAM_130040700 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 7, putative | transcript_product=serine/threonine protein phosphatase 7, putative | location=CASCJQ010000013:1580920-1586294(-) | protein_length=956 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722905.1         -            956 13322at5820          -            149   3.8e-05   22.3   1.9   2   2    0.0032      0.74    8.4   0.3    85   144   782   850   771   855 0.71 | transcript=PVPAM_130040700_t1 | gene=PVPAM_130040700 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 7, putative | transcript_product=serine/threonine protein phosphatase 7, putative | location=CASCJQ010000013:1580920-1586294(-) | protein_length=956 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720663.1         -            690 13322at5820          -            149   0.00047   18.7   3.6   1   3       1.6   3.7e+02   -0.4   0.0    80   108    86   114    76   145 0.73 | transcript=PVPAM_090042800_t1 | gene=PVPAM_090042800 | organism=Plasmodium_vivax_PAM | gene_product=calcium-binding protein, putative | transcript_product=calcium-binding protein, putative | location=CASCJQ010000009:1668956-1671028(+) | protein_length=690 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720663.1         -            690 13322at5820          -            149   0.00047   18.7   3.6   2   3       4.1   9.4e+02   -1.7   0.0   103   144   202   246   193   251 0.55 | transcript=PVPAM_090042800_t1 | gene=PVPAM_090042800 | organism=Plasmodium_vivax_PAM | gene_product=calcium-binding protein, putative | transcript_product=calcium-binding protein, putative | location=CASCJQ010000009:1668956-1671028(+) | protein_length=690 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720663.1         -            690 13322at5820          -            149   0.00047   18.7   3.6   3   3     6e-06    0.0014   17.2   0.6    85   143   487   546   443   550 0.82 | transcript=PVPAM_090042800_t1 | gene=PVPAM_090042800 | organism=Plasmodium_vivax_PAM | gene_product=calcium-binding protein, putative | transcript_product=calcium-binding protein, putative | location=CASCJQ010000009:1668956-1671028(+) | protein_length=690 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717650.1         -            107 13322at5820          -            149   0.00049   18.7   0.5   1   1   4.8e-06    0.0011   17.5   0.6     4    72    39   103    36   107 0.79 | transcript=PVPAM_010016000_t1 | gene=PVPAM_010016000 | organism=Plasmodium_vivax_PAM | gene_product=centrin, putative | transcript_product=centrin, putative | location=CASCJQ010000001:502123-503026(-) | protein_length=107 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721834.1         -            423 13322at5820          -            149    0.0013   17.3   0.1   1   1   9.2e-06    0.0021   16.6   0.1     6   108   294   393   289   415 0.89 | transcript=PVPAM_120006800_t1 | gene=PVPAM_120006800 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000012:77656-80961(+) | protein_length=423 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721578.1         -            158 13322at5820          -            149    0.0014   17.2   1.5   1   1   8.4e-06    0.0019   16.8   1.5    16   144    29   153    16   157 0.76 | transcript=PVPAM_110048300_t1 | gene=PVPAM_110048300 | organism=Plasmodium_vivax_PAM | gene_product=calcium-binding protein, putative | transcript_product=calcium-binding protein, putative | location=CASCJQ010000011:1806007-1806483(+) | protein_length=158 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717988.1         -            131 13322at5820          -            149    0.0016   17.0   0.0   1   1   1.9e-05    0.0044   15.6   0.0    30   145    25   131     1   131 0.71 | transcript=PVPAM_020022000_t1 | gene=PVPAM_020022000 | organism=Plasmodium_vivax_PAM | gene_product=EF hand domain-containing protein, putative | transcript_product=EF hand domain-containing protein, putative | location=CASCJQ010000002:724912-726021(-) | protein_length=131 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720470.1         -            662 13322at5820          -            149      0.01   14.4   2.3   1   2       1.1   2.6e+02    0.1   0.1   104   128   368   392   327   411 0.73 | transcript=PVPAM_090023500_t1 | gene=PVPAM_090023500 | organism=Plasmodium_vivax_PAM | gene_product=myosin light chain B, putative | transcript_product=myosin light chain B, putative | location=CASCJQ010000009:854829-859763(-) | protein_length=662 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720470.1         -            662 13322at5820          -            149      0.01   14.4   2.3   2   2   0.00016     0.036   12.6   0.3    69   147   578   657   555   659 0.79 | transcript=PVPAM_090023500_t1 | gene=PVPAM_090023500 | organism=Plasmodium_vivax_PAM | gene_product=myosin light chain B, putative | transcript_product=myosin light chain B, putative | location=CASCJQ010000009:854829-859763(-) | protein_length=662 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720514.1         -           1958 13322at5820          -            149     0.014   13.9   0.3   1   2   0.00022      0.05   12.2   0.0    60   113    76   128    66   137 0.86 | transcript=PVPAM_090027900_t1 | gene=PVPAM_090027900 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=CASCJQ010000009:1066933-1072968(+) | protein_length=1958 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720514.1         -           1958 13322at5820          -            149     0.014   13.9   0.3   2   2       8.1   1.9e+03   -2.7   0.1   113   142   151   180   131   182 0.83 | transcript=PVPAM_090027900_t1 | gene=PVPAM_090027900 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=CASCJQ010000009:1066933-1072968(+) | protein_length=1958 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718873.1         -            291 13322at5820          -            149      0.02   13.4   4.4   1   2    0.0023      0.53    8.8   2.0     8    73   145   203   121   224 0.72 | transcript=PVPAM_050026500_t1 | gene=PVPAM_050026500 | organism=Plasmodium_vivax_PAM | gene_product=EF-hand calcium-binding domain-containing protein, putative | transcript_product=EF-hand calcium-binding domain-containing protein, putative | location=CASCJQ010000005:912926-914132(-) | protein_length=291 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718873.1         -            291 13322at5820          -            149      0.02   13.4   4.4   2   2      0.17        39    2.8   0.0    45    76   260   291   222   291 0.79 | transcript=PVPAM_050026500_t1 | gene=PVPAM_050026500 | organism=Plasmodium_vivax_PAM | gene_product=EF-hand calcium-binding domain-containing protein, putative | transcript_product=EF-hand calcium-binding domain-containing protein, putative | location=CASCJQ010000005:912926-914132(-) | protein_length=291 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13322at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13322at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13322at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:29:36 2026
# [ok]
