#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723799.1         -            209 12243at5820          -            188  9.1e-109  360.1   4.4   1   1  2.1e-111  1.1e-108  359.9   4.4     1   188     5   209     5   209 0.95 | transcript=PVPAM_140072200_t1 | gene=PVPAM_140072200 | organism=Plasmodium_vivax_PAM | gene_product=myosin A-tail interacting protein, putative | transcript_product=myosin A-tail interacting protein, putative | location=CASCJQ010000014:2858420-2859049(+) | protein_length=209 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720470.1         -            662 12243at5820          -            188   1.9e-05   23.2   0.5   4   5       1.8   8.7e+02   -1.8   0.3    49    96   473   522   456   553 0.65 | transcript=PVPAM_090023500_t1 | gene=PVPAM_090023500 | organism=Plasmodium_vivax_PAM | gene_product=myosin light chain B, putative | transcript_product=myosin light chain B, putative | location=CASCJQ010000009:854829-859763(-) | protein_length=662 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720470.1         -            662 12243at5820          -            188   1.9e-05   23.2   0.5   5   5   3.8e-08   1.9e-05   23.2   0.5   107   178   574   648   554   654 0.78 | transcript=PVPAM_090023500_t1 | gene=PVPAM_090023500 | organism=Plasmodium_vivax_PAM | gene_product=myosin light chain B, putative | transcript_product=myosin light chain B, putative | location=CASCJQ010000009:854829-859763(-) | protein_length=662 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718179.1         -            529 12243at5820          -            188    0.0042   15.6   0.6   1   2    0.0065       3.2    6.2   0.1   109   148   363   402   333   423 0.82 | transcript=PVPAM_030017900_t1 | gene=PVPAM_030017900 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=CASCJQ010000003:539734-541488(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718179.1         -            529 12243at5820          -            188    0.0042   15.6   0.6   2   2    0.0041         2    6.8   0.1   105   151   440   488   428   524 0.78 | transcript=PVPAM_030017900_t1 | gene=PVPAM_030017900 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=CASCJQ010000003:539734-541488(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721578.1         -            158 12243at5820          -            188    0.0049   15.4   5.4   1   1   1.2e-05    0.0058   15.1   5.4    51   185    19   154     3   157 0.75 | transcript=PVPAM_110048300_t1 | gene=PVPAM_110048300 | organism=Plasmodium_vivax_PAM | gene_product=calcium-binding protein, putative | transcript_product=calcium-binding protein, putative | location=CASCJQ010000011:1806007-1806483(+) | protein_length=158 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722949.1         -            136 12243at5820          -            188     0.006   15.1   0.2   1   1   1.4e-05     0.007   14.9   0.2    90   165    36   111     9   131 0.71 | transcript=PVPAM_130045500_t1 | gene=PVPAM_130045500 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000013:1746960-1747370(-) | protein_length=136 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723458.1         -            111 12243at5820          -            188     0.011   14.3   0.1   1   1   2.7e-05     0.013   14.0   0.1    60   116    46   102    40   110 0.82 | transcript=PVPAM_140038000_t1 | gene=PVPAM_140038000 | organism=Plasmodium_vivax_PAM | gene_product=ribosomal protein L33, apicoplast, putative | transcript_product=ribosomal protein L33, apicoplast, putative | location=CASCJQ010000014:1418823-1419406(+) | protein_length=111 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12243at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12243at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12243at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:19 2026
# [ok]
