#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091585.1-p1      -            366 10221at5820          -            271  1.2e-117  390.4   6.9   1   3     1e-37   4.3e-35  119.7   0.5     1   100     8   129     8   151 0.83 | transcript=PVX_091585.1 | gene=PVX_091585 | organism=Plasmodium_vivax_Sal-1 | gene_product=acyl-CoA-binding protein, putative | transcript_product=acyl-CoA-binding protein, putative | location=Pv_Sal1_chr09:628205-629305(-) | protein_length=366 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122515.1-p1      -            400 10221at5820          -            271   9.6e-10   36.6  20.5   5   5       3.3   1.4e+03   -3.3   0.2   116   136   281   301   261   324 0.63 | transcript=PVX_122515.1 | gene=PVX_122515 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:652051-653253(-) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123275.1-p1      -             92 10221at5820          -            271   2.5e-07   28.7   1.1   1   1   6.7e-10   2.9e-07   28.5   1.1    57   135     4    87     1    90 0.78 | transcript=PVX_123275.1 | gene=PVX_123275 | organism=Plasmodium_vivax_Sal-1 | gene_product=acyl-CoA binding protein, putative | transcript_product=acyl-CoA binding protein, putative | location=Pv_Sal1_chr14:1292246-1292524(+) | protein_length=92 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116745.1-p1      -            641 10221at5820          -            271   0.00013   19.7   2.5   1   4    0.0016      0.67    7.6   0.0   215   261    33    79    27    82 0.84 | transcript=PVX_116745.1 | gene=PVX_116745 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr12:1236744-1239509(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116745.1-p1      -            641 10221at5820          -            271   0.00013   19.7   2.5   2   4     2e-05    0.0086   13.8   0.0   189   261    73   145    73   151 0.92 | transcript=PVX_116745.1 | gene=PVX_116745 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr12:1236744-1239509(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116745.1-p1      -            641 10221at5820          -            271   0.00013   19.7   2.5   3   4     0.023       9.9    3.8   0.0   195   259   112   176   108   179 0.88 | transcript=PVX_116745.1 | gene=PVX_116745 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr12:1236744-1239509(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116745.1-p1      -            641 10221at5820          -            271   0.00013   19.7   2.5   4   4      0.98   4.2e+02   -1.6   0.8   140   183   376   418   370   422 0.63 | transcript=PVX_116745.1 | gene=PVX_116745 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr12:1236744-1239509(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092740.1-p1      -            584 10221at5820          -            271    0.0011   16.7   0.2   1   1   6.1e-06    0.0026   15.5   0.2   161   245    24   111    14   120 0.78 | transcript=PVX_092740.1 | gene=PVX_092740 | organism=Plasmodium_vivax_Sal-1 | gene_product=methyltransferase, putative | transcript_product=methyltransferase, putative | location=Pv_Sal1_chr09:1688353-1690107(-) | protein_length=584 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10221at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10221at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10221at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:13 2026
# [ok]
