#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_113775.1-p1      -            362 10105at5820          -            265  2.6e-102  339.8  15.8   1   1  3.1e-101   1.9e-98  327.1  15.8     6   249    24   320    21   325 0.84 | transcript=PVX_113775.1 | gene=PVX_113775 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr11:1516825-1517913(+) | protein_length=362 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 10105at5820          -            265   5.6e-74  246.8  83.1  11  13     3e-12   1.8e-09   35.4   0.5    49   192  2205  2359  2188  2373 0.74 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 10105at5820          -            265   5.6e-74  246.8  83.1  12  13      0.89   5.4e+02   -2.3   0.1    89   102  2412  2425  2373  2436 0.68 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 10105at5820          -            265   5.6e-74  246.8  83.1  13  13   2.4e-19   1.5e-16   58.6   5.6    11   206  2464  2668  2455  2704 0.80 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003900.1-p1      -           2215 10105at5820          -            265   9.4e-39  131.4  68.0   1   9   5.2e-06    0.0032   14.9   0.4    73   242   187   354   181   368 0.75 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003900.1-p1      -           2215 10105at5820          -            265   9.4e-39  131.4  68.0   2   9   2.6e-07   0.00016   19.2   3.3   110   235   490   615   482   634 0.72 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003900.1-p1      -           2215 10105at5820          -            265   9.4e-39  131.4  68.0   3   9      0.59   3.6e+02   -1.7   0.0   156   181   674   699   647   723 0.66 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003900.1-p1      -           2215 10105at5820          -            265   9.4e-39  131.4  68.0   4   9   1.1e-08   6.8e-06   23.6   0.3    73   244   805   978   792   991 0.76 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003900.1-p1      -           2215 10105at5820          -            265   9.4e-39  131.4  68.0   5   9      0.61   3.8e+02   -1.7   0.0   131   177  1033  1074  1026  1078 0.57 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003900.1-p1      -           2215 10105at5820          -            265   9.4e-39  131.4  68.0   6   9   2.2e-12   1.4e-09   35.8  10.7    50   241  1131  1338  1121  1346 0.66 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003900.1-p1      -           2215 10105at5820          -            265   9.4e-39  131.4  68.0   7   9   1.5e-09   9.1e-07   26.5   8.9    82   233  1536  1720  1459  1735 0.62 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003900.1-p1      -           2215 10105at5820          -            265   9.4e-39  131.4  68.0   8   9      0.31   1.9e+02   -0.8   0.0    27    66  1857  1900  1843  1905 0.71 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003900.1-p1      -           2215 10105at5820          -            265   9.4e-39  131.4  68.0   9   9   6.2e-13   3.8e-10   37.6   2.7    94   188  2030  2119  1987  2175 0.82 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083240.1-p1      -            433 10105at5820          -            265   2.8e-18   64.3  13.0   1   2   3.1e-14   1.9e-11   41.9   5.2    25   185    55   227    22   241 0.73 | transcript=PVX_083240.1 | gene=PVX_083240 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr12:286262-287563(+) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083240.1-p1      -            433 10105at5820          -            265   2.8e-18   64.3  13.0   2   2   2.6e-09   1.6e-06   25.7   0.9   119   261   269   426   256   430 0.60 | transcript=PVX_083240.1 | gene=PVX_083240 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr12:286262-287563(+) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000995.1-p1      -            384 10105at5820          -            265   1.5e-17   61.8  11.8   1   2   2.6e-05     0.016   12.6   2.3     8   104    24   122    19   143 0.66 | transcript=PVX_000995.1 | gene=PVX_000995 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr03:127982-129136(-) | protein_length=384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000995.1-p1      -            384 10105at5820          -            265   1.5e-17   61.8  11.8   2   2   4.9e-18     3e-15   54.3   2.1   105   226   223   345   217   369 0.76 | transcript=PVX_000995.1 | gene=PVX_000995 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr03:127982-129136(-) | protein_length=384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097960.1-p1      -            355 10105at5820          -            265   9.1e-13   46.2   9.3   1   2   2.2e-15   1.4e-12   45.6   6.7    45   204    72   231    46   254 0.78 | transcript=PVX_097960.1 | gene=PVX_097960 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr10:1020695-1021762(+) | protein_length=355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097960.1-p1      -            355 10105at5820          -            265   9.1e-13   46.2   9.3   2   2     0.093        57    0.9   0.0   219   243   269   298   261   308 0.64 | transcript=PVX_097960.1 | gene=PVX_097960 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr10:1020695-1021762(+) | protein_length=355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113780.1-p1      -            431 10105at5820          -            265   2.4e-11   41.5   0.1   1   2   2.5e-08   1.6e-05   22.5   0.0    24   145   103   230    95   239 0.71 | transcript=PVX_113780.1 | gene=PVX_113780 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr11:1514325-1515620(+) | protein_length=431 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113780.1-p1      -            431 10105at5820          -            265   2.4e-11   41.5   0.1   2   2   1.3e-06   0.00078   16.9   0.0   141   204   289   355   282   404 0.75 | transcript=PVX_113780.1 | gene=PVX_113780 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr11:1514325-1515620(+) | protein_length=431 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001020.1-p1      -            487 10105at5820          -            265   7.3e-07   26.8   7.5   1   2   6.2e-09   3.8e-06   24.5   6.8    17   225    39   260    32   264 0.71 | transcript=PVX_001020.1 | gene=PVX_001020 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr03:96591-98054(-) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001020.1-p1      -            487 10105at5820          -            265   7.3e-07   26.8   7.5   2   2     0.022        13    3.0   0.1    44    64   210   230   203   286 0.73 | transcript=PVX_001020.1 | gene=PVX_001020 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr03:96591-98054(-) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001025.1-p1      -            353 10105at5820          -            265   6.9e-06   23.6   5.5   1   4       2.8   1.7e+03   -3.9   1.7   212   232    33    51    25    54 0.74 | transcript=PVX_001025.1 | gene=PVX_001025 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr03:93628-94689(-) | protein_length=353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001025.1-p1      -            353 10105at5820          -            265   6.9e-06   23.6   5.5   2   4      0.06        37    1.6   2.7   160   237    81   178    66   197 0.51 | transcript=PVX_001025.1 | gene=PVX_001025 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr03:93628-94689(-) | protein_length=353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001025.1-p1      -            353 10105at5820          -            265   6.9e-06   23.6   5.5   3   4   1.1e-08   6.9e-06   23.6   5.5    92   187   164   267   123   287 0.73 | transcript=PVX_001025.1 | gene=PVX_001025 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr03:93628-94689(-) | protein_length=353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001025.1-p1      -            353 10105at5820          -            265   6.9e-06   23.6   5.5   4   4     0.021        13    3.1   0.0   219   247   318   346   309   352 0.80 | transcript=PVX_001025.1 | gene=PVX_001025 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr03:93628-94689(-) | protein_length=353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10105at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10105at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10105at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:39 2026
# [ok]
