#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_100657.1-p1      -           3388 445at5820            -           1541         0 1917.9 135.2   1  17   9.5e-15   2.6e-11   39.9   0.7    16    65   140   189   137   192 0.91 | transcript=PVX_100657.1 | gene=PVX_100657 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr14:2267888-2278054(+) | protein_length=3388 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100657.1-p1      -           3388 445at5820            -           1541         0 1917.9 135.2  12  17     1e-07   0.00029   16.6   0.1  1089  1120  2515  2544  2509  2555 0.85 | transcript=PVX_100657.1 | gene=PVX_100657 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr14:2267888-2278054(+) | protein_length=3388 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100657.1-p1      -           3388 445at5820            -           1541         0 1917.9 135.2  13  17   1.2e-26   3.3e-23   79.4   0.9  1123  1173  2610  2660  2599  2666 0.93 | transcript=PVX_100657.1 | gene=PVX_100657 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr14:2267888-2278054(+) | protein_length=3388 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100657.1-p1      -           3388 445at5820            -           1541         0 1917.9 135.2  14  17   1.8e-28   4.9e-25   85.4   0.1  1174  1236  2712  2774  2706  2788 0.92 | transcript=PVX_100657.1 | gene=PVX_100657 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr14:2267888-2278054(+) | protein_length=3388 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100657.1-p1      -           3388 445at5820            -           1541         0 1917.9 135.2  15  17   9.1e-13   2.5e-09   33.4   4.2  1256  1309  2852  2909  2847  2909 0.86 | transcript=PVX_100657.1 | gene=PVX_100657 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr14:2267888-2278054(+) | protein_length=3388 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100657.1-p1      -           3388 445at5820            -           1541         0 1917.9 135.2  16  17   9.8e-12   2.7e-08   29.9   7.6  1282  1338  2900  2959  2898  3013 0.70 | transcript=PVX_100657.1 | gene=PVX_100657 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr14:2267888-2278054(+) | protein_length=3388 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100657.1-p1      -           3388 445at5820            -           1541         0 1917.9 135.2  17  17  1.8e-108  5.1e-105  350.5   4.3  1342  1534  3150  3344  3086  3350 0.85 | transcript=PVX_100657.1 | gene=PVX_100657 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr14:2267888-2278054(+) | protein_length=3388 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111040.1-p1      -            470 445at5820            -           1541   7.3e-09   31.8   2.2   1   2      0.15   4.2e+02   -3.8   0.4   187   264    18   102     3   110 0.55 | transcript=PVX_111040.1 | gene=PVX_111040 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:765454-767259(+) | protein_length=470 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111040.1-p1      -            470 445at5820            -           1541   7.3e-09   31.8   2.2   2   2   2.6e-12   7.3e-09   31.8   2.2  1414  1487   345   418   315   453 0.77 | transcript=PVX_111040.1 | gene=PVX_111040 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:765454-767259(+) | protein_length=470 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/445at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/445at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/445at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:45 2026
# [ok]
