#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085080.1-p1      -            378 7976at5820           -            295  2.6e-144  478.4  23.1   1   1  5.2e-147  3.2e-144  478.1  23.1     1   295    36   374    36   374 0.94 | transcript=PVX_085080.1 | gene=PVX_085080 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr13:890378-893882(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095225.1-p1      -            556 7976at5820           -            295   3.8e-50  169.3  58.0   3   4   2.1e-22   1.3e-19   69.0  15.2    19   128   358   474   357   476 0.91 | transcript=PVX_095225.1 | gene=PVX_095225 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr08:914471-916141(-) | protein_length=556 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095225.1-p1      -            556 7976at5820           -            295   3.8e-50  169.3  58.0   4   4   6.9e-14   4.3e-11   41.1   7.9    39   115   442   519   434   528 0.87 | transcript=PVX_095225.1 | gene=PVX_095225 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr08:914471-916141(-) | protein_length=556 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090860.1-p1      -            585 7976at5820           -            295     8e-36  122.3  49.0   1   3   8.4e-22   5.1e-19   67.1  13.6     1   114   238   357   238   359 0.89 | transcript=PVX_090860.1 | gene=PVX_090860 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr09:35068-38706(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090860.1-p1      -            585 7976at5820           -            295     8e-36  122.3  49.0   2   3   1.7e-16   1.1e-13   49.6  12.5    18   129   317   439   315   441 0.82 | transcript=PVX_090860.1 | gene=PVX_090860 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr09:35068-38706(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090860.1-p1      -            585 7976at5820           -            295     8e-36  122.3  49.0   3   3     9e-12   5.5e-09   34.2   7.0     5   111   432   548   428   556 0.81 | transcript=PVX_090860.1 | gene=PVX_090860 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr09:35068-38706(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082875.1-p1      -            571 7976at5820           -            295   4.3e-32  110.0  35.3   1   4     8e-13   4.9e-10   37.6   3.5    44   137   187   287   164   299 0.79 | transcript=PVX_082875.1 | gene=PVX_082875 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr12:626146-629655(+) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082875.1-p1      -            571 7976at5820           -            295   4.3e-32  110.0  35.3   2   4   9.9e-11   6.1e-08   30.7   2.9    38   246   323   376   294   381 0.57 | transcript=PVX_082875.1 | gene=PVX_082875 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr12:626146-629655(+) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082875.1-p1      -            571 7976at5820           -            295   4.3e-32  110.0  35.3   3   4   1.1e-18     7e-16   56.8   7.4    10   130   356   489   355   494 0.83 | transcript=PVX_082875.1 | gene=PVX_082875 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr12:626146-629655(+) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082875.1-p1      -            571 7976at5820           -            295   4.3e-32  110.0  35.3   4   4   3.8e-09   2.4e-06   25.5   3.4    57   117   473   538   471   567 0.77 | transcript=PVX_082875.1 | gene=PVX_082875 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr12:626146-629655(+) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082505.1-p1      -            482 7976at5820           -            295     6e-32  109.5  55.6   1   4   7.5e-09   4.6e-06   24.6   9.3    42   118    67   150    38   154 0.79 | transcript=PVX_082505.1 | gene=PVX_082505 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr12:865694-867142(-) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082505.1-p1      -            482 7976at5820           -            295     6e-32  109.5  55.6   2   4     2e-12   1.2e-09   36.3   8.9    54   129   151   230   146   234 0.85 | transcript=PVX_082505.1 | gene=PVX_082505 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr12:865694-867142(-) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082505.1-p1      -            482 7976at5820           -            295     6e-32  109.5  55.6   3   4   6.3e-19   3.9e-16   57.6  20.7     6   131   224   355   219   364 0.88 | transcript=PVX_082505.1 | gene=PVX_082505 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr12:865694-867142(-) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082505.1-p1      -            482 7976at5820           -            295     6e-32  109.5  55.6   4   4    0.0012      0.73    7.5   0.2    75   272   371   413   362   427 0.59 | transcript=PVX_082505.1 | gene=PVX_082505 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr12:865694-867142(-) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114600.1-p1      -            282 7976at5820           -            295   2.6e-22   77.9  10.5   1   2   5.5e-16   3.4e-13   48.0   6.3    52   127   123   202    95   203 0.80 | transcript=PVX_114600.1 | gene=PVX_114600 | organism=Plasmodium_vivax_Sal-1 | gene_product=Plasmodium falciparum CPW-WPC domain containing protein | transcript_product=Plasmodium falciparum CPW-WPC domain containing protein | location=Pv_Sal1_chr11:784095-786348(+) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114600.1-p1      -            282 7976at5820           -            295   2.6e-22   77.9  10.5   2   2   5.1e-12   3.1e-09   35.0   0.5   220   277   195   257   189   277 0.78 | transcript=PVX_114600.1 | gene=PVX_114600 | organism=Plasmodium_vivax_Sal-1 | gene_product=Plasmodium falciparum CPW-WPC domain containing protein | transcript_product=Plasmodium falciparum CPW-WPC domain containing protein | location=Pv_Sal1_chr11:784095-786348(+) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079725.1-p1      -            250 7976at5820           -            295   8.1e-20   69.7  24.0   1   2   1.1e-18   6.5e-16   56.9  10.3    57   131    93   177    79   181 0.86 | transcript=PVX_079725.1 | gene=PVX_079725 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:47034-49161(-) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079725.1-p1      -            250 7976at5820           -            295   8.1e-20   69.7  24.0   2   2   2.9e-09   1.8e-06   25.9   5.8    57   115   160   223   160   234 0.88 | transcript=PVX_079725.1 | gene=PVX_079725 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:47034-49161(-) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114330.1-p1      -            185 7976at5820           -            295   6.5e-08   30.6   1.3   1   1   1.5e-10   9.3e-08   30.1   1.3   218   281   100   163    66   181 0.82 | transcript=PVX_114330.1 | gene=PVX_114330 | organism=Plasmodium_vivax_Sal-1 | gene_product=Plasmodium falciparum CPW-WPC domain containing protein | transcript_product=Plasmodium falciparum CPW-WPC domain containing protein | location=Pv_Sal1_chr11:1060347-1062112(-) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7976at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7976at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7976at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:49:30 2026
# [ok]
