#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_117255.1-p1      -            350 10858at5820          -            253  1.2e-122  406.7  60.6   1   3   7.3e-09     8e-06   23.9   5.9     1    38     1    41     1    51 0.70 | transcript=PVX_117255.1 | gene=PVX_117255 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1711581-1713010(+) | protein_length=350 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099800.1-p1      -           1239 10858at5820          -            253    0.0012   16.8   5.9   2   2     0.021        23    2.7   0.2    46    70    74    98    63   108 0.83 | transcript=PVX_099800.1 | gene=PVX_099800 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr07:1048682-1053069(+) | protein_length=1239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10858at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10858at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10858at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:32 2026
# [ok]
