#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084615.1-p1      -            758 2821at5820           -            413  8.9e-276  912.5  17.9   1   3  2.7e-130  1.9e-127  423.9   4.5     1   192     1   196     1   211 0.97 | transcript=PVX_084615.1 | gene=PVX_084615 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM5, putative | transcript_product=DNA replication licensing factor MCM5, putative | location=Pv_Sal1_chr13:484118-486858(+) | protein_length=758 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114735.1-p1      -            944 2821at5820           -            413     1e-24   85.6   5.2   2   3     6e-10   4.1e-07   27.6   0.1   315   378   438   500   399   507 0.75 | transcript=PVX_114735.1 | gene=PVX_114735 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM6, putative | transcript_product=DNA replication licensing factor MCM6, putative | location=Pv_Sal1_chr11:679166-682000(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114735.1-p1      -            944 2821at5820           -            413     1e-24   85.6   5.2   3   3   2.7e-13   1.9e-10   38.6   0.6   374   413   540   579   537   579 0.97 | transcript=PVX_114735.1 | gene=PVX_114735 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM6, putative | transcript_product=DNA replication licensing factor MCM6, putative | location=Pv_Sal1_chr11:679166-682000(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122675.1-p1      -            955 2821at5820           -            413   2.4e-24   84.3   6.1   1   4         1   7.1e+02   -2.8   0.1    22    60    95   134    79   147 0.71 | transcript=PVX_122675.1 | gene=PVX_122675 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM4, putative | transcript_product=DNA replication licensing factor MCM4, putative | location=Pv_Sal1_chr14:772315-775182(+) | protein_length=955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122675.1-p1      -            955 2821at5820           -            413   2.4e-24   84.3   6.1   2   4   1.6e-07   0.00011   19.6   0.1   211   297   344   433   253   455 0.86 | transcript=PVX_122675.1 | gene=PVX_122675 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM4, putative | transcript_product=DNA replication licensing factor MCM4, putative | location=Pv_Sal1_chr14:772315-775182(+) | protein_length=955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122675.1-p1      -            955 2821at5820           -            413   2.4e-24   84.3   6.1   3   4   3.6e-13   2.5e-10   38.2   0.0   304   379   471   546   459   552 0.90 | transcript=PVX_122675.1 | gene=PVX_122675 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM4, putative | transcript_product=DNA replication licensing factor MCM4, putative | location=Pv_Sal1_chr14:772315-775182(+) | protein_length=955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122675.1-p1      -            955 2821at5820           -            413   2.4e-24   84.3   6.1   4   4   6.9e-10   4.7e-07   27.4   0.2   378   413   589   624   584   624 0.94 | transcript=PVX_122675.1 | gene=PVX_122675 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM4, putative | transcript_product=DNA replication licensing factor MCM4, putative | location=Pv_Sal1_chr14:772315-775182(+) | protein_length=955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089905.1-p1      -           1310 2821at5820           -            413   6.8e-08   30.2   0.1   1   4      0.33   2.3e+02   -1.2   0.3   129   151   319   341   257   396 0.61 | transcript=PVX_089905.1 | gene=PVX_089905 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=Pv_Sal1_chr05:926346-930278(-) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089905.1-p1      -           1310 2821at5820           -            413   6.8e-08   30.2   0.1   2   4      0.14        98   -0.0   0.0   205   270   496   555   475   574 0.81 | transcript=PVX_089905.1 | gene=PVX_089905 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=Pv_Sal1_chr05:926346-930278(-) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089905.1-p1      -           1310 2821at5820           -            413   6.8e-08   30.2   0.1   3   4      0.64   4.5e+02   -2.2   0.0   302   355   694   752   685   756 0.71 | transcript=PVX_089905.1 | gene=PVX_089905 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=Pv_Sal1_chr05:926346-930278(-) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089905.1-p1      -           1310 2821at5820           -            413   6.8e-08   30.2   0.1   4   4   9.9e-11   6.8e-08   30.2   0.1   378   413   933   968   924   968 0.94 | transcript=PVX_089905.1 | gene=PVX_089905 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=Pv_Sal1_chr05:926346-930278(-) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084595.1-p1      -           1342 2821at5820           -            413   7.7e-07   26.7   0.7   1   3     0.021        15    2.7   0.1   246   288   380   422   361   473 0.71 | transcript=PVX_084595.1 | gene=PVX_084595 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM8, putative | transcript_product=DNA replication licensing factor MCM8, putative | location=Pv_Sal1_chr13:458048-462749(-) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084595.1-p1      -           1342 2821at5820           -            413   7.7e-07   26.7   0.7   2   3      0.11        79    0.3   0.0   332   378   831   878   810   888 0.67 | transcript=PVX_084595.1 | gene=PVX_084595 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM8, putative | transcript_product=DNA replication licensing factor MCM8, putative | location=Pv_Sal1_chr13:458048-462749(-) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084595.1-p1      -           1342 2821at5820           -            413   7.7e-07   26.7   0.7   3   3   1.8e-07   0.00013   19.4   0.0   376   412   920   956   912   957 0.91 | transcript=PVX_084595.1 | gene=PVX_084595 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM8, putative | transcript_product=DNA replication licensing factor MCM8, putative | location=Pv_Sal1_chr13:458048-462749(-) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2821at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2821at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2821at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:02 2026
# [ok]
