#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114370.1-p1      -           1221 2263at5820           -            755         0 1200.0  61.7   1   7   6.4e-06    0.0088   12.6   0.2     1    34    35    72    35    80 0.87 | transcript=PVX_114370.1 | gene=PVX_114370 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA polymerase 1, putative | transcript_product=DNA polymerase 1, putative | location=Pv_Sal1_chr11:1011779-1015444(+) | protein_length=1221 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086305.1-p1      -            149 2263at5820           -            755      0.13    8.8   5.8   1   2       0.2   2.8e+02   -2.3   0.0   300   333     2    35     1    59 0.69 | transcript=PVX_086305.1 | gene=PVX_086305 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-40S ribosomal protein S27a, putative | transcript_product=ubiquitin-40S ribosomal protein S27a, putative | location=Pv_Sal1_chr13:1992584-1994140(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086305.1-p1      -            149 2263at5820           -            755      0.13    8.8   5.8   2   2   4.2e-05     0.058    9.9   4.0   199   242    61   104    38   123 0.81 | transcript=PVX_086305.1 | gene=PVX_086305 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-40S ribosomal protein S27a, putative | transcript_product=ubiquitin-40S ribosomal protein S27a, putative | location=Pv_Sal1_chr13:1992584-1994140(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2263at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2263at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2263at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:00 2026
# [ok]
