#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_113480.1-p1      -            152 12951at5820          -            133   4.4e-88  290.4   0.1   1   1   1.3e-90     5e-88  290.2   0.1     1   133     1   138     1   138 0.98 | transcript=PVX_113480.1 | gene=PVX_113480 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2 I, putative | transcript_product=ubiquitin-conjugating enzyme E2 I, putative | location=Pv_Sal1_chr11:1772616-1773916(+) | protein_length=152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099185.1-p1      -            159 12951at5820          -            133   2.8e-14   51.5   0.0   1   1   8.1e-17   3.2e-14   51.3   0.0    27   120    37   131     3   139 0.89 | transcript=PVX_099185.1 | gene=PVX_099185 | organism=Plasmodium_vivax_Sal-1 | gene_product=SUMO-conjugating enzyme UBC9, putative | transcript_product=SUMO-conjugating enzyme UBC9, putative | location=Pv_Sal1_chr07:572412-573302(-) | protein_length=159 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101085.1-p1      -            624 12951at5820          -            133   2.2e-07   29.2   0.0   1   1   1.1e-09   4.3e-07   28.3   0.0    27   122   196   294   183   301 0.85 | transcript=PVX_101085.1 | gene=PVX_101085 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=Pv_Sal1_chr14:2618378-2620252(+) | protein_length=624 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083175.1-p1      -            262 12951at5820          -            133     5e-07   28.0   0.1   1   1   2.1e-09   8.5e-07   27.3   0.1    26   112   145   231   125   249 0.86 | transcript=PVX_083175.1 | gene=PVX_083175 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=Pv_Sal1_chr12:345578-346366(-) | protein_length=262 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119410.1-p1      -            139 12951at5820          -            133   2.9e-06   25.6   0.0   1   1   8.5e-09   3.3e-06   25.4   0.0    25   105    37   118    16   132 0.86 | transcript=PVX_119410.1 | gene=PVX_119410 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=Pv_Sal1_chr08:1482131-1482984(+) | protein_length=139 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12951at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12951at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12951at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:18 2026
# [ok]
