#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_094875.1-p1      -           1150 2106at5820           -            959         0 1671.4 102.2   1   5   5.8e-61   1.7e-58  196.7   6.2     1   120     1   128     1   142 0.93 | transcript=PVX_094875.1 | gene=PVX_094875 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:589071-592741(-) | protein_length=1150 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089025.1-p1      -            322 2106at5820           -            959     7e-18   62.3   1.9   3   6   1.9e-07   5.5e-05   19.6   0.4   586   665   113   196   109   200 0.83 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089025.1-p1      -            322 2106at5820           -            959     7e-18   62.3   1.9   4   6   4.2e-07   0.00012   18.5   0.1   584   664   154   237   143   250 0.81 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089025.1-p1      -            322 2106at5820           -            959     7e-18   62.3   1.9   5   6   3.8e-08   1.1e-05   21.9   0.0   584   664   198   277   193   286 0.91 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089025.1-p1      -            322 2106at5820           -            959     7e-18   62.3   1.9   6   6    0.0046       1.3    5.1   0.0   483   510   293   320   286   322 0.87 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113505.1-p1      -           1398 2106at5820           -            959   1.2e-15   54.9   1.5   1   3   1.6e-05    0.0046   13.3   0.1   458   553    32   123    20   126 0.83 | transcript=PVX_113505.1 | gene=PVX_113505 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=Pv_Sal1_chr11:1747148-1751978(-) | protein_length=1398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113505.1-p1      -           1398 2106at5820           -            959   1.2e-15   54.9   1.5   2   3   9.3e-17   2.7e-14   50.4   0.2   455   665   113   331   108   341 0.82 | transcript=PVX_113505.1 | gene=PVX_113505 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=Pv_Sal1_chr11:1747148-1751978(-) | protein_length=1398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113505.1-p1      -           1398 2106at5820           -            959   1.2e-15   54.9   1.5   3   3      0.88   2.6e+02   -2.4   2.0   188   246   611   669   544   691 0.63 | transcript=PVX_113505.1 | gene=PVX_113505 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=Pv_Sal1_chr11:1747148-1751978(-) | protein_length=1398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083090.1-p1      -            644 2106at5820           -            959   6.9e-14   49.1   7.0   1   3     0.022       6.4    2.9   0.1   455   498   263   309   198   325 0.74 | transcript=PVX_083090.1 | gene=PVX_083090 | organism=Plasmodium_vivax_Sal-1 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=Pv_Sal1_chr12:417792-419726(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083090.1-p1      -            644 2106at5820           -            959   6.9e-14   49.1   7.0   2   3   2.9e-08   8.5e-06   22.3   0.0   583   663   428   509   422   525 0.86 | transcript=PVX_083090.1 | gene=PVX_083090 | organism=Plasmodium_vivax_Sal-1 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=Pv_Sal1_chr12:417792-419726(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083090.1-p1      -            644 2106at5820           -            959   6.9e-14   49.1   7.0   3   3   1.3e-08   3.9e-06   23.4   3.7   598   686   529   619   510   625 0.83 | transcript=PVX_083090.1 | gene=PVX_083090 | organism=Plasmodium_vivax_Sal-1 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=Pv_Sal1_chr12:417792-419726(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089225.1-p1      -            324 2106at5820           -            959   1.1e-13   48.4   4.3   1   3   2.9e-07   8.5e-05   19.0   0.1   579   665    30   118    20   123 0.88 | transcript=PVX_089225.1 | gene=PVX_089225 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 snRNP-specific 40 kDa protein, putative | transcript_product=U5 snRNP-specific 40 kDa protein, putative | location=Pv_Sal1_chr05:397980-398954(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089225.1-p1      -            324 2106at5820           -            959   1.1e-13   48.4   4.3   2   3   0.00024     0.069    9.4   0.2   585   649   121   183   114   196 0.78 | transcript=PVX_089225.1 | gene=PVX_089225 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 snRNP-specific 40 kDa protein, putative | transcript_product=U5 snRNP-specific 40 kDa protein, putative | location=Pv_Sal1_chr05:397980-398954(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089225.1-p1      -            324 2106at5820           -            959   1.1e-13   48.4   4.3   3   3   1.5e-06   0.00043   16.7   0.0   476   613   202   322   196   324 0.65 | transcript=PVX_089225.1 | gene=PVX_089225 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 snRNP-specific 40 kDa protein, putative | transcript_product=U5 snRNP-specific 40 kDa protein, putative | location=Pv_Sal1_chr05:397980-398954(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080690.1-p1      -            646 2106at5820           -            959     1e-10   38.6   0.5   1   5         1     3e+02   -2.6   2.1   263   300   282   317   246   326 0.65 | transcript=PVX_080690.1 | gene=PVX_080690 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD-repeat potein, putative | transcript_product=WD-repeat potein, putative | location=Pv_Sal1_chr10:888282-891797(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080690.1-p1      -            646 2106at5820           -            959     1e-10   38.6   0.5   2   5   8.6e-08   2.5e-05   20.8   0.2   585   665   364   445   341   449 0.88 | transcript=PVX_080690.1 | gene=PVX_080690 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD-repeat potein, putative | transcript_product=WD-repeat potein, putative | location=Pv_Sal1_chr10:888282-891797(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080690.1-p1      -            646 2106at5820           -            959     1e-10   38.6   0.5   3   5   6.2e-09   1.8e-06   24.5   0.0   597   661   460   525   452   535 0.88 | transcript=PVX_080690.1 | gene=PVX_080690 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD-repeat potein, putative | transcript_product=WD-repeat potein, putative | location=Pv_Sal1_chr10:888282-891797(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080690.1-p1      -            646 2106at5820           -            959     1e-10   38.6   0.5   4   5   0.00078      0.23    7.7   0.1   604   666   509   572   507   580 0.90 | transcript=PVX_080690.1 | gene=PVX_080690 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD-repeat potein, putative | transcript_product=WD-repeat potein, putative | location=Pv_Sal1_chr10:888282-891797(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080690.1-p1      -            646 2106at5820           -            959     1e-10   38.6   0.5   5   5     0.001       0.3    7.3   0.2   591   654   580   641   575   644 0.83 | transcript=PVX_080690.1 | gene=PVX_080690 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD-repeat potein, putative | transcript_product=WD-repeat potein, putative | location=Pv_Sal1_chr10:888282-891797(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119545.1-p1      -            498 2106at5820           -            959   3.1e-10   37.0   8.4   1   3       1.8   5.3e+02   -3.5   0.4   807   831   108   132    84   178 0.60 | transcript=PVX_119545.1 | gene=PVX_119545 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=Pv_Sal1_chr08:1390913-1392409(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119545.1-p1      -            498 2106at5820           -            959   3.1e-10   37.0   8.4   2   3   2.7e-10     8e-08   29.0   0.5   488   666   223   424   220   436 0.70 | transcript=PVX_119545.1 | gene=PVX_119545 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=Pv_Sal1_chr08:1390913-1392409(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119545.1-p1      -            498 2106at5820           -            959   3.1e-10   37.0   8.4   3   3    0.0011      0.32    7.2   0.1   606   655   447   498   430   498 0.74 | transcript=PVX_119545.1 | gene=PVX_119545 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=Pv_Sal1_chr08:1390913-1392409(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118095.1-p1      -           1215 2106at5820           -            959   5.3e-10   36.2  56.3   1   7   3.9e-10   1.1e-07   28.5  11.0   154   277    69   197    61   221 0.83 | transcript=PVX_118095.1 | gene=PVX_118095 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2406101-2409897(+) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118095.1-p1      -           1215 2106at5820           -            959   5.3e-10   36.2  56.3   2   7    0.0011      0.33    7.1   5.1   639   698   176   236   166   295 0.77 | transcript=PVX_118095.1 | gene=PVX_118095 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2406101-2409897(+) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118095.1-p1      -           1215 2106at5820           -            959   5.3e-10   36.2  56.3   3   7       2.9   8.4e+02   -4.1   2.5   615   772   379   396   356   455 0.54 | transcript=PVX_118095.1 | gene=PVX_118095 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2406101-2409897(+) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118095.1-p1      -           1215 2106at5820           -            959   5.3e-10   36.2  56.3   4   7   4.9e-07   0.00014   18.3   0.1   132   240   593   700   584   752 0.82 | transcript=PVX_118095.1 | gene=PVX_118095 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2406101-2409897(+) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118095.1-p1      -           1215 2106at5820           -            959   5.3e-10   36.2  56.3   5   7   1.7e-05     0.005   13.1   1.5   158   223   820   887   807   907 0.59 | transcript=PVX_118095.1 | gene=PVX_118095 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2406101-2409897(+) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118095.1-p1      -           1215 2106at5820           -            959   5.3e-10   36.2  56.3   6   7   0.00055      0.16    8.2   1.9   479   614   898  1031   888  1050 0.75 | transcript=PVX_118095.1 | gene=PVX_118095 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2406101-2409897(+) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118095.1-p1      -           1215 2106at5820           -            959   5.3e-10   36.2  56.3   7   7       6.9     2e+03   -5.4   2.6   766   830  1093  1152  1069  1184 0.68 | transcript=PVX_118095.1 | gene=PVX_118095 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2406101-2409897(+) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119245.1-p1      -            595 2106at5820           -            959   3.9e-09   33.4  15.9   1   4      0.24        71   -0.6   3.3   542   578   143   179    46   216 0.67 | transcript=PVX_119245.1 | gene=PVX_119245 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing regulatory protein, putative | transcript_product=splicing regulatory protein, putative | location=Pv_Sal1_chr08:1633597-1635600(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119245.1-p1      -            595 2106at5820           -            959   3.9e-09   33.4  15.9   2   4   4.1e-09   1.2e-06   25.1   0.4   581   663   276   359   242   364 0.81 | transcript=PVX_119245.1 | gene=PVX_119245 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing regulatory protein, putative | transcript_product=splicing regulatory protein, putative | location=Pv_Sal1_chr08:1633597-1635600(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119245.1-p1      -            595 2106at5820           -            959   3.9e-09   33.4  15.9   3   4     0.007         2    4.5   0.0   476   520   363   407   358   416 0.87 | transcript=PVX_119245.1 | gene=PVX_119245 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing regulatory protein, putative | transcript_product=splicing regulatory protein, putative | location=Pv_Sal1_chr08:1633597-1635600(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119245.1-p1      -            595 2106at5820           -            959   3.9e-09   33.4  15.9   4   4   9.9e-05     0.029   10.6   0.5   601   682   422   503   409   533 0.87 | transcript=PVX_119245.1 | gene=PVX_119245 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing regulatory protein, putative | transcript_product=splicing regulatory protein, putative | location=Pv_Sal1_chr08:1633597-1635600(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091690.1-p1      -            555 2106at5820           -            959   1.2e-05   21.9  16.6   1   3   8.7e-05     0.025   10.8   0.0   584   661    48   128    17   132 0.84 | transcript=PVX_091690.1 | gene=PVX_091690 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:725425-727206(+) | protein_length=555 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091690.1-p1      -            555 2106at5820           -            959   1.2e-05   21.9  16.6   2   3     3e-07   8.8e-05   19.0   5.1   555   659   139   243   130   261 0.82 | transcript=PVX_091690.1 | gene=PVX_091690 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:725425-727206(+) | protein_length=555 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091690.1-p1      -            555 2106at5820           -            959   1.2e-05   21.9  16.6   3   3      0.78   2.3e+02   -2.3   1.2   171   209   349   392   333   426 0.55 | transcript=PVX_091690.1 | gene=PVX_091690 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:725425-727206(+) | protein_length=555 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124175.1-p1      -            763 2106at5820           -            959   2.9e-05   20.6   1.1   1   2     1e-07   2.9e-05   20.6   1.1   584   654    10    86     3   108 0.83 | transcript=PVX_124175.1 | gene=PVX_124175 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=Pv_Sal1_chr14:2108558-2110849(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124175.1-p1      -            763 2106at5820           -            959   2.9e-05   20.6   1.1   2   2      0.15        43    0.1   0.1   582   613   226   261   208   300 0.71 | transcript=PVX_124175.1 | gene=PVX_124175 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=Pv_Sal1_chr14:2108558-2110849(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100830.1-p1      -            507 2106at5820           -            959   3.2e-05   20.4   2.9   1   2      0.28        82   -0.8   1.0   292   341    70   119    51   132 0.71 | transcript=PVX_100830.1 | gene=PVX_100830 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2412994-2414836(+) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100830.1-p1      -            507 2106at5820           -            959   3.2e-05   20.4   2.9   2   2   1.1e-07   3.2e-05   20.4   2.9   598   710   297   412   259   431 0.64 | transcript=PVX_100830.1 | gene=PVX_100830 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2412994-2414836(+) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080315.1-p1      -           1240 2106at5820           -            959   4.9e-05   19.8  20.6   1   3   2.8e-07   8.2e-05   19.1   1.6   583   658   911   988   879  1016 0.82 | transcript=PVX_080315.1 | gene=PVX_080315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:572047-575769(-) | protein_length=1240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080315.1-p1      -           1240 2106at5820           -            959   4.9e-05   19.8  20.6   2   3   6.5e-06    0.0019   14.5   3.7   476   629   955  1130   953  1139 0.64 | transcript=PVX_080315.1 | gene=PVX_080315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:572047-575769(-) | protein_length=1240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080315.1-p1      -           1240 2106at5820           -            959   4.9e-05   19.8  20.6   3   3   0.00047      0.14    8.4   0.0   489   570  1143  1224  1133  1233 0.84 | transcript=PVX_080315.1 | gene=PVX_080315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:572047-575769(-) | protein_length=1240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100955.1-p1      -            472 2106at5820           -            959   6.4e-05   19.4   0.7   1   2     0.054        16    1.6   0.9   595   671   139   216   132   226 0.77 | transcript=PVX_100955.1 | gene=PVX_100955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2528730-2530388(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100955.1-p1      -            472 2106at5820           -            959   6.4e-05   19.4   0.7   2   2   2.2e-07   6.4e-05   19.4   0.7   596   670   227   301   214   318 0.86 | transcript=PVX_100955.1 | gene=PVX_100955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2528730-2530388(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000590.1-p1      -            327 2106at5820           -            959    0.0068   12.7   0.5   1   1   0.00017     0.051    9.8   0.5   471   662     3   219     1   226 0.56 | transcript=PVX_000590.1 | gene=PVX_000590 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 3 subunit 2, putative | transcript_product=eukaryotic translation initiation factor 3 subunit 2, putative | location=Pv_Sal1_chr03:448728-450117(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
